doc_len,item_len,span_ratio,paraphrase,doc_thresh,span_thresh,ngram_k,n_seeds,doc_recall_mean,doc_recall_std,pass_recall_mean,pass_recall_std,doc_prec_mean,doc_prec_std,pass_prec_mean,pass_prec_std,miss_gap_mean,miss_gap_std,rate_true_mean,rate_true_std,rate_doc_mean,rate_doc_std,rate_pass_mean,rate_pass_std,doc_rate_prec_mean,doc_rate_prec_std,pass_rate_prec_mean,pass_rate_prec_std
500,50,0.1,0.0,0.5,0.8,8,7,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,1.0,0.0,1.0,0.0
500,50,0.1,0.0,0.8,0.6,8,7,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,1.0,0.0,1.0,0.0
500,50,0.1,0.0,0.8,0.8,8,7,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,1.0,0.0,1.0,0.0
500,50,0.1,0.2,0.5,0.6,8,7,0.0,0.0,0.0048,0.0117,1.0,0.0,1.0,0.0,0.0048,0.0117,0.2,0.0,0.0,0.0,0.001,0.0023,1.0,0.0,1.0,0.0
500,50,0.1,0.2,0.5,0.8,8,7,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
500,50,0.1,0.2,0.8,0.6,8,7,0.0,0.0,0.0048,0.0075,1.0,0.0,1.0,0.0,0.0048,0.0075,0.2,0.0,0.0,0.0,0.0009,0.0015,1.0,0.0,1.0,0.0
500,50,0.1,0.2,0.8,0.8,8,7,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
500,50,0.1,0.4,0.5,0.6,8,7,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
500,50,0.1,0.4,0.5,0.8,8,7,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
500,50,0.1,0.4,0.8,0.6,8,7,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
500,50,0.1,0.4,0.8,0.8,8,7,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
100,50,0.5,0.0,0.5,0.6,8,7,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,1.0,0.0,1.0,0.0
100,50,0.5,0.0,0.5,0.8,8,7,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,1.0,0.0,1.0,0.0
100,50,0.5,0.0,0.8,0.6,8,7,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,1.0,0.0,1.0,0.0
100,50,0.5,0.0,0.8,0.8,8,7,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,1.0,0.0,1.0,0.0
100,50,0.5,0.2,0.5,0.6,8,7,0.0,0.0,0.0143,0.0106,1.0,0.0,1.0,0.0,0.0143,0.0106,0.2,0.0,0.0,0.0,0.0028,0.0021,1.0,0.0,1.0,0.0
100,50,0.5,0.2,0.5,0.8,8,7,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
100,50,0.5,0.2,0.8,0.6,8,7,0.0,0.0,0.0071,0.0121,1.0,0.0,1.0,0.0,0.0071,0.0121,0.2,0.0,0.0,0.0,0.0014,0.0024,1.0,0.0,1.0,0.0
100,50,0.5,0.2,0.8,0.8,8,7,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
100,50,0.5,0.4,0.5,0.6,8,7,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
100,50,0.5,0.4,0.5,0.8,8,7,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
100,50,0.5,0.4,0.8,0.6,8,7,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
100,50,0.5,0.4,0.8,0.8,8,7,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
