session,tool,gap_tok,det_class,result_equiv,non_recoverable,footprint_tok
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,594.5,VOLATILE,False,True,43.2
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,604.8,VOLATILE,False,True,30.8
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,2230.2,VOLATILE,False,True,369.2
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,2556.2,VOLATILE,False,True,43.2
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,2578.0,VOLATILE,False,True,30.8
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,9704.5,VOLATILE,False,True,29.2
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,11563.2,VOLATILE,False,True,30.8
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,6562.8,VOLATILE,False,True,30.5
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,2094.5,VOLATILE,True,True,30.5
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,57480.5,VOLATILE,True,True,59.2
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,33623.5,VOLATILE,False,True,43.2
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,3593.0,VOLATILE,False,True,30.8
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,12059.2,VOLATILE,False,True,46.5
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Edit,21172.2,MUTATING,True,True,82.0
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,10491.0,VOLATILE,False,True,30.8
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,16279.8,VOLATILE,True,True,59.2
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Edit,5912.8,MUTATING,True,True,82.0
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,16357.0,VOLATILE,False,True,92.8
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,5940.0,VOLATILE,False,True,30.0
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,10681.8,VOLATILE,False,True,38.5
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,4728.2,VOLATILE,False,True,30.8
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,2112.2,VOLATILE,False,True,38.5
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,2064.2,VOLATILE,False,True,30.8
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,26282.8,VOLATILE,False,True,41.5
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,2963.0,VOLATILE,False,True,30.2
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,3743.0,VOLATILE,False,True,422.2
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,4123.8,VOLATILE,False,True,43.2
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,4114.8,VOLATILE,False,True,30.8
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,681.8,VOLATILE,False,True,43.2
1c2df215-5397-4f4e-8125-bc712a452295.jsonl,Bash,691.8,VOLATILE,False,True,30.8
