K,skew,B,load,capfam,policy,W,p99_mean,p99_std,recomp_mean,recomp_std,hit_mean
8,1.5,4,1.4,7,greedy,0,14.900,9.847,25600,4464,0.9688
8,1.5,4,1.4,7,vtc,0,15.579,6.081,41301,5244,0.9496
8,2.0,4,0.7,5,bounded,1,1.752,0.926,62208,8785,0.9241
8,2.0,4,0.7,5,bounded,2,1.665,0.833,62208,8785,0.9241
8,2.0,4,0.7,5,bounded,4,1.691,0.752,61781,8396,0.9246
8,2.0,4,0.7,5,bounded,8,1.757,0.792,61696,8367,0.9247
8,2.0,4,0.7,5,bounded,16,1.758,0.808,61355,8638,0.9251
8,2.0,4,0.7,5,bounded,32,1.762,0.819,61184,8430,0.9253
8,2.0,4,0.7,5,greedy,0,1.762,0.819,61184,8430,0.9253
8,2.0,4,0.7,5,vtc,0,2.854,1.585,62720,8725,0.9234
8,2.0,4,0.7,6,bounded,1,1.411,0.860,39765,7287,0.9515
8,2.0,4,0.7,6,bounded,2,1.388,0.773,39851,7192,0.9514
8,2.0,4,0.7,6,bounded,4,1.379,0.784,39851,7216,0.9514
8,2.0,4,0.7,6,bounded,8,1.372,0.801,39765,7117,0.9515
8,2.0,4,0.7,6,bounded,16,1.364,0.788,39680,7114,0.9516
8,2.0,4,0.7,6,bounded,32,1.368,0.801,39680,7114,0.9516
8,2.0,4,0.7,6,greedy,0,1.368,0.801,39680,7114,0.9516
8,2.0,4,0.7,6,vtc,0,1.956,1.365,39595,7257,0.9517
8,2.0,4,0.7,7,bounded,1,1.223,0.881,23637,3691,0.9711
8,2.0,4,0.7,7,bounded,2,1.192,0.812,23637,3691,0.9711
8,2.0,4,0.7,7,bounded,4,1.188,0.813,23637,3691,0.9711
8,2.0,4,0.7,7,bounded,8,1.193,0.836,23637,3691,0.9711
8,2.0,4,0.7,7,bounded,16,1.173,0.811,23637,3691,0.9711
8,2.0,4,0.7,7,bounded,32,1.177,0.824,23637,3691,0.9711
8,2.0,4,0.7,7,greedy,0,1.177,0.824,23637,3691,0.9711
8,2.0,4,0.7,7,vtc,0,1.710,1.383,23637,3691,0.9711
8,2.0,4,1.0,5,bounded,1,3.445,1.217,62037,8433,0.9243
8,2.0,4,1.0,5,bounded,2,3.447,1.199,61696,7895,0.9247
8,2.0,4,1.0,5,bounded,4,3.266,1.072,60501,7887,0.9261
8,2.0,4,1.0,5,bounded,8,3.428,1.026,59307,7764,0.9276
8,2.0,4,1.0,5,bounded,16,3.496,1.008,57429,7582,0.9299
8,2.0,4,1.0,5,bounded,32,3.579,1.213,56064,7794,0.9316
8,2.0,4,1.0,5,greedy,0,3.579,1.213,55979,7769,0.9317
8,2.0,4,1.0,5,vtc,0,6.703,3.316,64853,9922,0.9208
8,2.0,4,1.0,6,bounded,1,2.625,1.027,39595,7281,0.9517
8,2.0,4,1.0,6,bounded,2,2.636,0.980,39509,7007,0.9518
8,2.0,4,1.0,6,bounded,4,2.664,1.055,39424,7101,0.9519
8,2.0,4,1.0,6,bounded,8,2.824,0.915,39083,6790,0.9523
8,2.0,4,1.0,6,bounded,16,3.007,1.073,38485,6556,0.9530
8,2.0,4,1.0,6,bounded,32,3.006,1.069,38315,6489,0.9532
8,2.0,4,1.0,6,greedy,0,3.003,1.067,38315,6489,0.9532
8,2.0,4,1.0,6,vtc,0,3.947,1.554,39765,7166,0.9515
8,2.0,4,1.0,7,bounded,1,2.368,1.028,23637,3691,0.9711
8,2.0,4,1.0,7,bounded,2,2.363,0.994,23637,3691,0.9711
8,2.0,4,1.0,7,bounded,4,2.403,1.076,23637,3691,0.9711
8,2.0,4,1.0,7,bounded,8,2.553,1.004,23637,3691,0.9711
8,2.0,4,1.0,7,bounded,16,2.673,1.116,23637,3691,0.9711
8,2.0,4,1.0,7,bounded,32,2.525,1.004,23637,3691,0.9711
8,2.0,4,1.0,7,greedy,0,2.525,1.004,23637,3691,0.9711
8,2.0,4,1.0,7,vtc,0,3.452,1.617,23637,3691,0.9711
8,2.0,4,1.4,5,bounded,1,13.039,4.325,61867,5852,0.9245
8,2.0,4,1.4,5,bounded,2,12.527,4.320,59648,6153,0.9272
8,2.0,4,1.4,5,bounded,4,12.066,4.134,57856,7554,0.9294
8,2.0,4,1.4,5,bounded,8,11.526,3.968,55808,5709,0.9319
8,2.0,4,1.4,5,bounded,16,11.175,3.990,52651,6462,0.9357
8,2.0,4,1.4,5,bounded,32,10.868,3.528,46677,4946,0.9430
8,2.0,4,1.4,5,greedy,0,14.217,7.253,34133,7037,0.9583
8,2.0,4,1.4,5,vtc,0,24.748,9.343,66731,9586,0.9185
8,2.0,4,1.4,6,bounded,1,7.145,2.899,39509,6753,0.9518
8,2.0,4,1.4,6,bounded,2,7.119,2.909,39509,6408,0.9518
8,2.0,4,1.4,6,bounded,4,7.201,3.279,39168,7078,0.9522
8,2.0,4,1.4,6,bounded,8,7.552,3.564,39168,7200,0.9522
8,2.0,4,1.4,6,bounded,16,8.045,3.340,38315,6856,0.9532
8,2.0,4,1.4,6,bounded,32,8.570,2.935,34048,5249,0.9584
