K,skew,B,load,capfam,W,vs_greedy_dp99,vs_greedy_drc,vs_greedy_ci_p99,vs_greedy_ci_rc,vs_vtc_dp99,vs_vtc_drc,vs_vtc_ci_p99,vs_vtc_ci_rc,joint_dominates
8,1.5,4,1.0,7,32,-0.12,85,"[-0.52,0.02]","[0,597]",-2.36,-2901,"[-3.44,-1.21]","[-6059,-939]",False
8,1.5,4,1.4,5,1,14.68,76203,"[10.00,18.59]","[66901,87296]",-31.10,-9813,"[-37.64,-25.34]","[-24661,1963]",False
8,1.5,4,1.4,5,2,11.88,68693,"[7.67,15.63]","[58795,79445]",-33.91,-17323,"[-40.10,-28.39]","[-31061,-6144]",False
8,1.5,4,1.4,5,4,7.74,57259,"[4.29,10.74]","[50091,65280]",-38.05,-28757,"[-46.07,-30.79]","[-47701,-14592]",False
8,1.5,4,1.4,5,8,3.66,44629,"[-0.44,7.01]","[36523,55040]",-42.12,-41387,"[-50.00,-35.81]","[-59051,-27051]",False
8,1.5,4,1.4,5,16,0.01,32000,"[-3.31,2.97]","[26965,37803]",-45.77,-54016,"[-53.68,-38.94]","[-71851,-37205]",False
8,1.5,4,1.4,5,32,-2.99,18432,"[-5.97,-0.87]","[12629,24235]",-48.78,-67584,"[-56.89,-41.14]","[-86528,-49835]",False
8,1.5,4,1.4,6,1,0.77,40021,"[-3.33,4.55]","[33109,46933]",-22.65,-6400,"[-29.26,-16.53]","[-14677,1792]",False
8,1.5,4,1.4,6,2,0.36,38571,"[-4.19,4.49]","[30635,46933]",-23.07,-7851,"[-29.63,-17.34]","[-18091,-341]",False
8,1.5,4,1.4,6,4,-1.01,33792,"[-5.14,2.53]","[27477,40192]",-24.44,-12629,"[-31.50,-18.39]","[-21248,-3413]",False
8,1.5,4,1.4,6,8,-1.95,30208,"[-6.28,1.73]","[24491,37205]",-25.38,-16213,"[-32.60,-19.30]","[-27136,-8533]",False
8,1.5,4,1.4,6,16,-2.79,25003,"[-7.34,0.92]","[19285,30379]",-26.22,-21419,"[-33.75,-19.73]","[-30805,-14080]",False
8,1.5,4,1.4,6,32,-4.88,13995,"[-9.63,-1.44]","[8619,20395]",-28.31,-32427,"[-35.66,-21.24]","[-40960,-23979]",False
8,1.5,4,1.4,7,1,-7.52,14336,"[-14.12,-2.67]","[8789,20480]",-8.20,-1365,"[-10.77,-5.78]","[-3499,1024]",False
8,1.5,4,1.4,7,2,-7.58,14080,"[-14.23,-2.59]","[8619,19285]",-8.26,-1621,"[-10.93,-5.61]","[-3925,939]",False
8,1.5,4,1.4,7,4,-7.16,14165,"[-14.15,-2.26]","[8960,18688]",-7.84,-1536,"[-10.49,-5.24]","[-4267,1621]",False
8,1.5,4,1.4,7,8,-6.92,14336,"[-13.13,-2.31]","[8960,20224]",-7.60,-1365,"[-10.50,-4.86]","[-3669,2048]",False
8,1.5,4,1.4,7,16,-6.56,12971,"[-13.24,-1.77]","[7765,18688]",-7.24,-2731,"[-10.09,-4.43]","[-5461,171]",False
8,1.5,4,1.4,7,32,-6.43,7168,"[-12.65,-1.94]","[2816,13141]",-7.11,-8533,"[-10.27,-4.28]","[-12459,-4779]",False
8,2.0,4,0.7,5,1,-0.01,1024,"[-0.21,0.25]","[-341,2475]",-1.10,-512,"[-1.98,-0.44]","[-1877,1280]",False
8,2.0,4,0.7,5,2,-0.10,1024,"[-0.33,0.14]","[-341,2475]",-1.19,-512,"[-2.12,-0.50]","[-1877,1280]",False
8,2.0,4,0.7,5,4,-0.07,597,"[-0.23,0.06]","[-341,1877]",-1.16,-939,"[-2.06,-0.54]","[-2475,427]",False
8,2.0,4,0.7,5,8,-0.00,512,"[-0.08,0.06]","[0,2304]",-1.10,-1024,"[-1.97,-0.51]","[-2475,171]",False
8,2.0,4,0.7,5,16,-0.00,171,"[-0.02,0.00]","[0,853]",-1.10,-1365,"[-2.00,-0.51]","[-2901,-256]",False
8,2.0,4,0.7,5,32,0.00,0,"[0.00,0.00]","[0,0]",-1.09,-1536,"[-1.99,-0.51]","[-3243,-256]",False
8,2.0,4,0.7,6,1,0.04,85,"[-0.22,0.32]","[-1536,1195]",-0.55,171,"[-1.25,-0.17]","[-427,853]",False
8,2.0,4,0.7,6,2,0.02,171,"[-0.11,0.19]","[-427,768]",-0.57,256,"[-1.31,-0.13]","[0,939]",False
8,2.0,4,0.7,6,4,0.01,171,"[-0.08,0.12]","[0,683]",-0.58,256,"[-1.35,-0.12]","[0,1365]",False
8,2.0,4,0.7,6,8,0.00,85,"[-0.01,0.04]","[0,512]",-0.58,171,"[-1.33,-0.12]","[-427,1365]",False
8,2.0,4,0.7,6,16,-0.00,0,"[-0.02,0.00]","[0,0]",-0.59,85,"[-1.35,-0.12]","[-683,1280]",False
8,2.0,4,0.7,6,32,0.00,0,"[0.00,0.00]","[0,0]",-0.59,85,"[-1.33,-0.12]","[-683,1280]",False
8,2.0,4,0.7,7,1,0.05,0,"[-0.12,0.24]","[0,0]",-0.49,0,"[-1.23,-0.12]","[0,0]",False
8,2.0,4,0.7,7,2,0.01,0,"[-0.14,0.16]","[0,0]",-0.52,0,"[-1.28,-0.12]","[0,0]",False
8,2.0,4,0.7,7,4,0.01,0,"[-0.12,0.12]","[0,0]",-0.52,0,"[-1.35,-0.11]","[0,0]",False
8,2.0,4,0.7,7,8,0.02,0,"[-0.01,0.11]","[0,0]",-0.52,0,"[-1.29,-0.11]","[0,0]",False
8,2.0,4,0.7,7,16,-0.00,0,"[-0.02,0.00]","[0,0]",-0.54,0,"[-1.31,-0.11]","[0,0]",False
8,2.0,4,0.7,7,32,0.00,0,"[0.00,0.00]","[0,0]",-0.53,0,"[-1.30,-0.11]","[0,0]",False
8,2.0,4,1.0,5,1,-0.13,6059,"[-0.88,0.50]","[3328,9301]",-3.26,-2816,"[-5.06,-1.83]","[-5632,85]",False
8,2.0,4,1.0,5,2,-0.13,5717,"[-0.83,0.46]","[3499,8704]",-3.26,-3157,"[-5.12,-1.75]","[-6571,85]",False
8,2.0,4,1.0,5,4,-0.31,4523,"[-0.91,0.12]","[2560,7339]",-3.44,-4352,"[-5.46,-1.92]","[-8363,-427]",False
8,2.0,4,1.0,5,8,-0.15,3328,"[-0.70,0.33]","[1707,5205]",-3.28,-5547,"[-5.31,-1.68]","[-10240,-1621]",False
8,2.0,4,1.0,5,16,-0.08,1451,"[-0.52,0.21]","[171,3243]",-3.21,-7424,"[-5.35,-1.56]","[-12373,-2731]",False
8,2.0,4,1.0,5,32,0.00,85,"[0.00,0.00]","[0,427]",-3.12,-8789,"[-5.15,-1.51]","[-13397,-4608]",False
8,2.0,4,1.0,6,1,-0.38,1280,"[-1.00,0.24]","[-341,3243]",-1.32,-171,"[-1.91,-0.78]","[-939,341]",False
8,2.0,4,1.0,6,2,-0.37,1195,"[-0.94,0.22]","[-171,3243]",-1.31,-256,"[-1.91,-0.75]","[-939,427]",False
8,2.0,4,1.0,6,4,-0.34,1109,"[-0.91,0.19]","[-171,2987]",-1.28,-341,"[-1.89,-0.74]","[-1707,1024]",False
8,2.0,4,1.0,6,8,-0.18,768,"[-0.63,0.14]","[-171,2304]",-1.12,-683,"[-1.94,-0.50]","[-2304,683]",False
8,2.0,4,1.0,6,16,0.00,171,"[-0.23,0.31]","[-427,768]",-0.94,-1280,"[-1.84,-0.19]","[-3157,341]",False
8,2.0,4,1.0,6,32,0.00,0,"[0.00,0.02]","[0,0]",-0.94,-1451,"[-1.89,-0.01]","[-3499,171]",False
8,2.0,4,1.0,7,1,-0.16,0,"[-0.54,0.16]","[0,0]",-1.08,0,"[-1.73,-0.49]","[0,0]",False
8,2.0,4,1.0,7,2,-0.16,0,"[-0.59,0.19]","[0,0]",-1.09,0,"[-1.77,-0.53]","[0,0]",False
8,2.0,4,1.0,7,4,-0.12,0,"[-0.50,0.23]","[0,0]",-1.05,0,"[-1.72,-0.48]","[0,0]",False
8,2.0,4,1.0,7,8,0.03,0,"[-0.23,0.38]","[0,0]",-0.90,0,"[-1.66,-0.30]","[0,0]",False
8,2.0,4,1.0,7,16,0.15,0,"[0.00,0.41]","[0,0]",-0.78,0,"[-1.41,-0.21]","[0,0]",False
8,2.0,4,1.0,7,32,0.00,0,"[0.00,0.00]","[0,0]",-0.93,0,"[-1.62,-0.25]","[0,0]",False
8,2.0,4,1.4,5,1,-1.18,27733,"[-5.40,1.45]","[21760,34901]",-11.71,-4864,"[-16.38,-8.12]","[-9131,-1707]",False
8,2.0,4,1.4,5,2,-1.69,25515,"[-5.57,1.02]","[19371,32000]",-12.22,-7083,"[-17.43,-8.45]","[-12117,-3328]",False
8,2.0,4,1.4,5,4,-2.15,23723,"[-6.50,1.04]","[16640,31403]",-12.68,-8875,"[-17.60,-8.66]","[-13653,-4352]",False
8,2.0,4,1.4,5,8,-2.69,21675,"[-7.00,0.23]","[16640,27221]",-13.22,-10923,"[-18.83,-9.29]","[-17067,-6229]",False
8,2.0,4,1.4,5,16,-3.04,18517,"[-7.36,-0.55]","[12459,25429]",-13.57,-14080,"[-18.81,-9.79]","[-19627,-8533]",False
8,2.0,4,1.4,5,32,-3.35,12544,"[-7.59,-0.45]","[6997,19541]",-13.88,-20053,"[-19.36,-9.77]","[-26453,-14165]",False
8,2.0,4,1.4,6,1,-6.11,12544,"[-12.34,-1.63]","[7509,18091]",-5.04,-939,"[-7.89,-2.97]","[-2560,1365]",False
8,2.0,4,1.4,6,2,-6.14,12544,"[-12.31,-1.76]","[7595,18005]",-5.06,-939,"[-7.87,-3.21]","[-2731,1109]",False
8,2.0,4,1.4,6,4,-6.06,12203,"[-11.99,-2.20]","[6827,17835]",-4.98,-1280,"[-7.74,-3.09]","[-4523,1707]",False
8,2.0,4,1.4,6,8,-5.70,12203,"[-11.01,-1.81]","[6400,19968]",-4.63,-1280,"[-7.25,-2.80]","[-4267,2048]",False
8,2.0,4,1.4,6,16,-5.21,11349,"[-11.00,-1.08]","[5888,17664]",-4.14,-2133,"[-6.95,-2.32]","[-4779,597]",False
8,2.0,4,1.4,6,32,-4.69,7083,"[-10.83,-0.64]","[2987,12459]",-3.61,-6400,"[-6.98,-1.45]","[-9899,-2560]",False
8,2.0,4,1.4,7,1,-8.12,2816,"[-15.39,-2.97]","[597,5376]",-2.45,85,"[-3.34,-1.71]","[-597,939]",False
8,2.0,4,1.4,7,2,-8.07,2731,"[-15.33,-2.94]","[427,5291]",-2.39,0,"[-3.25,-1.67]","[-683,939]",False
8,2.0,4,1.4,7,4,-7.79,3072,"[-14.77,-2.72]","[256,6912]",-2.12,341,"[-2.86,-1.40]","[-853,2475]",False
8,2.0,4,1.4,7,8,-7.49,2645,"[-14.65,-2.32]","[256,6059]",-1.81,-85,"[-2.60,-1.07]","[-1195,1280]",False
8,2.0,4,1.4,7,16,-6.81,2304,"[-14.00,-1.74]","[0,6059]",-1.13,-427,"[-1.93,-0.47]","[-1365,683]",True
8,2.0,4,1.4,7,32,-5.72,1621,"[-12.54,-1.16]","[171,4949]",-0.04,-1109,"[-0.62,0.56]","[-2560,256]",False
16,1.5,4,0.7,5,1,4.44,27051,"[2.49,6.74]","[18347,34389]",-28.33,-4523,"[-44.91,-18.06]","[-12544,2901]",False
16,1.5,4,0.7,5,2,2.74,19029,"[1.35,4.44]","[12459,24832]",-30.03,-12544,"[-47.03,-19.16]","[-21419,-5461]",False
16,1.5,4,0.7,5,4,1.29,11093,"[0.31,2.55]","[7168,15104]",-31.48,-20480,"[-48.51,-20.52]","[-29867,-12203]",False
16,1.5,4,0.7,5,8,0.43,5120,"[-0.20,1.15]","[2901,8021]",-32.34,-26453,"[-50.18,-20.74]","[-37632,-17664]",False
16,1.5,4,0.7,5,16,-0.08,512,"[-0.36,0.19]","[-1195,2731]",-32.85,-31061,"[-51.03,-21.33]","[-43179,-22187]",False
16,1.5,4,0.7,5,32,0.00,0,"[0.00,0.00]","[0,0]",-32.77,-31573,"[-51.06,-21.24]","[-44800,-22528]",False
16,1.5,4,0.7,6,1,1.49,15189,"[0.47,2.74]","[8789,21333]",-14.99,-7168,"[-20.80,-10.27]","[-12117,-2645]",False
16,1.5,4,0.7,6,2,1.04,11861,"[0.33,2.01]","[6656,16043]",-15.43,-10496,"[-21.59,-10.35]","[-14677,-5205]",False
16,1.5,4,0.7,6,4,0.65,9387,"[-0.38,1.59]","[5035,13141]",-15.83,-12971,"[-21.93,-10.56]","[-18347,-8021]",False
16,1.5,4,0.7,6,8,-0.05,3328,"[-0.51,0.35]","[1109,5717]",-16.53,-19029,"[-23.22,-11.01]","[-24747,-13909]",False
16,1.5,4,0.7,6,16,-0.04,341,"[-0.17,0.04]","[-597,1963]",-16.51,-22016,"[-23.19,-10.91]","[-27904,-16299]",False
16,1.5,4,0.7,6,32,0.00,0,"[0.00,0.00]","[0,0]",-16.47,-22357,"[-23.17,-10.86]","[-27989,-16640]",False
16,1.5,4,0.7,8,1,-0.02,4523,"[-0.37,0.42]","[1792,7936]",-6.03,-3840,"[-8.61,-3.87]","[-7424,-853]",False
16,1.5,4,0.7,8,2,-0.03,4011,"[-0.44,0.40]","[1365,7936]",-6.04,-4352,"[-8.70,-3.83]","[-8619,-512]",False
16,1.5,4,0.7,8,4,-0.11,2048,"[-0.40,0.23]","[-85,4437]",-6.12,-6315,"[-8.76,-3.75]","[-10325,-2475]",False
16,1.5,4,0.7,8,8,-0.07,1536,"[-0.34,0.14]","[0,3499]",-6.08,-6827,"[-8.54,-3.70]","[-10667,-3157]",False
16,1.5,4,0.7,8,16,0.05,-171,"[-0.09,0.27]","[-1024,427]",-5.96,-8533,"[-8.39,-3.62]","[-13141,-4352]",False
16,1.5,4,0.7,8,32,0.00,0,"[0.00,0.00]","[0,0]",-6.01,-8363,"[-8.51,-3.61]","[-13227,-4181]",False
16,1.5,4,1.0,5,1,25.97,90197,"[20.72,31.32]","[75861,104363]",-55.31,-6229,"[-62.03,-49.33]","[-19285,5035]",False
16,1.5,4,1.0,5,2,20.45,74923,"[16.69,24.63]","[62549,86528]",-60.83,-21504,"[-68.96,-54.65]","[-38059,-9472]",False
16,1.5,4,1.0,5,4,11.83,50773,"[8.53,15.04]","[41899,59477]",-69.45,-45653,"[-75.95,-63.08]","[-58368,-34048]",False
16,1.5,4,1.0,5,8,7.22,36437,"[4.41,10.07]","[27477,44800]",-74.06,-59989,"[-83.20,-66.79]","[-80469,-44288]",False
16,1.5,4,1.0,5,16,1.47,17664,"[0.35,2.93]","[12629,23467]",-79.81,-78763,"[-88.39,-71.98]","[-97621,-62635]",False
16,1.5,4,1.0,5,32,-0.83,5035,"[-1.77,0.33]","[1707,11947]",-82.11,-91392,"[-90.53,-74.42]","[-110848,-73899]",False
16,1.5,4,1.0,6,1,14.72,57088,"[11.16,18.14]","[46421,67755]",-53.17,-16981,"[-64.32,-43.00]","[-35243,-4523]",False
16,1.5,4,1.0,6,2,11.32,47445,"[8.49,13.89]","[37717,56832]",-56.57,-26624,"[-67.50,-45.93]","[-46251,-13568]",False
16,1.5,4,1.0,6,4,8.92,39851,"[6.46,11.24]","[30891,48896]",-58.97,-34219,"[-70.32,-47.64]","[-53163,-19115]",False
16,1.5,4,1.0,6,8,5.61,29525,"[3.52,8.25]","[22016,37461]",-62.28,-44544,"[-74.30,-50.14]","[-67840,-26368]",False
16,1.5,4,1.0,6,16,1.66,16981,"[0.24,3.23]","[10667,24235]",-66.22,-57088,"[-78.29,-54.43]","[-79104,-40107]",False
16,1.5,4,1.0,6,32,-0.29,3669,"[-1.24,0.33]","[683,8107]",-68.17,-70400,"[-80.81,-56.09]","[-96000,-51541]",False
16,1.5,4,1.0,8,1,2.75,24064,"[0.36,5.20]","[17579,30891]",-27.78,-9728,"[-39.79,-18.57]","[-17579,-3840]",False
16,1.5,4,1.0,8,2,2.16,22357,"[0.05,4.30]","[15445,29269]",-28.37,-11435,"[-40.21,-19.01]","[-19712,-4864]",False
16,1.5,4,1.0,8,4,2.36,21931,"[0.23,4.53]","[14677,29696]",-28.17,-11861,"[-40.28,-18.61]","[-19541,-6315]",False
16,1.5,4,1.0,8,8,1.53,17749,"[-0.82,3.61]","[10240,25941]",-29.00,-16043,"[-40.92,-19.29]","[-23381,-9984]",False
16,1.5,4,1.0,8,16,0.22,9216,"[-1.14,1.66]","[3755,15445]",-30.31,-24576,"[-42.49,-20.42]","[-34133,-17920]",False
16,1.5,4,1.0,8,32,-0.32,1109,"[-0.95,0.15]","[-256,4864]",-30.85,-32683,"[-43.50,-20.22]","[-43093,-23552]",False
16,1.5,4,1.4,5,1,34.79,147285,"[29.81,40.26]","[137387,159061]",-39.77,-20907,"[-49.67,-31.65]","[-46592,-939]",False
16,1.5,4,1.4,5,2,29.00,131840,"[24.96,34.84]","[120576,143275]",-45.56,-36352,"[-55.05,-36.77]","[-62208,-17835]",False
16,1.5,4,1.4,5,4,19.79,106752,"[15.17,25.56]","[97451,118272]",-54.76,-61440,"[-64.19,-46.85]","[-85931,-41131]",False
16,1.5,4,1.4,5,8,10.67,82176,"[7.29,14.42]","[73472,90453]",-63.89,-86016,"[-75.89,-54.66]","[-113749,-63744]",False
16,1.5,4,1.4,5,16,1.82,56320,"[-2.37,5.45]","[46336,64427]",-72.73,-111872,"[-84.72,-63.74]","[-139008,-89344]",False
16,1.5,4,1.4,5,32,-4.47,34901,"[-7.66,-1.76]","[30208,39936]",-79.03,-133291,"[-92.28,-69.22]","[-164608,-106411]",False
16,1.5,4,1.4,6,1,23.11,112213,"[18.67,27.17]","[102144,122624]",-39.70,-20907,"[-46.91,-31.88]","[-41643,-1365]",False
16,1.5,4,1.4,6,2,19.47,102656,"[14.93,22.41]","[92928,112896]",-43.34,-30464,"[-49.52,-35.28]","[-48469,-9643]",False
16,1.5,4,1.4,6,4,13.91,87040,"[9.66,17.61]","[76885,96341]",-48.90,-46080,"[-54.85,-41.57]","[-61781,-28075]",False
16,1.5,4,1.4,6,8,8.25,71424,"[5.67,11.35]","[63403,78421]",-54.56,-61696,"[-60.40,-47.58]","[-77739,-45227]",False
16,1.5,4,1.4,6,16,2.23,53333,"[-1.49,5.33]","[46336,60501]",-60.58,-79787,"[-67.02,-53.18]","[-97109,-60501]",False
16,1.5,4,1.4,6,32,-3.02,34987,"[-5.57,-0.74]","[29952,40192]",-65.83,-98133,"[-72.00,-59.44]","[-115627,-81579]",False
16,1.5,4,1.4,8,1,3.47,70229,"[-2.53,8.43]","[59819,79872]",-38.72,-20565,"[-44.86,-32.42]","[-34219,-9131]",False
16,1.5,4,1.4,8,2,2.02,66219,"[-3.64,6.85]","[54784,77056]",-40.16,-24576,"[-46.08,-33.90]","[-37632,-13483]",False
16,1.5,4,1.4,8,4,0.17,61611,"[-4.59,4.67]","[50347,73387]",-42.02,-29184,"[-48.64,-35.59]","[-43861,-17237]",False
16,1.5,4,1.4,8,8,-2.18,54528,"[-9.03,2.96]","[47104,61867]",-44.37,-36267,"[-51.38,-37.84]","[-53504,-24064]",False
16,1.5,4,1.4,8,16,-4.39,47019,"[-10.69,1.10]","[41557,52224]",-46.58,-43776,"[-53.22,-40.03]","[-59989,-31403]",False
16,1.5,4,1.4,8,32,-6.47,36779,"[-12.54,-1.10]","[31403,41472]",-48.66,-54016,"[-55.36,-42.05]","[-69973,-40789]",False
16,2.0,4,0.7,5,1,0.15,3584,"[-0.28,0.63]","[683,6144]",-3.72,-2133,"[-5.58,-2.31]","[-3925,0]",False
16,2.0,4,0.7,5,2,-0.09,2731,"[-0.46,0.36]","[853,4608]",-3.96,-2987,"[-5.70,-2.54]","[-5035,-1024]",False
16,2.0,4,0.7,5,4,-0.14,1621,"[-0.46,0.13]","[427,2987]",-4.01,-4096,"[-5.77,-2.56]","[-6827,-1877]",False
16,2.0,4,0.7,5,8,-0.03,427,"[-0.36,0.23]","[-256,1195]",-3.90,-5291,"[-5.71,-2.40]","[-8533,-2645]",False
16,2.0,4,0.7,5,16,0.00,0,"[0.00,0.02]","[0,0]",-3.86,-5717,"[-5.60,-2.39]","[-8533,-3072]",False
16,2.0,4,0.7,5,32,0.00,0,"[0.00,0.00]","[0,0]",-3.87,-5717,"[-5.60,-2.39]","[-8533,-3072]",False
16,2.0,4,0.7,6,1,-0.00,1365,"[-0.45,0.51]","[171,2816]",-2.32,-1024,"[-4.00,-1.07]","[-3072,427]",False
16,2.0,4,0.7,6,2,-0.13,1365,"[-0.48,0.29]","[256,2816]",-2.45,-1024,"[-4.01,-1.25]","[-2816,341]",False
16,2.0,4,0.7,6,4,-0.19,683,"[-0.44,0.04]","[-512,2133]",-2.51,-1707,"[-4.10,-1.25]","[-3755,-171]",False
16,2.0,4,0.7,6,8,-0.12,512,"[-0.52,0.14]","[-427,2048]",-2.44,-1877,"[-4.08,-1.13]","[-4096,-171]",False
16,2.0,4,0.7,6,16,0.01,0,"[0.00,0.05]","[-512,427]",-2.31,-2389,"[-3.92,-1.04]","[-4352,-853]",False
16,2.0,4,0.7,6,32,0.00,0,"[0.00,0.00]","[0,0]",-2.32,-2389,"[-3.96,-1.04]","[-4267,-853]",False
16,2.0,4,0.7,8,1,-0.13,-171,"[-0.43,0.12]","[-1109,597]",-0.88,0,"[-1.87,-0.21]","[-597,427]",False
16,2.0,4,0.7,8,2,-0.15,-256,"[-0.48,0.14]","[-1109,427]",-0.90,-85,"[-1.95,-0.22]","[-853,427]",False
16,2.0,4,0.7,8,4,-0.13,-171,"[-0.43,0.10]","[-1024,768]",-0.88,0,"[-1.91,-0.21]","[-768,683]",False
16,2.0,4,0.7,8,8,-0.08,85,"[-0.52,0.09]","[0,597]",-0.83,256,"[-1.81,-0.15]","[-853,1365]",False
16,2.0,4,0.7,8,16,0.00,0,"[0.00,0.02]","[0,0]",-0.75,171,"[-1.71,-0.14]","[-939,1280]",False
16,2.0,4,0.7,8,32,0.00,0,"[0.00,0.00]","[0,0]",-0.75,171,"[-1.71,-0.15]","[-939,1280]",False
16,2.0,4,1.0,5,1,1.63,17749,"[-0.00,3.49]","[11776,24832]",-14.60,-7339,"[-22.21,-8.47]","[-11435,-2560]",False
16,2.0,4,1.0,5,2,1.01,15445,"[-0.39,2.62]","[10411,20395]",-15.22,-9643,"[-22.94,-8.77]","[-14336,-4523]",False
16,2.0,4,1.0,5,4,0.63,13824,"[-0.51,1.84]","[8448,19115]",-15.60,-11264,"[-23.51,-9.15]","[-16128,-6059]",False
