K,skew,B,load,capfam,W,vs_greedy_dp99,vs_greedy_drc,vs_greedy_ci_p99,vs_greedy_ci_rc,vs_vtc_dp99,vs_vtc_drc,vs_vtc_ci_p99,vs_vtc_ci_rc,joint_dominates
16,2.0,4,1.0,5,8,0.23,11435,"[-0.82,1.32]","[6315,16384]",-16.00,-13653,"[-24.05,-9.50]","[-19712,-8789]",False
16,2.0,4,1.0,5,16,-0.26,5547,"[-1.02,0.53]","[2133,8960]",-16.49,-19541,"[-24.68,-9.75]","[-26197,-13824]",False
16,2.0,4,1.0,5,32,0.01,1365,"[-0.57,0.44]","[-256,3499]",-16.22,-23723,"[-24.54,-9.41]","[-32256,-16384]",False
16,2.0,4,1.0,6,1,0.08,8533,"[-1.16,1.37]","[4181,12629]",-6.65,-3072,"[-11.43,-3.86]","[-5717,-341]",False
16,2.0,4,1.0,6,2,-0.02,7595,"[-1.27,1.14]","[2816,12203]",-6.75,-4011,"[-11.32,-3.96]","[-6912,-853]",False
16,2.0,4,1.0,6,4,-0.24,6741,"[-1.36,1.27]","[2219,11093]",-6.97,-4864,"[-11.64,-4.22]","[-7680,-2219]",False
16,2.0,4,1.0,6,8,-0.58,4779,"[-1.51,0.70]","[1365,8277]",-7.31,-6827,"[-12.30,-4.24]","[-10496,-3755]",False
16,2.0,4,1.0,6,16,-0.51,1621,"[-1.32,0.12]","[171,3499]",-7.24,-9984,"[-12.18,-3.93]","[-14251,-6315]",False
16,2.0,4,1.0,6,32,-0.04,171,"[-0.41,0.31]","[-512,1280]",-6.77,-11435,"[-11.76,-3.48]","[-16640,-7168]",False
16,2.0,4,1.0,8,1,-1.11,1963,"[-1.98,-0.44]","[256,3840]",-2.71,-512,"[-4.33,-1.44]","[-1963,597]",False
16,2.0,4,1.0,8,2,-1.09,2219,"[-1.94,-0.44]","[512,4523]",-2.69,-256,"[-4.33,-1.46]","[-1365,768]",False
16,2.0,4,1.0,8,4,-1.04,1707,"[-1.91,-0.35]","[171,3925]",-2.64,-768,"[-4.33,-1.38]","[-2133,341]",False
16,2.0,4,1.0,8,8,-0.79,1109,"[-1.68,-0.05]","[85,3755]",-2.39,-1365,"[-3.98,-1.14]","[-3072,171]",False
16,2.0,4,1.0,8,16,-0.43,427,"[-1.22,0.03]","[-341,1621]",-2.04,-2048,"[-3.91,-0.75]","[-4352,-256]",False
16,2.0,4,1.0,8,32,-0.11,0,"[-0.51,0.12]","[0,0]",-1.71,-2475,"[-3.57,-0.57]","[-5291,-341]",False
16,2.0,4,1.4,5,1,3.19,56747,"[-0.63,6.26]","[45995,69803]",-26.02,-11008,"[-31.11,-21.19]","[-19200,-3072]",False
16,2.0,4,1.4,5,2,1.17,50944,"[-1.50,3.43]","[40192,63573]",-28.03,-16811,"[-32.98,-22.99]","[-24661,-9216]",False
16,2.0,4,1.4,5,4,-1.27,43691,"[-4.27,1.59]","[33707,53248]",-30.48,-24064,"[-36.05,-25.47]","[-33536,-15531]",False
16,2.0,4,1.4,5,8,-3.16,38229,"[-6.13,-0.60]","[30720,45397]",-32.37,-29525,"[-39.22,-26.49]","[-41301,-20736]",False
16,2.0,4,1.4,5,16,-5.14,31829,"[-8.25,-2.55]","[25429,37803]",-34.35,-35925,"[-41.43,-28.80]","[-48043,-26283]",False
16,2.0,4,1.4,5,32,-6.72,23211,"[-10.04,-3.93]","[17152,28160]",-35.92,-44544,"[-43.20,-30.21]","[-57088,-35413]",False
16,2.0,4,1.4,6,1,-3.21,38656,"[-10.00,1.79]","[27733,49749]",-19.40,-5888,"[-26.09,-14.68]","[-10752,-2304]",False
16,2.0,4,1.4,6,2,-4.20,35840,"[-10.41,0.93]","[26112,44800]",-20.40,-8704,"[-27.15,-14.95]","[-13824,-4011]",False
16,2.0,4,1.4,6,4,-4.15,35755,"[-9.48,0.38]","[25941,43520]",-20.34,-8789,"[-27.71,-15.05]","[-16128,-3584]",False
16,2.0,4,1.4,6,8,-5.35,32512,"[-11.44,-0.72]","[24747,39509]",-21.55,-12032,"[-28.61,-15.51]","[-17835,-6229]",False
16,2.0,4,1.4,6,16,-5.82,30123,"[-12.56,-1.50]","[24491,36523]",-22.02,-14421,"[-29.51,-15.31]","[-22272,-6912]",False
16,2.0,4,1.4,6,32,-7.07,22187,"[-13.28,-2.73]","[15787,27733]",-23.26,-22357,"[-30.46,-16.70]","[-30379,-15445]",False
16,2.0,4,1.4,8,1,-10.11,17664,"[-17.71,-5.04]","[10581,27051]",-9.90,-1792,"[-13.94,-6.48]","[-4437,85]",False
16,2.0,4,1.4,8,2,-10.32,17067,"[-17.84,-5.16]","[10667,25088]",-10.11,-2389,"[-14.63,-6.63]","[-5376,-171]",False
16,2.0,4,1.4,8,4,-9.88,17835,"[-17.20,-4.47]","[11264,24405]",-9.68,-1621,"[-14.47,-5.92]","[-5205,1877]",False
16,2.0,4,1.4,8,8,-10.04,17408,"[-17.12,-4.76]","[11349,23125]",-9.84,-2048,"[-15.07,-6.09]","[-6400,1963]",False
16,2.0,4,1.4,8,16,-9.60,16640,"[-16.67,-4.49]","[10581,24747]",-9.40,-2816,"[-14.29,-5.34]","[-8704,2731]",False
16,2.0,4,1.4,8,32,-8.97,12800,"[-16.85,-3.65]","[6229,19797]",-8.77,-6656,"[-13.57,-4.89]","[-10923,-2304]",False
