seed,frac,L,rank,answer_score,top_distractor_score,bp_idf_mean,lennorm_answer,answer_len,n_docs_with_bp
3,0.25,8,1,29.072863,25.785380,5.350111,1.119374,58,9
3,0.25,16,1,27.807434,25.790592,5.350111,1.238576,66,9
3,0.25,32,2,25.589635,25.801001,5.350111,1.476468,82,9
3,0.25,64,4,22.092125,25.821754,5.350111,1.950207,114,9
3,0.25,128,9,17.394926,25.863004,5.350111,2.889592,178,9
3,0.25,256,18,12.277808,25.944496,5.350111,4.736628,306,9
3,0.25,512,19,7.830971,26.103562,5.350111,8.308657,562,9
3,0.25,1024,38,4.666976,26.406871,5.350111,15.000586,1074,9
3,1.0,0,1,30.463794,25.780162,0.000000,1.000000,50,31
3,1.0,8,1,29.089829,24.689080,4.151415,1.117848,58,31
3,1.0,16,1,27.842608,23.691350,4.151415,1.235114,66,31
3,1.0,32,1,25.663102,21.931803,4.151415,1.467918,82,31
3,1.0,64,1,22.242522,19.131489,4.151415,1.926734,114,31
3,1.0,128,1,17.680619,15.329032,4.151415,2.818098,178,31
3,1.0,256,1,12.752862,11.143624,4.151415,4.502520,306,31
3,1.0,512,1,8.506350,7.479066,4.151415,7.525269,562,31
3,1.0,1024,1,5.505246,5.322708,4.151415,12.478261,1074,31
4,0.0,0,1,30.677714,26.156071,0.000000,1.000000,50,1
4,0.0,8,1,29.270378,26.156659,7.195937,1.119930,58,1
4,0.0,16,1,27.989030,26.157248,7.195937,1.239842,66,1
4,0.0,32,5,25.741030,26.158424,7.195937,1.479607,82,1
4,0.0,64,8,22.189862,26.160777,7.195937,1.958906,114,1
4,0.0,128,15,17.408754,26.165478,7.195937,2.916587,178,1
4,0.0,256,19,12.184361,26.174868,7.195937,4.828280,306,1
4,0.0,512,20,7.630487,26.193597,7.195937,8.637058,562,1
4,0.0,1024,43,4.382323,26.230850,7.195937,16.196706,1074,1
4,0.25,0,1,30.677714,26.156071,0.000000,1.000000,50,9
4,0.25,8,1,29.276602,26.161364,5.350111,1.119374,58,9
4,0.25,16,1,28.001952,26.166653,5.350111,1.238576,66,9
4,0.25,32,4,25.768088,26.177213,5.350111,1.476468,82,9
4,0.25,64,5,22.245475,26.198269,5.350111,1.950207,114,9
4,0.25,128,9,17.514970,26.240120,5.350111,2.889592,178,9
4,0.25,256,12,12.362044,26.322801,5.350111,4.736628,306,9
4,0.25,512,13,7.884446,26.484186,5.350111,8.308657,562,9
4,0.25,1024,35,4.698745,26.791917,5.350111,15.000586,1074,9
4,1.0,0,1,30.677714,26.156071,0.000000,1.000000,50,31
4,1.0,8,1,29.293691,25.049079,4.151415,1.117848,58,31
