alpha,c,q,k,delta_mean,delta_ci,acc_full,acc_surv,removal_rate,removal_ci,mean_L_full,mean_L_surv,ci_covers_0
0.0,low,0.002,8,0.0002196011540291018,0.00027089599615630626,0.5012776235116237,0.5014972246656528,0.034937499999999996,0.0019374483864093106,24.68146875,24.240015676594222,True
0.0,low,0.002,13,0.0002120481098994917,0.0004238958836383766,0.49951770372966914,0.49972975183956864,0.02387500000000002,0.0017739856256463885,24.569031250000002,24.116943873508326,True
0.0,low,0.002,25,-0.000171972089866905,0.00015920156750075538,0.4995179224249217,0.4993459503350548,0.011562500000000003,0.0012415136930376547,24.72275,24.33687370178417,False
0.0,med,0.01,8,4.807862978357946e-05,0.0014110668189720686,0.5009369802185627,0.5009850588483462,0.15203125,0.004114705525611775,24.56821875,22.58874841838945,True
0.0,med,0.01,13,-0.00017193104468288256,0.0008904848217550138,0.5001209855590382,0.4999490545143553,0.11181250000000001,0.0037782577003163697,24.568625,22.57531703382951,True
0.0,med,0.01,25,1.7010988607776834e-05,0.0003922886932926595,0.49934620250783746,0.49936321349644525,0.049250000000000016,0.002715603063777906,24.63434375,23.13956364091207,True
0.0,high,0.05,8,-0.001092420119918898,0.0024789871562903736,0.5013015852223779,0.5002091651024589,0.511,0.009782484347035783,24.7358125,18.340368054718105,True
0.0,high,0.05,13,-0.0008071010217736846,0.002271148836627597,0.5001396649470736,0.49933256392529995,0.36546875,0.003413004770359978,24.61265625,18.292340037123296,True
0.0,high,0.05,25,-0.0001188650766965893,0.000990478200105555,0.49856385090493727,0.49844498582824065,0.16249999999999998,0.0032804915790167885,24.58146875,20.12011986556693,True
0.3,low,0.002,8,0.00191862307254171,0.00038473301469390235,0.5009365445631053,0.502855167635647,0.03437499999999999,0.0013734991809243907,24.687625,24.253778906864273,False
0.3,low,0.002,13,0.0017946697283761637,0.0004691640660556814,0.5013646800914309,0.503159349819807,0.023187500000000014,0.001285624848079708,24.590875,24.148697352309558,False
0.3,low,0.002,25,0.0011921916459663104,0.00029966174681772957,0.49900234829965234,0.5001945399456187,0.010874999999999996,0.0010311643903859206,24.61615625,24.284828936414343,False
