rho,delta_first,ci_first,delta_last,ci_last,delta_rand_abs,ci_rand,all_audit_same_count,mean_fp_docs,mean_removal_rate,mean_n_detected,nseeds
-0.6,0.038291400487750385,0.0010463233520948587,-0.037438909862682127,0.0010319541089300185,0.05800771358999779,0.002299482215344988,True,8.5,0.16671263572327502,1103.9545454545455,22
-0.4,0.02523484047551876,0.0010773097299790226,-0.024491770822707107,0.0010087481620682565,0.05800771358999779,0.002299482215344988,True,8.5,0.16671263572327502,1103.9545454545455,22
-0.2,0.01237308229859314,0.0009771816067608288,-0.011903832704054889,0.0010437891324508242,0.05800771358999779,0.002299482215344988,True,8.5,0.16671263572327502,1103.9545454545455,22
0.0,0.00021713867258170235,0.0008833273092878821,0.0007084060142326762,0.0009239926506807726,0.05800771358999779,0.002299482215344988,True,8.5,0.16671263572327502,1103.9545454545455,22
0.1,-0.0063142640102756215,0.0009485556424001544,0.0066073248789215895,0.0008011384487010378,0.05800771358999779,0.002299482215344988,True,8.5,0.16671263572327502,1103.9545454545455,22
0.2,-0.012538259696419524,0.0010693296869731552,0.012964533199665474,0.0007189929523900822,0.05800771358999779,0.002299482215344988,True,8.5,0.16671263572327502,1103.9545454545455,22
0.3,-0.01884869499029726,0.001029177258215465,0.01937779318612027,0.0006743760602731811,0.05800771358999779,0.002299482215344988,True,8.5,0.16671263572327502,1103.9545454545455,22
0.4,-0.02484870752398213,0.0009350794886356783,0.026106741681303915,0.0008261444725377214,0.05800771358999779,0.002299482215344988,True,8.5,0.16671263572327502,1103.9545454545455,22
0.6,-0.037210009226929276,0.000996080333976317,0.038215445945221915,0.0007259037807402676,0.05800771358999779,0.002299482215344988,True,8.5,0.16671263572327502,1103.9545454545455,22
0.8,-0.05045149834013376,0.0008879996651672208,0.05147344783331516,0.0007927184511881799,0.05800771358999779,0.002299482215344988,True,8.5,0.16671263572327502,1103.9545454545455,22
1.0,-0.06403680097650255,0.0008857278995745781,0.06492840434063184,0.000807211041355216,0.05800771358999779,0.002299482215344988,True,8.5,0.16671263572327502,1103.9545454545455,22
