regime,sigma,seed,b,q_router,q_conf,q_rand,q_oracle,q_allquant,q_allfull,auc
request_dependent,0.05,1,0.05,0.772404431238178,0.7730512283323521,0.7424075563273852,0.7757117534330144,0.7275578183522429,0.9963887505684015,0.9944107142857143
request_dependent,0.05,1,0.1,0.8137828044349797,0.8143551034556042,0.755604750531631,0.817074893720016,0.7275578183522429,0.9963887505684015,0.9944107142857143
request_dependent,0.05,1,0.2,0.8791046193998762,0.8790213220285562,0.7841686221791169,0.8822245791008726,0.7275578183522429,0.9963887505684015,0.9944107142857143
request_dependent,0.05,1,0.3,0.9249017402152087,0.9251521890550868,0.807411763289091,0.9269231820763965,0.7275578183522429,0.9963887505684015,0.9944107142857143
request_dependent,0.05,1,0.5,0.9725186587964441,0.9729138207872288,0.8605237152268559,0.9737794610654256,0.7275578183522429,0.9963887505684015,0.9944107142857143
request_dependent,0.05,2,0.05,0.7705504637878303,0.7701913611553166,0.7395099126666521,0.772919840792281,0.7256472819031295,0.9973854551681046,0.9938392857142857
request_dependent,0.05,2,0.1,0.8102690480072962,0.8099261321343247,0.7512074732197594,0.8135412503953608,0.7256472819031295,0.9973854551681046,0.9938392857142857
request_dependent,0.05,2,0.2,0.8750650440938681,0.8750616297573391,0.7798355662782481,0.8778444113327024,0.7256472819031295,0.9973854551681046,0.9938392857142857
request_dependent,0.05,2,0.3,0.9211846246827392,0.9211988845201793,0.8039995227555338,0.9233213041870149,0.7256472819031295,0.9973854551681046,0.9938392857142857
request_dependent,0.05,2,0.5,0.9723344742099167,0.9723599945869729,0.8599319142302636,0.9731090532905694,0.7256472819031295,0.9973854551681046,0.9938392857142857
request_dependent,0.05,3,0.05,0.7798984603191118,0.7800087063261236,0.7478021892827874,0.7825402944323098,0.7352438142443464,0.9979956119283011,0.9938178571428572
request_dependent,0.05,3,0.1,0.8198416827597131,0.8203722828988385,0.758611219670249,0.8228264780317903,0.7352438142443464,0.9979956119283011,0.9938178571428572
request_dependent,0.05,3,0.2,0.8842716571496423,0.8851117351063902,0.786062033068589,0.8867458538794243,0.7352438142443464,0.9979956119283011,0.9938178571428572
request_dependent,0.05,3,0.3,0.9279831561608004,0.9280608090899126,0.8157090693827754,0.9296341814382891,0.7352438142443464,0.9979956119283011,0.9938178571428572
request_dependent,0.05,3,0.5,0.9748694088947533,0.9751130356350726,0.8643742497815512,0.975939916194036,0.7352438142443464,0.9979956119283011,0.9938178571428572
request_dependent,0.05,4,0.05,0.775417538742658,0.7753338452200997,0.7445017420180096,0.7779843676771205,0.7304272633680376,1.001818445087343,0.9930404761904762
request_dependent,0.05,4,0.1,0.8158741415039339,0.815895623741238,0.7554146113689552,0.8190065986706693,0.7304272633680376,1.001818445087343,0.9930404761904762
request_dependent,0.05,4,0.2,0.8804874652269759,0.880812074462476,0.7824358335765178,0.8830397484186204,0.7304272633680376,1.001818445087343,0.9930404761904762
request_dependent,0.05,4,0.3,0.9255164970268422,0.9251188853074455,0.8153252274148914,0.9274702038428217,0.7304272633680376,1.001818445087343,0.9930404761904762
request_dependent,0.05,4,0.5,0.9761645862693034,0.976110283039964,0.8648771168641942,0.9771715517770407,0.7304272633680376,1.001818445087343,0.9930404761904762
request_dependent,0.05,5,0.05,0.7899129403198982,0.7893244709491857,0.7579331966783104,0.7919855184367468,0.7443901488616465,1.0012795107433425,0.9939035714285714
