seed,frac,t_qterms,L,rank,answer_score,top_distractor_score
3,1.0,1,512,1,33.782605,24.068949
3,0.5,2,0,1,33.594884,27.870445
3,0.5,2,4,1,32.440927,28.477955
3,0.5,2,8,1,32.444804,29.203799
3,0.5,2,16,1,32.452551,29.722186
3,0.5,2,32,1,32.468009,29.770142
3,0.5,2,64,1,32.498787,29.238037
3,0.5,2,128,1,32.559789,28.267842
3,0.5,2,256,1,32.679632,27.445414
3,0.5,2,512,1,32.911022,27.634498
3,1.0,2,0,1,33.594884,27.870445
3,1.0,2,4,2,31.863498,33.637586
3,1.0,2,8,3,31.871109,34.741334
3,1.0,2,16,3,31.886297,35.339955
3,1.0,2,32,3,31.916536,35.186837
3,1.0,2,64,3,31.976473,34.224127
3,1.0,2,128,2,32.094225,32.642083
3,1.0,2,256,1,32.321581,30.884039
3,1.0,2,512,1,32.746240,29.411862
4,0.5,1,0,1,33.833993,28.276833
4,0.5,1,4,1,33.399771,29.097085
4,0.5,1,8,1,33.403761,29.285332
4,0.5,1,16,1,33.411734,29.107232
4,0.5,1,32,1,33.427642,28.391282
4,0.5,1,64,1,33.459316,27.737421
4,0.5,1,128,1,33.522094,27.788179
4,0.5,1,256,1,33.645424,27.887827
4,0.5,1,512,1,33.883542,28.079959
4,1.0,1,0,1,33.833993,28.276833
4,1.0,1,4,2,32.921671,33.498422
4,1.0,1,8,2,32.929531,33.868891
4,1.0,1,16,2,32.945216,33.643479
4,1.0,1,32,1,32.976443,32.709416
4,1.0,1,64,1,33.038338,31.028653
4,1.0,1,128,1,33.159933,28.794595
4,1.0,1,256,1,33.394706,26.491896
4,1.0,1,512,1,33.833194,24.615623
4,0.5,2,0,1,33.833993,28.276833
4,0.5,2,4,1,32.847271,28.823259
4,0.5,2,8,1,32.851188,29.569460
4,0.5,2,16,1,32.859013,30.107133
4,0.5,2,32,1,32.874628,30.218749
4,0.5,2,64,1,32.905717,29.739162
4,0.5,2,128,1,32.967334,28.748150
4,0.5,2,256,1,33.088378,27.804621
4,0.5,2,512,1,33.322055,27.996179
4,1.0,2,0,1,33.833993,28.276833
4,1.0,2,4,3,32.056924,33.666128
4,1.0,2,8,3,32.064554,34.766171
4,1.0,2,16,3,32.079779,35.362395
4,1.0,2,32,3,32.110091,35.207640
4,1.0,2,64,3,32.170169,34.243380
4,1.0,2,128,2,32.288186,32.659610
4,1.0,2,256,1,32.516010,30.899848
4,1.0,2,512,1,32.941381,29.426271
5,0.5,1,0,1,33.987309,27.316125
5,0.5,1,4,1,33.572259,27.960694
5,0.5,1,8,1,33.576173,28.138942
5,0.5,1,16,1,33.583994,27.965191
5,0.5,1,32,1,33.599597,27.274481
5,0.5,1,64,1,33.630658,26.947090
5,0.5,1,128,1,33.692201,26.996402
5,0.5,1,256,1,33.813020,27.093211
5,0.5,1,512,1,34.045974,27.279868
5,1.0,1,0,1,33.987309,27.316125
5,1.0,1,4,1,33.249622,32.552335
5,1.0,1,8,1,33.257366,32.917849
5,1.0,1,16,1,33.272818,32.702912
5,1.0,1,32,1,33.303577,31.798974
5,1.0,1,64,1,33.364521,30.170578
5,1.0,1,128,1,33.484166,28.006792
5,1.0,1,256,1,33.714853,25.777972
5,1.0,1,512,1,34.144580,23.963052
5,0.5,2,0,1,33.987309,27.316125
5,0.5,2,4,3,33.139334,33.734453
5,0.5,2,8,5,33.143199,34.904514
5,0.5,2,16,5,33.150918,35.562698
5,0.5,2,32,5,33.166320,35.457726
5,0.5,2,64,5,33.196981,34.531004
5,0.5,2,128,1,33.257730,32.970270
5,0.5,2,256,1,33.376991,31.215334
5,0.5,2,512,1,33.606941,29.729156
5,1.0,2,0,1,33.987309,27.316125
5,1.0,2,4,3,32.391887,32.924192
5,1.0,2,8,6,32.399431,34.015990
5,1.0,2,16,6,32.414485,34.612644
5,1.0,2,32,6,32.444450,34.472695
5,1.0,2,64,5,32.503822,33.540351
5,1.0,2,128,1,32.620380,32.002183
5,1.0,2,256,1,32.845116,30.291196
5,1.0,2,512,1,33.263757,28.858124
6,0.5,1,0,1,33.672426,27.947987
6,0.5,1,4,1,33.467453,28.819242
6,0.5,1,8,1,33.471450,28.975793
6,0.5,1,16,1,33.479436,28.769951
6,0.5,1,32,1,33.495372,28.030094
6,0.5,1,64,1,33.527099,27.790509
6,0.5,1,128,1,33.589983,27.841365
6,0.5,1,256,1,33.713520,27.941203
6,0.5,1,512,1,33.952033,28.133703
6,1.0,1,0,1,33.672426,27.947987
6,1.0,1,4,1,33.288224,28.676758
6,1.0,1,8,1,33.296167,28.821465
6,1.0,1,16,1,33.312017,28.608723
6,1.0,1,32,1,33.343575,27.869930
6,1.0,1,64,1,33.406123,26.522634
6,1.0,1,128,1,33.529001,24.692294
6,1.0,1,256,1,33.766243,22.767600
6,1.0,1,512,1,34.209315,21.175081
6,0.5,2,0,1,33.672426,27.947987
6,0.5,2,4,2,32.888458,34.551443
6,0.5,2,8,2,32.892380,35.700527
6,0.5,2,16,2,32.900215,36.321489
6,0.5,2,32,2,32.915849,36.158989
6,0.5,2,64,2,32.946976,35.150720
6,0.5,2,128,2,33.008669,33.488759
6,0.5,2,256,1,33.129860,31.630476
6,0.5,2,512,1,33.363823,30.059199
6,1.0,2,0,1,33.672426,27.947987
6,1.0,2,4,2,32.526346,34.120731
6,1.0,2,8,2,32.534087,35.213644
6,1.0,2,16,2,32.549532,35.795083
6,1.0,2,32,2,32.580283,35.615274
6,1.0,2,64,2,32.641231,34.613753
6,1.0,2,128,2,32.760956,32.982848
6,1.0,2,256,1,32.992075,31.174738
6,1.0,2,512,1,33.423591,29.661378
7,0.5,1,0,3,26.908664,28.380831
7,0.5,1,4,5,26.911905,35.421492
7,0.5,1,8,5,26.915143,35.836995
7,0.5,1,16,5,26.921611,35.618203
7,0.5,1,32,3,26.934520,34.637580
7,0.5,1,64,3,26.960221,32.831161
7,0.5,1,128,2,27.011168,30.373571
7,0.5,1,256,2,27.111274,27.780350
7,0.5,1,512,1,27.304626,26.126388
7,1.0,1,0,3,26.908664,28.380831
7,1.0,1,4,7,26.915143,34.765896
7,1.0,1,8,9,26.921611,35.114587
7,1.0,1,16,7,26.934520,34.858073
7,1.0,1,32,6,26.960221,33.866637
7,1.0,1,64,3,27.011168,32.075252
7,1.0,1,128,3,27.111274,29.658348
7,1.0,1,256,1,27.304626,27.124107
7,1.0,1,512,1,27.665999,25.028457
7,0.5,2,0,3,26.908664,28.380831
7,0.5,2,4,7,26.374829,34.728213
7,0.5,2,8,8,26.377996,35.953342
7,0.5,2,16,8,26.384321,36.649641
7,0.5,2,32,8,26.396945,36.558459
7,0.5,2,64,8,26.422077,35.621114
7,0.5,2,128,8,26.471896,34.031627
7,0.5,2,256,8,26.569779,32.241278
7,0.5,2,512,6,26.758814,30.724400
7,1.0,2,0,3,26.908664,28.380831
7,1.0,2,4,9,25.928435,33.599204
7,1.0,2,8,12,25.934641,34.707534
7,1.0,2,16,12,25.947025,35.311702
7,1.0,2,32,12,25.971682,35.165142
7,1.0,2,64,12,26.020556,34.210343
7,1.0,2,128,12,26.116578,32.637372
7,1.0,2,256,9,26.302001,30.888286
7,1.0,2,512,6,26.648408,29.423414
8,0.5,1,0,1,32.297854,27.905708
8,0.5,1,4,1,31.818590,28.568649
8,0.5,1,8,1,31.822483,28.758825
8,0.5,1,16,1,31.830261,28.589226
8,0.5,1,32,1,31.845784,27.891777
