seed,b,L,rank,answer_score,top_distractor_score,dist_lennorm_mean
2,0.5,8,5,30.443628,32.832627,1.078611
2,0.5,16,5,30.457241,33.685329,1.156847
2,0.5,32,5,30.484311,33.637779,1.312203
2,0.5,64,5,30.537826,32.565469,1.618524
2,0.5,128,1,30.642428,30.469737,2.214176
2,0.5,256,1,30.842415,27.666455,3.341753
2,0.5,512,1,31.209106,24.822963,5.371706
2,0.75,0,1,31.951007,25.780162,1.000000
2,0.75,4,3,30.440222,31.097467,1.059029
2,0.75,8,5,30.450466,32.462029,1.117917
2,0.75,16,5,30.470900,33.054870,1.235271
2,0.75,32,5,30.511559,32.617888,1.468304
2,0.75,64,3,30.592046,31.047014,1.927786
2,0.75,128,1,30.749777,28.502484,2.821263
2,0.75,256,1,31.052864,25.548688,4.512630
2,0.75,512,1,31.613835,22.927627,7.557559
2,1.0,0,1,31.951007,25.780162,1.000000
2,1.0,4,3,30.443644,30.893075,1.078706
2,1.0,8,3,30.457307,32.100410,1.157223
2,1.0,16,5,30.484571,32.452725,1.313694
2,1.0,32,3,30.538855,31.682388,1.624406
2,1.0,64,1,30.646459,29.744555,2.237049
2,1.0,128,1,30.857882,26.964028,3.428351
2,1.0,256,1,31.266204,24.051286,5.683507
2,1.0,512,1,32.029200,21.695548,9.743412
3,0.0,0,1,30.463794,25.780162,1.000000
3,0.0,4,2,28.855210,31.909315,1.000000
3,0.0,8,3,28.855210,33.774499,1.000000
3,0.0,16,5,28.855210,35.206361,1.000000
3,0.0,32,9,28.855210,36.149983,1.000000
3,0.0,64,9,28.855210,36.705951,1.000000
3,0.0,128,9,28.855210,37.010486,1.000000
3,0.0,256,11,28.855210,37.170305,1.000000
3,0.0,512,12,28.855210,37.252235,1.000000
3,0.25,0,1,30.463794,25.780162,1.000000
3,0.25,4,2,28.858692,31.695002,1.019676
3,0.25,8,3,28.862166,33.382065,1.039306
3,0.25,16,3,28.869093,34.506395,1.078424
3,0.25,32,4,28.882858,34.905848,1.156101
3,0.25,64,3,28.910037,34.503516,1.309262
3,0.25,128,3,28.963039,33.220357,1.607088
3,0.25,256,2,29.063920,31.059979,2.170877
3,0.25,512,1,29.247361,28.331666,3.185853
3,0.5,0,1,30.463794,25.780162,1.000000
3,0.5,4,2,28.862175,31.483633,1.039353
3,0.5,8,3,28.869126,32.999434,1.078611
3,0.5,16,3,28.882990,33.839907,1.156847
3,0.5,32,3,28.910560,33.777649,1.312203
3,0.5,64,3,28.965078,32.684709,1.618524
3,0.5,128,2,29.071697,30.560188,2.214176
3,0.5,256,1,29.275748,27.721941,3.341753
3,0.5,512,1,29.650599,24.843973,5.371706
3,0.75,0,1,30.463794,25.780162,1.000000
3,0.75,4,2,28.865658,31.275145,1.059029
3,0.75,8,3,28.876090,32.626222,1.117917
3,0.75,16,3,28.896900,33.204327,1.235271
3,0.75,32,3,28.938316,32.748481,1.468304
3,0.75,64,2,29.020335,31.151405,1.927786
3,0.75,128,1,29.181195,28.572967,2.821263
3,0.75,256,1,29.490767,25.582431,4.512630
3,0.75,512,1,30.065416,22.929325,7.557559
3,1.0,0,1,30.463794,25.780162,1.000000
3,1.0,4,2,28.869143,31.069480,1.078706
3,1.0,8,2,28.883056,32.262068,1.157223
3,1.0,16,3,28.910825,32.597350,1.313694
3,1.0,32,2,28.966127,31.804631,1.624406
3,1.0,64,2,29.075808,29.836541,2.237049
3,1.0,128,1,29.291541,27.019446,3.428351
3,1.0,256,1,29.709050,24.070411,5.683507
3,1.0,512,1,30.492335,21.685560,9.743412
4,0.0,0,1,30.677714,26.156071,1.000000
4,0.0,4,3,29.119203,31.938514,1.000000
4,0.0,8,3,29.119203,33.798905,1.000000
4,0.0,16,4,29.119203,35.228428,1.000000
4,0.0,32,11,29.119203,36.171213,1.000000
4,0.0,64,11,29.119203,36.726962,1.000000
4,0.0,128,11,29.119203,37.031464,1.000000
4,0.0,256,11,29.119203,37.191290,1.000000
4,0.0,512,11,29.119203,37.273231,1.000000
4,0.25,0,1,30.677714,26.156071,1.000000
4,0.25,4,3,29.122682,31.724131,1.019676
4,0.25,8,3,29.126153,33.406294,1.039306
4,0.25,16,3,29.133072,34.528028,1.078424
4,0.25,32,3,29.146822,34.926153,1.156101
4,0.25,64,3,29.173972,34.522737,1.309262
4,0.25,128,3,29.226915,33.238125,1.607088
4,0.25,256,3,29.327677,31.075687,2.170877
4,0.25,512,1,29.510877,28.344881,3.185853
4,0.5,0,1,30.677714,26.156071,1.000000
4,0.5,4,3,29.126161,31.512691,1.039353
4,0.5,8,3,29.133105,33.023490,1.078611
4,0.5,16,3,29.146954,33.861131,1.156847
4,0.5,32,3,29.174494,33.797127,1.312203
4,0.5,64,3,29.228952,32.702476,1.618524
4,0.5,128,2,29.335445,30.575743,2.214176
4,0.5,256,1,29.539224,27.734824,3.341753
4,0.5,512,1,29.913480,24.854219,5.371706
4,0.75,0,1,30.677714,26.156071,1.000000
4,0.75,4,3,29.129641,31.304133,1.059029
