g,pandas,duckdb
1495,fatal,warn
1496,fatal,warn
1497,fatal,warn
1498,fatal,warn
1499,fatal,warn
1500,fatal,warn
1501,fatal,warn
1502,fatal,warn
1503,fatal,warn
1504,fatal,warn
1505,fatal,warn
1506,fatal,warn
1507,fatal,warn
1508,fatal,warn
1509,fatal,warn
1510,fatal,warn
1511,fatal,warn
1512,fatal,warn
1513,fatal,warn
1514,fatal,warn
1515,fatal,warn
1516,fatal,warn
1517,fatal,warn
1518,fatal,warn
1519,fatal,warn
1520,fatal,warn
1521,fatal,warn
1522,fatal,warn
1523,fatal,warn
1524,fatal,warn
1525,fatal,warn
1526,fatal,warn
1527,fatal,warn
1528,fatal,warn
1529,fatal,warn
1530,fatal,warn
1531,fatal,warn
1532,fatal,warn
1533,fatal,warn
1534,fatal,warn
1535,fatal,warn
1536,fatal,warn
1537,fatal,warn
1538,fatal,warn
1539,fatal,warn
1540,fatal,warn
1541,fatal,warn
1542,fatal,warn
1543,fatal,warn
1544,fatal,warn
1545,fatal,warn
1546,fatal,warn
1547,fatal,warn
1548,fatal,warn
1549,fatal,warn
1550,fatal,warn
1551,fatal,warn
1552,fatal,warn
1553,fatal,warn
1554,fatal,warn
1555,fatal,warn
1556,fatal,warn
1557,fatal,warn
1558,fatal,warn
1559,fatal,warn
1560,fatal,warn
1561,fatal,warn
1562,fatal,warn
1563,fatal,warn
1564,fatal,warn
1565,fatal,warn
1566,fatal,warn
1567,fatal,warn
1568,fatal,warn
1569,fatal,warn
1570,fatal,warn
1571,fatal,warn
1572,fatal,warn
1573,fatal,warn
1574,fatal,warn
1575,fatal,warn
1576,fatal,warn
1577,fatal,warn
1578,fatal,warn
1579,fatal,warn
1580,fatal,warn
1581,fatal,warn
1582,fatal,warn
1583,fatal,warn
1584,fatal,warn
1585,fatal,warn
1586,fatal,warn
1587,fatal,warn
1588,fatal,warn
1589,fatal,warn
1590,fatal,warn
1591,fatal,warn
1592,fatal,warn
1593,fatal,warn
1594,fatal,warn
1595,fatal,warn
1596,fatal,warn
1597,fatal,warn
1598,fatal,warn
1599,fatal,warn
1600,fatal,warn
1601,fatal,warn
1602,fatal,warn
1603,fatal,warn
1604,fatal,warn
1605,fatal,warn
1606,fatal,warn
1607,fatal,warn
1608,fatal,warn
1609,fatal,warn
1610,fatal,warn
1611,fatal,warn
1612,fatal,warn
1613,fatal,warn
1614,fatal,warn
1615,fatal,warn
1616,fatal,warn
1617,fatal,warn
1618,fatal,warn
1619,fatal,warn
1620,fatal,warn
1621,fatal,warn
1622,fatal,warn
1623,fatal,warn
1624,fatal,warn
1625,fatal,warn
1626,fatal,warn
1627,fatal,warn
1628,fatal,warn
1629,fatal,warn
1630,fatal,warn
1631,fatal,warn
1632,fatal,warn
1633,fatal,warn
1634,fatal,warn
1635,fatal,warn
1636,fatal,warn
1637,fatal,warn
1638,fatal,warn
1639,fatal,warn
1640,fatal,warn
1641,fatal,warn
1642,fatal,warn
1643,fatal,warn
1644,fatal,warn
1645,fatal,warn
1646,fatal,warn
1647,fatal,warn
1648,fatal,warn
1649,fatal,warn
1650,fatal,warn
1651,fatal,warn
1652,fatal,warn
1653,fatal,warn
1654,fatal,warn
1655,fatal,warn
1656,fatal,warn
1657,fatal,warn
1658,fatal,warn
1659,fatal,warn
1660,fatal,warn
1661,fatal,warn
1662,fatal,warn
1663,fatal,warn
1664,fatal,warn
1665,fatal,warn
1666,fatal,warn
1667,fatal,warn
1668,fatal,warn
1669,fatal,warn
1670,fatal,warn
1671,fatal,warn
1672,fatal,warn
1673,fatal,warn
1674,fatal,warn
1675,fatal,warn
1676,fatal,warn
1677,fatal,warn
1678,fatal,warn
1679,fatal,warn
1680,fatal,warn
1681,fatal,warn
1682,fatal,warn
1683,fatal,warn
1684,fatal,warn
1685,fatal,warn
1686,fatal,warn
1687,fatal,warn
1688,fatal,warn
1689,fatal,warn
1690,fatal,warn
1691,fatal,warn
1692,fatal,warn
1693,fatal,warn
1694,fatal,warn
1695,fatal,warn
1696,fatal,warn
1697,fatal,warn
1698,fatal,warn
1699,fatal,warn
1700,fatal,warn
1701,fatal,warn
1702,fatal,warn
1703,fatal,warn
1704,fatal,warn
1705,fatal,warn
1706,fatal,warn
1707,fatal,warn
1708,fatal,warn
1709,fatal,warn
1710,fatal,warn
1711,fatal,warn
1712,fatal,warn
1713,fatal,warn
1714,fatal,warn
1715,fatal,warn
1716,fatal,warn
1717,fatal,warn
1718,fatal,warn
1719,fatal,warn
1720,fatal,warn
1721,fatal,warn
1722,fatal,warn
1723,fatal,warn
1724,fatal,warn
1725,fatal,warn
1726,fatal,warn
1727,fatal,warn
1728,fatal,warn
1729,fatal,warn
1730,fatal,warn
1731,fatal,warn
1732,fatal,warn
1733,fatal,warn
1734,fatal,warn
1735,fatal,warn
1736,fatal,warn
1737,fatal,warn
1738,fatal,warn
1739,fatal,warn
1740,fatal,warn
1741,fatal,warn
1742,fatal,warn
1743,fatal,warn
1744,fatal,warn
1745,fatal,warn
1746,fatal,warn
1747,fatal,warn
1748,fatal,warn
1749,fatal,warn
1750,fatal,warn
1751,fatal,warn
1752,fatal,warn
1753,fatal,warn
1754,fatal,warn
1755,fatal,warn
1756,fatal,warn
1757,fatal,warn
1758,fatal,warn
1759,fatal,warn
1760,fatal,warn
1761,fatal,warn
1762,fatal,warn
1763,fatal,warn
1764,fatal,warn
1765,fatal,warn
1766,fatal,warn
1767,fatal,warn
1768,fatal,warn
1769,fatal,warn
1770,fatal,warn
1771,fatal,warn
1772,fatal,warn
1773,fatal,warn
1774,fatal,warn
1775,fatal,warn
1776,fatal,warn
1777,fatal,warn
1778,fatal,warn
1779,fatal,warn
1780,fatal,warn
1781,fatal,warn
1782,fatal,warn
1783,fatal,warn
1784,fatal,warn
1785,fatal,warn
1786,fatal,warn
1787,fatal,warn
1788,fatal,warn
1789,fatal,warn
1790,fatal,warn
1791,fatal,warn
1792,fatal,warn
1793,fatal,warn
1794,fatal,warn
1795,fatal,warn
1796,fatal,warn
1797,fatal,warn
1798,fatal,warn
1799,fatal,warn
1800,fatal,warn
1801,fatal,warn
1802,fatal,warn
1803,fatal,warn
1804,fatal,warn
1805,fatal,warn
1806,fatal,warn
1807,fatal,warn
1808,fatal,warn
1809,fatal,warn
1810,fatal,warn
1811,fatal,warn
1812,fatal,warn
1813,fatal,warn
1814,fatal,warn
1815,fatal,warn
1816,fatal,warn
1817,fatal,warn
1818,fatal,warn
1819,fatal,warn
1820,fatal,warn
1821,fatal,warn
1822,fatal,warn
1823,fatal,warn
1824,fatal,warn
1825,fatal,warn
1826,fatal,warn
1827,fatal,warn
1828,fatal,warn
1829,fatal,warn
1830,fatal,warn
1831,fatal,warn
1832,fatal,warn
1833,fatal,warn
1834,fatal,warn
1835,fatal,warn
1836,fatal,warn
1837,fatal,warn
1838,fatal,warn
1839,fatal,warn
1840,fatal,warn
1841,fatal,warn
1842,fatal,warn
1843,fatal,warn
1844,fatal,warn
1845,fatal,warn
1846,fatal,warn
1847,fatal,warn
1848,fatal,warn
1849,fatal,warn
1850,fatal,warn
1851,fatal,warn
1852,fatal,warn
1853,fatal,warn
1854,fatal,warn
1855,fatal,warn
1856,fatal,warn
1857,fatal,warn
1858,fatal,warn
1859,fatal,warn
1860,fatal,warn
1861,fatal,warn
1862,fatal,warn
1863,fatal,warn
1864,fatal,warn
1865,fatal,warn
1866,fatal,warn
1867,fatal,warn
1868,fatal,warn
1869,fatal,warn
1870,fatal,warn
1871,fatal,warn
1872,fatal,warn
1873,fatal,warn
1874,fatal,warn
1875,fatal,warn
1876,fatal,warn
1877,fatal,warn
1878,fatal,warn
1879,fatal,warn
1880,fatal,warn
1881,fatal,warn
1882,fatal,warn
1883,fatal,warn
1884,fatal,warn
1885,fatal,warn
1886,fatal,warn
1887,fatal,warn
1888,fatal,warn
1889,fatal,warn
1890,fatal,warn
1891,fatal,warn
1892,fatal,warn
1893,fatal,warn
1894,fatal,warn
1895,fatal,warn
1896,fatal,warn
1897,fatal,warn
1898,fatal,warn
1899,fatal,warn
1900,fatal,warn
1901,fatal,warn
1902,fatal,warn
1903,fatal,warn
1904,fatal,warn
1905,fatal,warn
1906,fatal,warn
1907,fatal,warn
1908,fatal,warn
1909,fatal,warn
1910,fatal,warn
1911,fatal,warn
1912,fatal,warn
1913,fatal,warn
1914,fatal,warn
1915,fatal,warn
1916,fatal,warn
1917,fatal,warn
1918,fatal,warn
1919,fatal,warn
1920,fatal,warn
1921,fatal,warn
1922,fatal,warn
1923,fatal,warn
1924,fatal,warn
1925,fatal,warn
1926,fatal,warn
1927,fatal,warn
1928,fatal,warn
1929,fatal,warn
1930,fatal,warn
1931,fatal,warn
1932,fatal,warn
1933,fatal,warn
1934,fatal,warn
1935,fatal,warn
1936,fatal,warn
1937,fatal,warn
1938,fatal,warn
1939,fatal,warn
1940,fatal,warn
1941,fatal,warn
1942,fatal,warn
1943,fatal,warn
1944,fatal,warn
1945,fatal,warn
1946,fatal,warn
1947,fatal,warn
1948,fatal,warn
1949,fatal,warn
1950,fatal,warn
1951,fatal,warn
1952,fatal,warn
1953,fatal,warn
1954,fatal,warn
1955,fatal,warn
1956,fatal,warn
1957,fatal,warn
1958,fatal,warn
1959,fatal,warn
1960,fatal,warn
1961,fatal,warn
1962,fatal,warn
1963,fatal,warn
1964,fatal,warn
1965,fatal,warn
1966,fatal,warn
1967,fatal,warn
1968,fatal,warn
1969,fatal,warn
1970,fatal,warn
1971,fatal,warn
1972,fatal,warn
1973,fatal,warn
1974,fatal,warn
1975,fatal,warn
1976,fatal,warn
1977,fatal,warn
1978,fatal,warn
1979,fatal,warn
1980,fatal,warn
1981,fatal,warn
1982,fatal,warn
1983,fatal,warn
1984,fatal,warn
1985,fatal,warn
1986,fatal,warn
1987,fatal,warn
1988,fatal,warn
1989,fatal,warn
1990,fatal,warn
1991,fatal,warn
1992,fatal,warn
1993,fatal,warn
1994,fatal,warn
1995,fatal,warn
1996,fatal,warn
1997,fatal,warn
1998,fatal,warn
1999,fatal,warn
