item,in_degree,density_kth,denom,num_miss,miss_rate
557,13,5.829906,3,0,0.000000
558,16,8.524081,5,0,0.000000
559,11,13.650121,2,1,0.500000
563,13,3.661528,2,0,0.000000
564,15,4.637831,3,0,0.000000
567,5,13.915219,3,2,0.666667
572,8,4.835134,2,2,1.000000
578,7,2.284665,2,0,0.000000
582,13,9.580497,2,0,0.000000
595,7,3.848571,2,2,1.000000
596,9,4.893461,3,0,0.000000
603,12,3.537617,3,2,0.666667
604,11,6.110717,2,1,0.500000
607,8,15.234466,2,0,0.000000
609,15,1.151811,5,0,0.000000
619,12,3.245684,2,0,0.000000
620,9,4.912502,4,1,0.250000
621,8,6.070569,2,0,0.000000
622,7,10.408481,3,0,0.000000
623,18,12.586659,3,0,0.000000
630,13,8.831225,2,0,0.000000
631,15,13.704824,2,1,0.500000
635,9,3.295783,4,4,1.000000
645,8,7.070250,2,0,0.000000
647,12,12.886162,3,0,0.000000
649,11,1.284629,2,0,0.000000
653,13,6.494629,2,0,0.000000
654,9,9.492752,2,0,0.000000
657,8,1.676266,2,1,0.500000
666,10,2.086827,3,0,0.000000
668,14,4.262127,3,0,0.000000
683,5,4.013865,2,2,1.000000
685,5,8.936645,2,1,0.500000
691,5,4.237709,2,1,0.500000
693,10,7.210882,2,1,0.500000
697,16,1.341686,4,0,0.000000
698,11,2.201674,3,1,0.333333
701,11,7.629359,2,0,0.000000
704,11,0.891702,2,0,0.000000
705,5,1.430237,3,2,0.666667
708,12,5.109682,2,1,0.500000
709,12,6.112918,3,0,0.000000
713,16,1.389737,2,0,0.000000
715,19,2.842472,5,4,0.800000
719,20,11.687503,6,0,0.000000
726,12,9.738071,2,0,0.000000
730,9,2.511755,2,1,0.500000
733,10,6.302969,2,1,0.500000
739,18,3.163784,2,1,0.500000
745,7,1.401686,3,0,0.000000
753,25,1.179197,6,0,0.000000
757,10,7.380607,3,0,0.000000
758,9,9.920176,2,0,0.000000
759,9,14.454016,2,1,0.500000
764,15,5.342666,2,0,0.000000
766,17,9.063067,4,0,0.000000
769,5,1.360417,2,0,0.000000
775,23,12.036086,2,0,0.000000
776,13,0.859109,3,0,0.000000
779,11,3.551919,3,3,1.000000
788,8,5.194173,2,0,0.000000
789,15,6.767027,2,0,0.000000
793,8,1.289694,3,1,0.333333
794,8,2.387527,2,0,0.000000
795,10,3.157376,4,0,0.000000
797,8,7.424205,2,0,0.000000
799,7,12.023832,5,3,0.600000
800,11,0.657710,2,0,0.000000
801,12,1.241797,4,0,0.000000
806,12,11.042680,2,0,0.000000
808,11,0.767040,4,0,0.000000
809,15,1.510776,2,0,0.000000
817,12,1.363532,2,0,0.000000
822,11,9.721518,2,0,0.000000
825,14,1.497684,4,0,0.000000
826,7,2.536853,2,0,0.000000
827,9,3.891633,2,2,1.000000
828,10,4.741877,3,0,0.000000
829,11,6.552547,3,0,0.000000
831,13,12.997071,4,1,0.250000
838,12,9.236761,2,0,0.000000
843,6,3.947940,2,0,0.000000
846,15,8.793538,2,0,0.000000
851,7,3.687861,4,2,0.500000
852,23,4.831527,3,0,0.000000
856,13,0.822045,5,5,1.000000
858,17,2.098685,4,0,0.000000
859,10,3.864262,3,2,0.666667
861,11,7.913270,2,0,0.000000
863,8,14.701212,2,0,0.000000
864,5,0.915303,3,0,0.000000
868,7,5.351749,2,0,0.000000
871,9,14.139320,2,0,0.000000
873,11,1.425768,2,0,0.000000
874,18,2.048166,2,0,0.000000
875,14,3.755067,2,1,0.500000
876,14,5.323683,2,0,0.000000
879,6,15.142282,2,0,0.000000
