r,lead,w,p,T_base,E_spec_analytic,mc_base_mean,mc_base_std,mc_spec_mean,mc_spec_std,pstar,wins,speedup,S,P
8.0,0.5,1.0,0.5,9.1,12.875,9.1102,0.0173,12.9025,0.0583,0.9467,False,0.7068,0.45,8.0
8.0,0.5,1.0,0.6,9.1,12.03,9.1102,0.0173,12.0493,0.0788,0.9467,False,0.7564,0.45,8.0
8.0,0.5,1.0,0.7,9.1,11.185,9.1102,0.0173,11.2063,0.064,0.9467,False,0.8136,0.45,8.0
8.0,0.5,1.0,0.8,9.1,10.34,9.1102,0.0173,10.3879,0.0328,0.9467,False,0.8801,0.45,8.0
8.0,0.5,1.0,0.9,9.1,9.495,9.1102,0.0173,9.5162,0.0193,0.9467,False,0.9584,0.45,8.0
8.0,0.5,1.0,0.95,9.1,9.0725,9.1102,0.0173,9.0993,0.0095,0.9467,True,1.003,0.45,8.0
8.0,0.5,1.0,0.99,9.1,8.7345,9.1102,0.0173,8.7413,0.0188,0.9467,True,1.0418,0.45,8.0
8.0,0.7,0.5,0.5,9.1,10.975,9.1102,0.0173,10.9939,0.0328,0.9412,False,0.8292,0.25,4.0
8.0,0.7,0.5,0.6,9.1,10.55,9.1102,0.0173,10.5648,0.0437,0.9412,False,0.8626,0.25,4.0
8.0,0.7,0.5,0.7,9.1,10.125,9.1102,0.0173,10.1408,0.037,0.9412,False,0.8988,0.25,4.0
8.0,0.7,0.5,0.8,9.1,9.7,9.1102,0.0173,9.7292,0.0227,0.9412,False,0.9381,0.25,4.0
8.0,0.7,0.5,0.9,9.1,9.275,9.1102,0.0173,9.2907,0.0136,0.9412,False,0.9811,0.25,4.0
8.0,0.7,0.5,0.95,9.1,9.0625,9.1102,0.0173,9.081,0.0096,0.9412,True,1.0041,0.25,4.0
8.0,0.7,0.5,0.99,9.1,8.8925,9.1102,0.0173,8.901,0.0178,0.9412,True,1.0233,0.25,4.0
8.0,0.7,1.0,0.5,9.1,12.975,9.1102,0.0173,13.0022,0.057,0.9697,False,0.7013,0.25,8.0
8.0,0.7,1.0,0.6,9.1,12.15,9.1102,0.0173,12.1693,0.0771,0.9697,False,0.749,0.25,8.0
8.0,0.7,1.0,0.7,9.1,11.325,9.1102,0.0173,11.3462,0.0627,0.9697,False,0.8035,0.25,8.0
8.0,0.7,1.0,0.8,9.1,10.5,9.1102,0.0173,10.5471,0.0322,0.9697,False,0.8667,0.25,8.0
8.0,0.7,1.0,0.9,9.1,9.675,9.1102,0.0173,9.6961,0.0187,0.9697,False,0.9406,0.25,8.0
8.0,0.7,1.0,0.95,9.1,9.2625,9.1102,0.0173,9.2891,0.0095,0.9697,False,0.9825,0.25,8.0
8.0,0.7,1.0,0.99,9.1,8.9325,9.1102,0.0173,8.9396,0.019,0.9697,True,1.0188,0.25,8.0
