seed,restore_rate,paraphrase_rate,horizon,cap,thr,amplification_rate,growth_nodedup_uncapped,recall_nodedup_uncapped,size_sizecap,recall_sizecap,size_dedup,recall_dedup,size_oracle,recall_oracle,dedup_minus_sizecap_recall,oracle_minus_dedup_recall,gate_prec,gate_rec,skipped_false,skipped_true
0,0.4,0.0,long,120,0.7,0.75,1000,1.0,120,0.35,120,0.41,120,0.42,0.06,0.01,0.9952,0.9976,2,412
0,0.4,0.0,long,200,0.3,0.75,1000,1.0,200,0.5,116,0.655,200,0.9,0.155,0.245,0.4242,1.0,509,375
0,0.4,0.0,long,200,0.5,0.75,1000,1.0,200,0.5,200,0.675,200,0.9,0.175,0.225,0.8709,1.0,90,607
0,0.4,0.0,long,200,0.7,0.75,1000,1.0,200,0.5,200,0.9,200,0.9,0.4,0.0,0.9937,0.9984,4,626
0,0.4,0.0,short,120,0.3,0.75,1000,1.0,120,0.435,116,0.32,120,0.535,-0.115,0.215,0.4242,1.0,509,375
0,0.4,0.0,short,120,0.5,0.75,1000,1.0,120,0.435,120,0.55,120,0.535,0.115,-0.015,0.8353,1.0,82,416
0,0.4,0.0,short,120,0.7,0.75,1000,1.0,120,0.435,120,0.54,120,0.535,0.105,-0.005,0.9952,0.9976,2,412
0,0.4,0.0,short,200,0.3,0.75,1000,1.0,200,0.64,116,0.32,200,0.82,-0.32,0.5,0.4242,1.0,509,375
0,0.4,0.0,short,200,0.5,0.75,1000,1.0,200,0.64,200,0.895,200,0.82,0.255,-0.075,0.8709,1.0,90,607
0,0.4,0.0,short,200,0.7,0.75,1000,1.0,200,0.64,200,0.82,200,0.82,0.18,0.0,0.9937,0.9984,4,626
0,0.4,0.3,long,120,0.3,0.75,1000,1.0,120,0.345,120,0.415,120,0.405,0.07,-0.01,0.4288,0.9309,449,337
0,0.4,0.3,long,120,0.5,0.75,1000,1.0,120,0.345,120,0.39,120,0.405,0.045,0.015,0.8177,0.7881,68,305
0,0.4,0.3,long,120,0.7,0.75,1000,1.0,120,0.345,120,0.34,120,0.405,-0.005,0.065,0.9925,0.707,2,263
0,0.4,0.3,long,200,0.3,0.75,1000,1.0,200,0.465,156,0.81,200,0.915,0.345,0.105,0.4573,0.9554,458,386
0,0.4,0.3,long,200,0.5,0.75,1000,1.0,200,0.465,200,0.755,200,0.915,0.29,0.16,0.8516,0.8095,77,442
0,0.4,0.3,long,200,0.7,0.75,1000,1.0,200,0.465,200,0.615,200,0.915,0.15,0.3,0.9899,0.7238,4,393
0,0.4,0.3,short,120,0.3,0.75,1000,1.0,120,0.52,120,0.51,120,0.595,-0.01,0.085,0.4288,0.9309,449,337
0,0.4,0.3,short,120,0.5,0.75,1000,1.0,120,0.52,120,0.51,120,0.595,-0.01,0.085,0.8177,0.7881,68,305
0,0.4,0.3,short,120,0.7,0.75,1000,1.0,120,0.52,120,0.52,120,0.595,0.0,0.075,0.9925,0.707,2,263
0,0.4,0.3,short,200,0.3,0.75,1000,1.0,200,0.685,156,0.37,200,0.72,-0.315,0.35,0.4573,0.9554,458,386
0,0.4,0.3,short,200,0.5,0.75,1000,1.0,200,0.685,200,0.61,200,0.72,-0.075,0.11,0.8516,0.8095,77,442
0,0.4,0.3,short,200,0.7,0.75,1000,1.0,200,0.685,200,0.78,200,0.72,0.095,-0.06,0.9899,0.7238,4,393
0,0.4,0.6,long,120,0.3,0.75,1000,1.0,120,0.335,120,0.47,120,0.495,0.135,0.025,0.4237,0.8366,404,297
0,0.4,0.6,long,120,0.5,0.75,1000,1.0,120,0.335,120,0.415,120,0.495,0.08,0.08,0.7556,0.5667,66,204
0,0.4,0.6,long,120,0.7,0.75,1000,1.0,120,0.335,120,0.36,120,0.495,0.025,0.135,0.9889,0.4877,2,178
0,0.4,0.6,long,200,0.3,0.75,1000,1.0,200,0.485,192,0.8,200,0.9,0.315,0.1,0.4431,0.8905,450,358
0,0.4,0.6,long,200,0.5,0.75,1000,1.0,200,0.485,200,0.63,200,0.9,0.145,0.27,0.8281,0.649,71,342
0,0.4,0.6,long,200,0.7,0.75,1000,1.0,200,0.485,200,0.615,200,0.9,0.13,0.285,0.9895,0.5318,3,284
0,0.4,0.6,short,120,0.3,0.75,1000,1.0,120,0.4,120,0.43,120,0.465,0.03,0.035,0.4237,0.8366,404,297
0,0.4,0.6,short,120,0.5,0.75,1000,1.0,120,0.4,120,0.435,120,0.465,0.035,0.03,0.7556,0.5667,66,204
0,0.4,0.6,short,120,0.7,0.75,1000,1.0,120,0.4,120,0.42,120,0.465,0.02,0.045,0.9889,0.4877,2,178
0,0.4,0.6,short,200,0.3,0.75,1000,1.0,200,0.515,192,0.495,200,0.745,-0.02,0.25,0.4431,0.8905,450,358
0,0.4,0.6,short,200,0.5,0.75,1000,1.0,200,0.515,200,0.63,200,0.745,0.115,0.115,0.8281,0.649,71,342
0,0.4,0.6,short,200,0.7,0.75,1000,1.0,200,0.515,200,0.555,200,0.745,0.04,0.19,0.9895,0.5318,3,284
0,0.6,0.0,long,120,0.3,0.75,1000,1.0,120,0.42,120,0.685,120,0.53,0.265,-0.155,0.4511,1.0,483,397
0,0.6,0.0,long,120,0.5,0.75,1000,1.0,120,0.42,120,0.5,120,0.53,0.08,0.03,0.8846,1.0,60,460
0,0.6,0.0,long,120,0.7,0.75,1000,1.0,120,0.42,120,0.535,120,0.53,0.115,-0.005,0.9978,0.9892,1,456
0,0.6,0.0,long,200,0.3,0.75,1000,1.0,200,0.585,120,0.685,200,0.785,0.1,0.1,0.4511,1.0,483,397
0,0.6,0.0,long,200,0.5,0.75,1000,1.0,200,0.585,200,0.66,200,0.785,0.075,0.125,0.9068,1.0,68,662
0,0.6,0.0,long,200,0.7,0.75,1000,1.0,200,0.585,200,0.785,200,0.785,0.2,0.0,0.9985,0.9954,1,655
0,0.6,0.0,short,120,0.3,0.75,1000,1.0,120,0.37,120,0.31,120,0.47,-0.06,0.16,0.4511,1.0,483,397
0,0.6,0.0,short,120,0.5,0.75,1000,1.0,120,0.37,120,0.5,120,0.47,0.13,-0.03,0.8846,1.0,60,460
0,0.6,0.0,short,120,0.7,0.75,1000,1.0,120,0.37,120,0.48,120,0.47,0.11,-0.01,0.9978,0.9892,1,456
0,0.6,0.0,short,200,0.3,0.75,1000,1.0,200,0.565,120,0.31,200,1.0,-0.255,0.69,0.4511,1.0,483,397
0,0.6,0.0,short,200,0.5,0.75,1000,1.0,200,0.565,200,0.87,200,1.0,0.305,0.13,0.9068,1.0,68,662
0,0.6,0.0,short,200,0.7,0.75,1000,1.0,200,0.565,200,1.0,200,1.0,0.435,0.0,0.9985,0.9954,1,655
0,0.6,0.3,long,120,0.3,0.75,1000,1.0,120,0.27,120,0.55,120,0.425,0.28,-0.125,0.466,0.8794,401,350
0,0.6,0.3,long,120,0.5,0.75,1000,1.0,120,0.27,120,0.325,120,0.425,0.055,0.1,0.8413,0.7227,60,318
0,0.6,0.3,long,120,0.7,0.75,1000,1.0,120,0.27,120,0.335,120,0.425,0.065,0.09,1.0,0.6517,0,290
0,0.6,0.3,long,200,0.3,0.75,1000,1.0,200,0.49,168,0.785,200,0.775,0.295,-0.01,0.4796,0.9172,433,399
0,0.6,0.3,long,200,0.5,0.75,1000,1.0,200,0.49,200,0.675,200,0.775,0.185,0.1,0.862,0.7405,69,431
0,0.6,0.3,long,200,0.7,0.75,1000,1.0,200,0.49,200,0.725,200,0.775,0.235,0.05,1.0,0.6869,0,408
0,0.6,0.3,short,120,0.3,0.75,1000,1.0,120,0.405,120,0.385,120,0.465,-0.02,0.08,0.466,0.8794,401,350
0,0.6,0.3,short,120,0.5,0.75,1000,1.0,120,0.405,120,0.42,120,0.465,0.015,0.045,0.8413,0.7227,60,318
0,0.6,0.3,short,120,0.7,0.75,1000,1.0,120,0.405,120,0.415,120,0.465,0.01,0.05,1.0,0.6517,0,290
