condition,R@1,R@5,R@10,R@20
A_plain_encode,0.4675,0.6489444444444443,0.7292222222222222,0.7612222222222222
B_encode_query,0.5592777777777777,0.7562777777777777,0.8228888888888889,0.8726666666666667
