session,n_calls,n_err,first_err_idx,ns_frac,tot_foot_tok
rollout-2026-05-31T08-45-19-019e7eb6-0946-7171-b5b1-1c7b85bae870.jsonl,45,3,0,0.916,27768.8
rollout-2026-05-31T09-06-41-019e7ec9-9880-78c3-a0b6-39c5e076930b.jsonl,39,2,0,0.983,22117.5
rollout-2026-05-31T09-29-27-019e7ede-6ed6-7251-8f05-974d9705e08e.jsonl,49,1,0,0.9588,32840.0
rollout-2026-05-31T11-18-59-019e7f42-b7d7-7183-bd53-fe3402db4a8c.jsonl,29,1,0,0.9713,40098.0
rollout-2026-05-31T11-46-31-019e7f5b-ecc3-7851-9f06-aa7b08ea9221.jsonl,35,3,0,0.9616,17918.8
rollout-2026-05-31T12-32-28-019e7f85-fca6-7630-954f-7dd1505eb474.jsonl,20,1,0,0.9423,19847.8
rollout-2026-05-31T12-43-50-019e7f90-6745-7aa3-912f-bba6e0678fa8.jsonl,56,2,0,0.9563,72919.8
rollout-2026-05-31T13-14-23-019e7fac-6048-7183-8e01-2d17c70000ff.jsonl,32,2,0,0.9859,38405.0
rollout-2026-05-31T13-20-27-019e7fb1-ee34-7f80-9e43-f97f654c552f.jsonl,41,1,0,0.9551,43557.0
rollout-2026-05-31T14-04-36-019e7fda-586e-7502-a587-8183eb43bf09.jsonl,65,2,0,0.9883,64306.2
rollout-2026-05-31T14-45-38-019e7fff-ea92-7920-bddd-fead427a6536.jsonl,31,1,0,0.9566,63309.8
rollout-2026-05-31T15-40-02-019e8031-b838-74b1-813c-a4bb4bfa24d5.jsonl,59,4,0,0.9799,35877.0
rollout-2026-05-31T16-06-48-019e804a-3a50-7f61-bde5-4e156ab0eb74.jsonl,35,1,0,0.956,11725.0
rollout-2026-05-31T21-34-35-019e8176-4f07-71d2-9d2a-df9b9f660bc8.jsonl,36,2,0,0.9886,22906.0
rollout-2026-05-31T22-27-54-019e81a7-2046-77a0-938f-d29e232e032e.jsonl,35,2,0,0.8784,24992.2
rollout-2026-05-31T22-38-27-019e81b0-c94e-72f2-95b6-1a8a33b26217.jsonl,51,1,0,0.9702,35080.0
rollout-2026-06-01T04-10-13-019e82e0-879f-7c52-84dd-c5af12dfa32b.jsonl,49,2,0,0.9879,63781.2
rollout-2026-06-01T04-37-54-019e82f9-e14c-7cc0-a1c4-4c4cef35679a.jsonl,55,1,0,0.9973,57470.8
rollout-2026-06-01T04-39-10-019e82fb-09e5-7ec0-b273-9a2d3ffe9a56.jsonl,38,1,0,0.95,20636.0
rollout-2026-06-01T05-02-46-019e8310-a41a-7943-aeb3-6d793a895058.jsonl,40,2,0,0.9731,24281.5
rollout-2026-06-01T05-14-22-019e831b-419e-7372-85e6-50c2402e452c.jsonl,47,3,0,0.9602,33021.5
rollout-2026-06-01T05-32-42-019e832c-0a7f-7601-8893-06eb96581428.jsonl,46,2,0,0.9751,59739.2
rollout-2026-06-01T06-31-36-019e8361-f94c-7481-a7c5-a0bb75a1bec1.jsonl,36,1,0,0.8873,22689.0
rollout-2026-06-01T06-41-31-019e836b-0ca7-73c1-a038-c44fc1c846dd.jsonl,24,1,0,0.9862,26766.2
rollout-2026-06-01T06-51-21-019e8374-0d04-7a12-bf97-ecf157c56555.jsonl,39,2,0,0.9946,57049.5
rollout-2026-06-01T06-59-31-019e837b-8744-7eb1-b210-ed7aaa034a8e.jsonl,35,2,0,0.9925,32437.0
rollout-2026-06-01T08-34-05-019e83d2-1b0f-7b11-8de4-2f5d86533ae5.jsonl,43,4,0,0.9955,51983.5
rollout-2026-06-01T09-39-32-019e840e-06ad-7c12-9827-a8d616def0de.jsonl,39,2,0,0.975,41187.5
rollout-2026-06-01T09-42-00-019e8410-4ac8-7202-83f8-634f87fabf63.jsonl,45,3,0,0.9678,34920.2
rollout-2026-06-01T10-11-36-019e842b-6216-7402-908c-ac3a760b2a65.jsonl,36,1,0,0.9803,23523.2
rollout-2026-06-01T10-47-59-019e844c-b2d5-7742-a44d-7922fbfedc34.jsonl,53,1,0,0.9898,43652.2
rollout-2026-06-01T10-58-22-019e8456-3275-7b22-9e54-eb413c967ecb.jsonl,26,1,0,0.8937,26558.0
rollout-2026-06-01T11-35-15-019e8477-f8e2-7b01-a1ba-bb5463b50d50.jsonl,32,1,0,0.9968,56170.8
