file,len,naive,realized_raw,realized_canon,realized_df,shortfall_raw,shortfall_canon,drift_cost
rollout-2026-05-29T07-08-14-019e7410-6f32-7812-b976-7639a65ceb3e.jsonl,6806,6794,6768,6816,6528,26,25,48
rollout-2026-05-29T09-24-33-019e748d-3b49-7b81-9e2a-d35d8872cf18.jsonl,6807,6792,6768,6816,6528,24,23,48
rollout-2026-05-29T09-40-28-019e749b-cef4-7323-98d3-9f400d2f923d.jsonl,6808,6791,6768,6816,6528,23,22,48
rollout-2026-05-29T09-54-59-019e74a9-1996-7cb1-b8d6-3a4bb6140c4c.jsonl,6808,6792,6768,6816,6528,24,23,48
rollout-2026-05-29T10-02-40-019e74b0-21e3-7c62-a484-f708a41f32ec.jsonl,6806,6794,6768,6816,6528,26,25,48
rollout-2026-05-29T10-09-00-019e74b5-ee8d-7572-8c89-c86b2ed821ca.jsonl,6807,6791,6768,6816,6528,23,22,48
rollout-2026-05-29T11-05-41-019e74e9-d1ea-74b3-9c56-08575457b43e.jsonl,6806,6792,6768,6816,6528,24,23,48
rollout-2026-05-29T11-23-56-019e74fa-8711-71c0-927a-44e315464f90.jsonl,6805,6795,6768,6816,6528,27,26,48
rollout-2026-05-29T13-45-13-019e757b-e306-7463-b5d8-7ea3eb90a3f5.jsonl,6807,6793,6768,6816,6528,25,24,48
rollout-2026-05-29T17-22-53-019e7643-27d1-7493-ab23-55d34e85067e.jsonl,6804,6790,6768,6816,6528,22,21,48
rollout-2026-05-29T19-28-27-019e76b6-209a-7071-94df-d3a9cc3123bc.jsonl,6805,6791,6784,6832,6528,7,6,48
rollout-2026-05-29T21-15-48-019e7718-6814-72a1-8413-5e89c9c20df7.jsonl,6806,6791,6768,6816,6528,23,22,48
rollout-2026-05-29T21-20-43-019e771c-e6a4-7c02-b81a-923a213fb8d0.jsonl,6808,6793,6768,6816,6528,25,24,48
rollout-2026-05-29T22-09-58-019e7749-fce4-76a2-bec0-cd28fb5db49a.jsonl,6805,6794,6768,6816,6528,26,25,48
rollout-2026-05-29T22-49-53-019e776e-88cb-7271-8013-a469c7a27977.jsonl,6803,6792,6768,6816,6528,24,23,48
rollout-2026-05-29T23-38-48-019e779b-51e4-7312-9664-57dfb07a77ca.jsonl,6804,6790,6768,6816,6528,22,21,48
rollout-2026-05-30T01-00-44-019e77e6-541a-7360-b36c-b537bcba8365.jsonl,6805,6794,6768,6816,6528,26,25,48
rollout-2026-05-30T01-38-05-019e7808-860f-7c72-a4ef-2655f430c171.jsonl,6804,6791,6768,6816,6528,23,22,48
rollout-2026-05-30T02-00-49-019e781d-5606-7df2-a247-cf6860ba30df.jsonl,6803,6791,6768,6816,6528,23,22,48
rollout-2026-05-30T02-34-08-019e783b-d88b-7f20-95d0-f5c5b14476b8.jsonl,6904,6780,4688,4688,4688,2092,2139,0
rollout-2026-05-30T03-23-23-019e7868-ee82-78a0-9c4b-68bb88de9069.jsonl,6801,6779,4688,4688,4688,2091,2138,0
rollout-2026-05-30T05-22-43-019e78d6-3097-7752-9143-98b3815605e0.jsonl,6799,6779,4688,4688,4688,2091,2138,0
rollout-2026-05-31T03-45-42-019e7da3-bba7-7603-8e02-64faad21c109.jsonl,6805,6793,6768,6816,6528,25,24,48
rollout-2026-05-31T03-45-42-019e7da3-bbaf-78a3-8371-303c1906ca80.jsonl,6804,6793,6768,6816,6528,25,24,48
rollout-2026-05-31T04-24-48-019e7dc7-8617-7a93-b797-3d65e484cf7a.jsonl,7403,6794,5376,5248,5248,1418,1593,-128
rollout-2026-05-31T04-26-52-019e7dc9-6875-7621-8a59-3dfa3f3b0adf.jsonl,7405,6795,5376,5248,5248,1419,1594,-128
rollout-2026-05-31T04-26-52-019e7dc9-6895-7552-938f-2248db3fe381.jsonl,7401,6795,5376,5248,5248,1419,1594,-128
rollout-2026-05-31T06-47-24-019e7e4a-1231-7722-8a33-b132e86e9386.jsonl,6806,6792,6768,6816,6528,24,23,48
rollout-2026-05-31T06-47-24-019e7e4a-1281-7ea1-90a9-535dfd632ef4.jsonl,6807,6790,6768,6816,6528,22,21,48
rollout-2026-05-31T07-02-59-019e7e58-595e-7e50-b7dd-f548a9193e7e.jsonl,6807,6792,6768,6816,6528,24,23,48
rollout-2026-05-31T07-03-01-019e7e58-5de9-7fd1-84e9-80d386b9d407.jsonl,6807,6790,6768,6816,6528,22,21,48
rollout-2026-05-31T07-08-26-019e7e5d-55ae-7e60-a755-425cd491d8f3.jsonl,6806,6795,6768,6816,6528,27,26,48
rollout-2026-05-31T07-14-26-019e7e62-d4cb-7b90-a19e-1033d9b2d47f.jsonl,6809,6793,6768,6816,6528,25,24,48
rollout-2026-05-31T08-26-25-019e7ea4-bc24-7dc3-b599-44b1e3705500.jsonl,6805,6790,6768,6816,6528,22,21,48
rollout-2026-05-31T08-29-58-019e7ea7-fa73-7b41-997c-fffb8f8b5e58.jsonl,6807,6793,6768,6816,6528,25,24,48
rollout-2026-05-31T08-36-29-019e7ead-f1e1-7be1-a618-1dc6843b65ec.jsonl,6806,6791,6768,6816,6528,23,22,48
rollout-2026-05-31T08-45-19-019e7eb6-0946-7171-b5b1-1c7b85bae870.jsonl,6807,6789,6768,6816,6528,21,20,48
rollout-2026-05-31T09-06-41-019e7ec9-9880-78c3-a0b6-39c5e076930b.jsonl,6808,6794,6768,6816,6528,26,25,48
rollout-2026-05-31T09-29-27-019e7ede-6ed6-7251-8f05-974d9705e08e.jsonl,6806,6792,6768,6816,6528,24,23,48
rollout-2026-05-31T11-18-59-019e7f42-b7d7-7183-bd53-fe3402db4a8c.jsonl,6807,6795,6768,6816,6528,27,26,48
rollout-2026-05-31T11-46-31-019e7f5b-ecc3-7851-9f06-aa7b08ea9221.jsonl,6807,6792,6768,6816,6528,24,23,48
rollout-2026-05-31T12-32-28-019e7f85-fca6-7630-954f-7dd1505eb474.jsonl,6804,6791,6768,6816,6528,23,22,48
rollout-2026-05-31T12-43-50-019e7f90-6745-7aa3-912f-bba6e0678fa8.jsonl,6807,6794,6768,6816,6528,26,25,48
rollout-2026-05-31T13-14-23-019e7fac-6048-7183-8e01-2d17c70000ff.jsonl,6804,6793,6768,6816,6528,25,24,48
rollout-2026-05-31T13-20-27-019e7fb1-ee34-7f80-9e43-f97f654c552f.jsonl,6806,6791,6768,6816,6528,23,22,48
rollout-2026-05-31T14-04-36-019e7fda-586e-7502-a587-8183eb43bf09.jsonl,6803,6793,6768,6816,6528,25,24,48
rollout-2026-05-31T14-45-38-019e7fff-ea92-7920-bddd-fead427a6536.jsonl,6803,6791,6768,6816,6528,23,22,48
rollout-2026-05-31T15-40-02-019e8031-b838-74b1-813c-a4bb4bfa24d5.jsonl,6808,6792,6768,6816,6528,24,23,48
rollout-2026-05-31T16-06-48-019e804a-3a50-7f61-bde5-4e156ab0eb74.jsonl,6806,6793,6768,6816,6528,25,24,48
rollout-2026-05-31T21-34-35-019e8176-4f07-71d2-9d2a-df9b9f660bc8.jsonl,6808,6792,6768,6816,6528,24,23,48
rollout-2026-05-31T22-27-54-019e81a7-2046-77a0-938f-d29e232e032e.jsonl,6806,6793,6768,6816,6528,25,24,48
rollout-2026-05-31T22-38-27-019e81b0-c94e-72f2-95b6-1a8a33b26217.jsonl,6808,6795,6768,6816,6528,27,26,48
rollout-2026-06-01T04-10-13-019e82e0-879f-7c52-84dd-c5af12dfa32b.jsonl,6807,6794,6768,6816,6528,26,25,48
rollout-2026-06-01T04-37-54-019e82f9-e14c-7cc0-a1c4-4c4cef35679a.jsonl,6809,6793,6768,6816,6528,25,24,48
rollout-2026-06-01T04-39-10-019e82fb-09e5-7ec0-b273-9a2d3ffe9a56.jsonl,6807,6793,6768,6816,6528,25,24,48
rollout-2026-06-01T05-02-46-019e8310-a41a-7943-aeb3-6d793a895058.jsonl,6805,6790,6768,6816,6528,22,21,48
rollout-2026-06-01T05-14-22-019e831b-419e-7372-85e6-50c2402e452c.jsonl,6805,6792,6768,6816,6528,24,23,48
rollout-2026-06-01T05-32-42-019e832c-0a7f-7601-8893-06eb96581428.jsonl,6804,6793,6768,6816,6528,25,24,48
rollout-2026-06-01T06-31-36-019e8361-f94c-7481-a7c5-a0bb75a1bec1.jsonl,6807,6793,6768,6816,6528,25,24,48
rollout-2026-06-01T06-41-31-019e836b-0ca7-73c1-a038-c44fc1c846dd.jsonl,6808,6793,6768,6816,6528,25,24,48
rollout-2026-06-01T06-51-21-019e8374-0d04-7a12-bf97-ecf157c56555.jsonl,6804,6793,6768,6816,6528,25,24,48
rollout-2026-06-01T06-59-31-019e837b-8744-7eb1-b210-ed7aaa034a8e.jsonl,6805,6791,6768,6816,6528,23,22,48
rollout-2026-06-01T08-34-05-019e83d2-1b0f-7b11-8de4-2f5d86533ae5.jsonl,6810,6792,6768,6816,6528,24,23,48
rollout-2026-06-01T09-39-32-019e840e-06ad-7c12-9827-a8d616def0de.jsonl,6804,6793,6768,6816,6528,25,24,48
rollout-2026-06-01T09-42-00-019e8410-4ac8-7202-83f8-634f87fabf63.jsonl,6805,6791,6768,6816,6528,23,22,48
