feature,N,data_min,data_max,gt_mean,is_mag_ge_100,parquet_survived,pandas_mean,pandas_mean_state,pandas_mean_relerr,numpy_mean,numpy_mean_state,numpy_mean_relerr,sklearn_mean,sklearn_mean_state,sklearn_mean_relerr,distinct_mean_answers,pandas_std,pandas_std_state,numpy_std,numpy_std_state,sklearn_std,sklearn_std_state
MedInc,20640,0.4999,15.0001,3.8706710029069766,False,True,inf,inf,,3.87109375,finite,0.00010921803808845382,3.8706756118656127,finite,1.1907389268204442e-06,2,1.8994140625,finite,inf,inf,1.8997804224270267,finite
HouseAge,20640,1.0,52.0,28.639486434108527,False,True,inf,inf,,28.640625,finite,3.9755108531462065e-05,28.639486434108527,finite,0.0,3,12.5859375,finite,inf,inf,12.585252725724606,finite
AveRooms,20640,0.8461538461538461,141.9090909090909,5.428999742190376,True,True,inf,inf,,5.4296875,finite,0.00012668223287602587,5.428991628247638,finite,1.4945557420247637e-06,3,2.474609375,finite,inf,inf,2.4739499410108325,finite
AveBedrms,20640,0.3333333333333333,34.06666666666667,1.096675149606208,False,True,1.0966796875,finite,4.137865067605933e-06,1.0966796875,finite,4.137865067605933e-06,1.0966775938521984,finite,2.228778495960049e-06,1,0.473876953125,finite,0.473876953125,finite,0.4739067860728827,finite
Population,20640,3.0,35682.0,1425.4767441860465,True,True,inf,inf,,1425.0,finite,0.0003344454323726901,1425.4748062015503,finite,1.3595342779773172e-06,3,inf,inf,inf,inf,1132.414315531339,finite
AveOccup,20640,0.6923076923076923,1243.3333333333333,3.0706551594363742,True,True,3.072265625,finite,0.0005244696913219546,3.0703125,finite,0.0001115916371531388,3.0706232588420543,finite,1.0388856013957507e-05,3,10.3828125,finite,inf,inf,10.383316671313137,finite
Latitude,20640,32.54,41.95,35.63186143410852,False,True,inf,inf,,35.625,finite,0.00019256457093072755,35.632034278100775,finite,4.850826908739072e-06,3,2.13671875,finite,inf,inf,2.135858659380619,finite
Longitude,20640,-124.35,-114.31,-119.56970445736432,True,True,-inf,inf,,-119.5625,finite,6.0253200399043335e-05,-119.56960695251938,finite,8.154644639062329e-07,3,2.00390625,finite,inf,inf,2.003697400260255,finite
MedInc_x100,20640,49.99,1500.01,387.0671002906976,True,True,inf,inf,,387.0,finite,0.00017335570666489103,387.06776586724806,finite,1.719537904234468e-06,3,190.0,finite,inf,inf,189.97669149577035,finite
