band,source,original,parsed,survived,zod_passed
above,rand_above,3557859245087218192,3557859245087218176,0,1
above,rand_above,5505107816852081954,5505107816852081664,0,1
above,rand_above,4326005418313764761,4326005418313764864,0,1
above,rand_above,2327893124475783593,2327893124475783680,0,1
above,rand_above,5111615461323741113,5111615461323741184,0,1
above,rand_above,8701397685747060461,8701397685747060736,0,1
above,rand_above,6283514145957505936,6283514145957506048,0,1
above,rand_above,1065560519986985401,1065560519986985344,0,1
above,rand_above,8169740274864787991,8169740274864788480,0,1
above,rand_above,6934632517432959796,6934632517432960000,0,1
above,rand_above,7098079219003860936,7098079219003860992,0,1
above,rand_above,3146572169985004179,3146572169985004032,0,1
above,rand_above,2716068066416832233,2716068066416832000,0,1
above,rand_above,1467755000251598490,1467755000251598592,0,1
above,rand_above,38939944980790435,38939944980790432,0,1
above,rand_above,6669130908138555340,6669130908138555392,0,1
above,rand_above,6646889763258754541,6646889763258754048,0,1
above,rand_above,8973092701531371234,8973092701531371520,0,1
above,rand_above,7036868059069835615,7036868059069835264,0,1
above,rand_above,4691544158605418804,4691544158605418496,0,1
above,rand_above,990473810893470319,990473810893470336,0,1
above,rand_above,5776383532529765910,5776383532529766400,0,1
above,rand_above,7772036734084636840,7772036734084636672,0,1
above,rand_above,4691370832882184615,4691370832882184192,0,1
above,rand_above,1843638302383896775,1843638302383896832,0,1
above,rand_above,3457753745463474557,3457753745463474688,0,1
above,rand_above,1499034067360016481,1499034067360016384,0,1
above,rand_above,8803490122144464482,8803490122144464896,0,1
above,rand_above,8516959879759663247,8516959879759663104,0,1
above,rand_above,8480614473865183774,8480614473865184256,0,1
above,rand_above,5533295951867116241,5533295951867116544,0,1
above,rand_above,4515599432380310587,4515599432380310528,0,1
above,rand_above,1040804840877092226,1040804840877092224,0,1
above,rand_above,3356913843742271537,3356913843742271488,0,1
above,rand_above,9096992821217585840,9096992821217586176,0,1
above,rand_above,7450191382069119033,7450191382069118976,0,1
above,rand_above,2217564987171880703,2217564987171880704,0,1
above,rand_above,2230655466597527322,2230655466597527296,0,1
above,rand_above,5241951311582543032,5241951311582542848,0,1
above,rand_above,735412767236507510,735412767236507520,0,1
