verb_frac,noise,ratio,auc_rolematch,auc_salience,succ_trunc,succ_generic,succ_rolecond,succ_oracle,rc_minus_gen_mean,ci_lo,ci_hi,sig,rc_beats_gen,actual_ratio_generic,actual_ratio_rolecond
0.2,high,0.3,0.6291337274449016,0.5720215109655183,0.3031025874643372,0.32618354636954633,0.3875661747936687,0.7037987750422217,0.06139285205789872,0.05140760711656448,0.0711808100412211,YES,YES,0.2900202886617104,0.29043534572609697
0.2,high,0.5,0.6291337274449016,0.5720215109655183,0.5008959668673646,0.5427085122279497,0.6003587767142674,0.9314270913773048,0.057661533361510406,0.046778532885241864,0.06848285809822952,YES,YES,0.4880467831869767,0.4882577585913722
0.2,high,0.7,0.6291337274449016,0.5720215109655183,0.6937407425134852,0.7485379026242651,0.7780304341337614,0.9926792463318383,0.02949670224368777,0.01963812054686708,0.03957347721339267,YES,YES,0.6831846259433874,0.682999521770749
0.2,low,0.3,0.8154775949243108,0.5707465444565611,0.3009317005559812,0.3297080556877496,0.5233328658945073,0.7056569136719438,0.19360301830425314,0.18372715648493737,0.2039902318546753,YES,YES,0.29047548596037714,0.2905225714558561
0.2,low,0.5,0.8154775949243108,0.5707465444565611,0.502549874345287,0.5348760016684322,0.7659929383367281,0.937641700260787,0.23111774024546775,0.2208479726405459,0.24172080241758087,YES,YES,0.4881249174437078,0.4879498984240519
0.2,low,0.7,0.8154775949243108,0.5707465444565611,0.6908584969389868,0.7401645905580819,0.9120944435925947,0.993865998587518,0.1719189143446599,0.1626604181709069,0.1811546498653344,YES,YES,0.682408870786468,0.6828028535873243
0.2,med,0.3,0.7262082863497741,0.5680681783352522,0.30214574305045827,0.3286923858951139,0.4566676818221393,0.702996351954625,0.12798217644833546,0.11815554589495782,0.13873289215265355,YES,YES,0.2902809491910946,0.29040135783123666
0.2,med,0.5,0.7262082863497741,0.5680681783352522,0.5006659269801371,0.5418388959120771,0.6862462576339852,0.9367103709857881,0.14442268932975363,0.13327472233500853,0.15576345971275457,YES,YES,0.48848269695911994,0.4882738198587707
0.2,med,0.7,0.7262082863497741,0.5680681783352522,0.6882743169230033,0.74843621280814,0.850086610650034,0.9951353993567301,0.10166162863959889,0.0925492786491622,0.11140245299531992,YES,YES,0.6831438931822542,0.6833151333347461
0.4,high,0.3,0.6024341030180922,0.6259379415232655,0.30950433639213304,0.38565188624124414,0.39038763378251434,0.8252073429379903,0.0046722024282656194,-0.008228787853374634,0.017780258959809503,no,no,0.2906729619104203,0.29030332457658525
0.4,high,0.5,0.6024341030180922,0.6259379415232655,0.502136123182186,0.6174972866694128,0.5942473725937957,0.9744405797170952,-0.02327376548879822,-0.037255092215651625,-0.009288279967783575,YES,no,0.4881034382794597,0.48801664915712867
0.4,high,0.7,0.6024341030180922,0.6259379415232655,0.69661524855618,0.8217533907295606,0.7782750016117241,0.9984247494837903,-0.043469269801392346,-0.05429336658953317,-0.03248742869498008,YES,no,0.6825116773193176,0.6825311895588348
0.4,low,0.3,0.7641367784274252,0.621424746575032,0.30341880774538604,0.37360252627281143,0.5193061626630687,0.8202730118846233,0.1457140552136633,0.13295229270597358,0.15878809765401605,YES,YES,0.2905114990490293,0.2905128905095827
0.4,low,0.5,0.7641367784274252,0.621424746575032,0.5003401307887576,0.609700690462783,0.7582015630168691,0.9758066672418337,0.1485184774775032,0.13620575160438014,0.16118261454333233,YES,YES,0.48821009066833704,0.4882032111560213
0.4,low,0.7,0.7641367784274252,0.621424746575032,0.6925185170534702,0.8109921313101723,0.9070844498881142,0.9991627219546417,0.09611820634630926,0.08621217582914706,0.1063789931947657,YES,YES,0.6828444248512627,0.6833216358303484
0.4,med,0.3,0.6912711485662962,0.618460756664246,0.30820957537979565,0.37542073495912626,0.4591313264856677,0.8235100035056062,0.0836412425945238,0.07091435062399473,0.09591878379217578,YES,YES,0.2902968209663275,0.29063794961831957
0.4,med,0.5,0.6912711485662962,0.618460756664246,0.49737822477266586,0.5974179412449923,0.6771225173462815,0.9769248717447065,0.07970477053156891,0.06647556945645726,0.09301390491760034,YES,YES,0.4883712385576705,0.4881789114504735
0.4,med,0.7,0.6912711485662962,0.618460756664246,0.691317386959701,0.8096967421913276,0.8437694283724362,0.9988564522903327,0.03408145792653606,0.022709969257641138,0.0443416974380351,YES,YES,0.683161647516011,0.6831983687406596
0.6,high,0.3,0.5996498588187912,0.6591619730570768,0.3217520716591498,0.42552636233441665,0.41219875236169906,0.9206694564550898,-0.013215452986743368,-0.03002934786137644,0.0038412735656478225,no,no,0.29031439474956,0.2903033957233813
0.6,high,0.5,0.5996498588187912,0.6591619730570768,0.5067856219581388,0.6762575013366989,0.6071494802818119,0.9939091712872117,-0.06901331084760012,-0.08596560475731152,-0.05265707709607826,YES,no,0.4876745211092618,0.4878649760036439
0.6,high,0.7,0.5996498588187912,0.6591619730570768,0.6957835417484919,0.8730698421111325,0.7872722501787267,0.9997162356217946,-0.08589494113039851,-0.09898313186956136,-0.07216910055313717,YES,no,0.6830556252145443,0.6827237588329331
0.6,low,0.3,0.734635005060715,0.6596035503128831,0.30523296639189534,0.43696265133945894,0.5358521657198033,0.9223867626898121,0.09877670242772948,0.08123115456582357,0.11511460775782456,YES,YES,0.2900003526424659,0.29026509926728744
0.6,low,0.5,0.734635005060715,0.6596035503128831,0.5030106185767558,0.6832974327490343,0.7683031791699618,0.9941797722495811,0.08494274980974928,0.06973536640745802,0.10011704917329362,YES,YES,0.48808469629472434,0.48809814081021996
0.6,low,0.7,0.734635005060715,0.6596035503128831,0.6926672913798353,0.8739075473215483,0.9116452164998343,0.9999261607529634,0.03773064075227661,0.027031597407601755,0.04831738803604529,YES,YES,0.6827944184992875,0.6828030399837434
0.6,med,0.3,0.6635006588693093,0.66276138853374,0.3125648072706573,0.4237846381111467,0.4678113928409999,0.917878324808302,0.044104121806984656,0.028418130591316242,0.0601550049519614,YES,YES,0.2902291451341579,0.29033338225506955
0.6,med,0.5,0.6635006588693093,0.66276138853374,0.4992452517300273,0.6701228866513884,0.6868223476241568,0.9934079477687288,0.016732645555922708,0.0014860527367626262,0.033084512893014256,YES,YES,0.48816629656063143,0.4882156570657134
0.6,med,0.7,0.6635006588693093,0.66276138853374,0.6961285357190048,0.8755555626224645,0.847390777466193,0.9998569311019652,-0.028171712773796494,-0.03976601277917063,-0.015872936283483897,YES,no,0.6831609049930445,0.6834916886829463
0.8,high,0.3,0.5851002035758013,0.6930641317910804,0.3315004175956681,0.5002876192835058,0.41176634874098594,0.9747706866793807,-0.08856957237805464,-0.10953213231351853,-0.06523935002727846,YES,no,0.290447810175383,0.29010070039457764
0.8,high,0.5,0.5851002035758013,0.6930641317910804,0.5198929680524726,0.7424053907879469,0.6088637943365115,0.9986330961513056,-0.1333881944178843,-0.1557754308609507,-0.1112550661254728,YES,no,0.4884603401083831,0.4882400799326011
0.8,high,0.7,0.5851002035758013,0.6930641317910804,0.7006190899785416,0.9185709961710222,0.7795961653484684,0.9998961794019934,-0.1388018678979082,-0.15506144672381142,-0.1221808947378374,YES,no,0.6837378386541594,0.6838258971519345
0.8,low,0.3,0.7020589864424616,0.6930457591995041,0.32799771068506733,0.5023921534989729,0.538589618659959,0.9720409585380203,0.036041204454961326,0.013409369781515749,0.05713730144930197,YES,YES,0.2904512982636329,0.29030364428903177
0.8,low,0.5,0.7020589864424616,0.6930457591995041,0.52176063790209,0.7550758748618422,0.770679380489079,0.9988963033482818,0.015544856955024146,-0.00260247804820239,0.03545600831172326,no,no,0.4882688297779362,0.4882619704434058
0.8,low,0.7,0.7020589864424616,0.6930457591995041,0.6974558236150415,0.924792357922743,0.9056511045160556,0.9999280554836111,-0.01912433253504833,-0.03182854068383607,-0.006165734256440734,YES,no,0.6832934127978137,0.6828649408177011
0.8,med,0.3,0.6496378514202557,0.6911574423049872,0.3293955888354412,0.5100028314676829,0.4806973322805216,0.975497903700264,-0.02911927260692158,-0.05148018113251556,-0.005978702008657125,YES,no,0.2902401138912264,0.29043507133826457
0.8,med,0.5,0.6496378514202557,0.6911574423049872,0.5074325979038665,0.7456659557820815,0.6955716922001726,0.9988837558491974,-0.049594310099402225,-0.07171265343244836,-0.028524825764020042,YES,no,0.4881723117122481,0.48827292192179517
0.8,med,0.7,0.6496378514202557,0.6911574423049872,0.6896281421905278,0.9198497216921416,0.8488053208810304,1.0,-0.07096051448095161,-0.08625091540454284,-0.05538395514018003,YES,no,0.6830280008235307,0.6832751915649479
