verb_frac,noise,ratio,seed,n_msg_nonzero,succ_trunc,succ_generic,succ_rolecond,succ_oracle,bin_trunc,bin_generic,bin_rolecond,bin_oracle,actual_ratio_generic,actual_ratio_rolecond,actual_ratio_trunc,rc_minus_gen_mean,auc_rolematch,auc_salience
0.2,low,0.3,11,398,0.29787459721961795,0.32771909836642527,0.5233085880279583,0.7294340288145582,0.01507537688442211,0.02763819095477387,0.0829145728643216,0.3065326633165829,0.2906690995776741,0.29086039701575994,0.29078682107803466,0.19558948966153314,0.8135841620026707,0.5701935937865605
0.2,low,0.5,11,398,0.4914669702683139,0.5424633641141853,0.7653925599603508,0.95774305763656,0.0678391959798995,0.09798994974874371,0.3241206030150754,0.8266331658291457,0.4887060935591624,0.4887502391217976,0.48936827699869034,0.22292919584616552,0.8135841620026707,0.5701935937865605
0.2,low,0.7,11,398,0.678493145159061,0.7450663377577027,0.9134656888184792,0.997163087085217,0.17839195979899497,0.2814070351758794,0.6758793969849246,0.9849246231155779,0.6857130244124962,0.6848301131597923,0.6826816957782127,0.16839935106077647,0.8135841620026707,0.5701935937865605
0.2,low,0.3,22,399,0.28639580717064095,0.3371073293116333,0.526665817329652,0.7096293855672319,0.005012531328320802,0.02756892230576441,0.08521303258145363,0.2982456140350877,0.2913396204311153,0.2903584817244611,0.29079779756326146,0.18955848801801867,0.8135841620026707,0.5701935937865605
0.2,low,0.5,22,399,0.49744032210002215,0.5430354887613337,0.7634028429760236,0.9422818536821886,0.07518796992481203,0.08270676691729323,0.3333333333333333,0.7769423558897243,0.4891049671977507,0.4871573336457357,0.48847528116213684,0.2203673542146899,0.8135841620026707,0.5701935937865605
0.2,low,0.7,22,399,0.6992266582668042,0.7441395297580458,0.9090916107025965,0.9948977834830123,0.22556390977443608,0.2606516290726817,0.6441102756892231,0.9724310776942355,0.6830482661668229,0.6840586925960638,0.6837218837863168,0.16495208094455066,0.8135841620026707,0.5701935937865605
0.2,low,0.3,33,399,0.30803335243706115,0.3188159096019799,0.527026471861641,0.7060972550254201,0.017543859649122806,0.017543859649122806,0.08270676691729323,0.2706766917293233,0.2898468264782068,0.2906104481411053,0.29085001572162245,0.20821056225966109,0.8135841620026707,0.5701935937865605
0.2,low,0.5,33,399,0.49832938493520423,0.532531035175899,0.7747322560048088,0.9383207413896826,0.05513784461152882,0.06766917293233082,0.3358395989974937,0.7719298245614035,0.4881189453037268,0.48856813451719644,0.48714570200787577,0.24220122082890982,0.8135841620026707,0.5701935937865605
0.2,low,0.7,33,399,0.6975073784461041,0.7376494549913905,0.9171565451720141,0.9953434288226795,0.20050125313283207,0.2656641604010025,0.6766917293233082,0.9774436090225563,0.6827676044739246,0.6841001991405513,0.6820039828110261,0.17950709018062358,0.8135841620026707,0.5701935937865605
0.2,low,0.3,44,400,0.30826465511191475,0.3172581494635466,0.5337624091799867,0.7200169642069721,0.035,0.0275,0.12,0.3075,0.29020231037222666,0.28991198581993766,0.2907676792372104,0.2165042597164401,0.8135841620026707,0.5701935937865605
0.2,low,0.5,44,400,0.5005639109726853,0.5589055695862304,0.761235546636581,0.9417960167150968,0.085,0.1275,0.34,0.7725,0.48731740113684985,0.4881730945541226,0.4879591711998044,0.20232997705035055,0.8135841620026707,0.5701935937865605
0.2,low,0.7,44,400,0.6956922607495382,0.7456914820320399,0.9143947710164598,0.9939206793479051,0.235,0.285,0.6925,0.97,0.682277978118697,0.6832406332131288,0.6817431697329014,0.16870328898441986,0.8135841620026707,0.5701935937865605
0.2,low,0.3,55,398,0.33019149086284405,0.33881113274123476,0.49958636201335044,0.6853697729020717,0.032663316582914576,0.032663316582914576,0.08040201005025126,0.26884422110552764,0.28929693856388494,0.28902573265478676,0.2894245648740488,0.16077522927211568,0.8135841620026707,0.5701935937865605
0.2,low,0.5,55,398,0.5271013538669509,0.5544508431687604,0.7478156917726663,0.9321035059901572,0.08542713567839195,0.11557788944723618,0.30402010050251255,0.7386934673366834,0.4869262798525916,0.4864955410557886,0.4863998213231658,0.19336484860390588,0.8135841620026707,0.5701935937865605
0.2,low,0.7,55,398,0.7123231980296377,0.7516317495922988,0.9116943543570626,0.9937006513577753,0.2562814070351759,0.31155778894472363,0.6608040201005025,0.9748743718592965,0.6812851969433499,0.681588309429989,0.6809342245903993,0.16006260476476375,0.8135841620026707,0.5701935937865605
0.2,low,0.3,66,398,0.2908092244038485,0.3259905937712372,0.5321094261504045,0.699846483283026,0.01507537688442211,0.02512562814070352,0.09296482412060302,0.271356783919598,0.2905226396917148,0.29061295761079,0.28990546724470134,0.20611883237916725,0.8135841620026707,0.5701935937865605
0.2,low,0.5,66,398,0.4934269582277561,0.5379934156157689,0.7677403058046827,0.9384002032533343,0.06532663316582915,0.09798994974874371,0.2989949748743719,0.7788944723618091,0.4872501204238921,0.4876866570327553,0.4884393063583815,0.2297468901889139,0.8135841620026707,0.5701935937865605
0.2,low,0.7,66,398,0.7031052582434546,0.7434287240734915,0.9116503686310921,0.9937580735595233,0.2185929648241206,0.29396984924623115,0.6708542713567839,0.9673366834170855,0.6832550578034682,0.6832400048169557,0.6836915944123314,0.16822164455760066,0.8135841620026707,0.5701935937865605
0.2,low,0.3,77,399,0.3064812688212005,0.3105051454776112,0.5081402100860386,0.691168276271003,0.010025062656641603,0.017543859649122806,0.06766917293233082,0.23809523809523808,0.2907086012979767,0.2916336299298153,0.2912812380700672,0.19763506460842734,0.8135841620026707,0.5701935937865605
0.2,low,0.5,77,399,0.4871419634451499,0.5317576177711048,0.7516308698100422,0.9417653734712926,0.047619047619047616,0.06766917293233082,0.2807017543859649,0.7919799498746867,0.48826828766922153,0.48826828766922153,0.4886353625231257,0.21987325203893746,0.8135841620026707,0.5701935937865605
0.2,low,0.7,77,399,0.6731751846326478,0.7481935015231512,0.9054891316581891,0.9935011473112096,0.19047619047619047,0.2982456140350877,0.656641604010025,0.9699248120300752,0.6837283058761343,0.6835961589287287,0.682832643232608,0.15729563013503797,0.8135841620026707,0.5701935937865605
0.2,low,0.3,88,399,0.3110411454267038,0.3164562648785035,0.5362932652041389,0.7172875422424901,0.017543859649122806,0.03258145363408521,0.09022556390977443,0.3132832080200501,0.2903872741913429,0.29029611510354153,0.2905088196417448,0.21983700032563547,0.8135841620026707,0.5701935937865605
0.2,low,0.5,88,399,0.5097978565038134,0.5316565841503539,0.7655956112119398,0.9459966892660372,0.07268170426065163,0.09273182957393483,0.3383458646616541,0.8145363408521303,0.4870933924854525,0.48846077880247346,0.4874428356553579,0.23393902706158592,0.8135841620026707,0.5701935937865605
0.2,low,0.7,88,399,0.7014794490134222,0.740709527455001,0.922136428537326,0.9940989400870299,0.21553884711779447,0.2807017543859649,0.7192982456140351,0.9699248120300752,0.6825688630942432,0.6835868062413589,0.6813686017715249,0.1814269010823251,0.8135841620026707,0.5701935937865605
0.2,med,0.3,11,398,0.29841324998012736,0.3288214956389646,0.4698829033958663,0.7054065200546504,0.020100502512562814,0.02763819095477387,0.0678391959798995,0.27889447236180903,0.2908349399377132,0.2905383360522023,0.29024173216669136,0.1410614077569017,0.7275048137473764,0.571461609669373
0.2,med,0.5,11,398,0.5024486283083667,0.5442648780939923,0.6799213430775735,0.9256940431977756,0.0678391959798995,0.10552763819095477,0.20351758793969849,0.7336683417085427,0.48804686341391074,0.48820999555094174,0.48856592021355477,0.1356564649835811,0.7275048137473764,0.571461609669373
0.2,med,0.7,11,398,0.6995123056836341,0.7544954134979476,0.8509322062803132,0.9926409670597602,0.20603015075376885,0.29396984924623115,0.5,0.9597989949748744,0.6822779178407237,0.6824262197834792,0.6817440308468041,0.09643679278236553,0.7275048137473764,0.571461609669373
0.2,med,0.3,22,400,0.2796363117265372,0.339452974245041,0.43460564455175293,0.7012154014182164,0.0225,0.025,0.045,0.2575,0.28957759070252553,0.2901437830589287,0.29102287119123893,0.09515267030671191,0.7275048137473764,0.571461609669373
0.2,med,0.5,22,400,0.475291774288543,0.5670657832911297,0.6723977145518931,0.94208652893772,0.045,0.095,0.1875,0.775,0.48844520598971913,0.4879535126275795,0.4881174104149594,0.10533193126076341,0.7275048137473764,0.571461609669373
0.2,med,0.7,22,400,0.6711925003390476,0.7669413231316289,0.8496804912048948,0.9960322085672252,0.1725,0.3025,0.49,0.9825,0.6840944647247262,0.6836623705579975,0.6820978916784624,0.08273916807326588,0.7275048137473764,0.571461609669373
0.2,med,0.3,33,397,0.3033701225015902,0.3509256418415998,0.45370915576228366,0.7035843559190467,0.022670025188916875,0.022670025188916875,0.04534005037783375,0.2770780856423174,0.29103412679135293,0.28971338353169784,0.2898955550157882,0.10278351392068384,0.7275048137473764,0.571461609669373
0.2,med,0.5,33,397,0.49991256660725314,0.551521621742723,0.6842466417948525,0.9323651463284212,0.05793450881612091,0.0906801007556675,0.21914357682619648,0.7481108312342569,0.48632195773621567,0.48733908185572017,0.48814367257711927,0.13272502005212955,0.7275048137473764,0.571461609669373
0.2,med,0.7,33,397,0.701017291344545,0.7806983466361576,0.852756916929648,0.9924788613623958,0.21158690176322417,0.33753148614609574,0.473551637279597,0.9672544080604534,0.6833555987369444,0.6839628370172456,0.6820803983483119,0.07205857029349043,0.7275048137473764,0.571461609669373
0.2,med,0.3,44,397,0.3105205084871604,0.32294144122824553,0.4556133092827839,0.6997370035726472,0.020151133501259445,0.020151133501259445,0.05037783375314862,0.26700251889168763,0.29034533475409346,0.29006018219747565,0.2911707763653555,0.13267186805453834,0.7275048137473764,0.571461609669373
0.2,med,0.5,44,397,0.5002355508025228,0.5332898720395702,0.6708036660892271,0.936791752648078,0.05793450881612091,0.08564231738035265,0.18387909319899245,0.7682619647355163,0.488016088607405,0.48773093605078716,0.48722066305473427,0.13751379404965686,0.7275048137473764,0.571461609669373
0.2,med,0.7,44,397,0.7189247014153821,0.740236177873799,0.8525713139814742,0.9951411334228293,0.21662468513853905,0.2795969773299748,0.48866498740554154,0.9798488664987406,0.6824601161621467,0.6834356380663655,0.6817697468145458,0.11233513610767516,0.7275048137473764,0.571461609669373
0.2,med,0.3,55,399,0.3034457859037458,0.3317137527942595,0.4729865686518099,0.6873180489955554,0.015037593984962405,0.017543859649122806,0.05513784461152882,0.24561403508771928,0.29082375788962617,0.28992628992628994,0.2907207697626859,0.14127281585755042,0.7275048137473764,0.571461609669373
0.2,med,0.5,55,399,0.48551492816151265,0.5396050413748344,0.693000035225231,0.9359351065633117,0.047619047619047616,0.07017543859649122,0.20050125313283207,0.7644110275689223,0.48800188321146404,0.4876487810619547,0.4884432608983507,0.15339499385039657,0.7275048137473764,0.571461609669373
0.2,med,0.7,55,399,0.7009511534193845,0.7461586675305836,0.855981182876787,0.9950811710748945,0.20551378446115287,0.2531328320802005,0.48872180451127817,0.9724310776942355,0.6825758801806706,0.6832820844796893,0.6836498992187615,0.10982251534620353,0.7275048137473764,0.571461609669373
0.2,med,0.3,66,400,0.31593977639973597,0.3369259659693033,0.46805005322390936,0.7095189752608236,0.0275,0.025,0.0525,0.2775,0.2903924909574627,0.29051206169850236,0.2904373299853526,0.13112408725460606,0.7275048137473764,0.571461609669373
0.2,med,0.5,66,400,0.48464807286731576,0.542305930216083,0.696379898801264,0.946073151521741,0.065,0.0875,0.235,0.8025,0.48868561862912147,0.48879024302753116,0.4869966819119361,0.15407396858518102,0.7275048137473764,0.571461609669373
0.2,med,0.7,66,400,0.6863389684363156,0.7652212399587568,0.8516732229588151,0.9966769742995407,0.21,0.2875,0.51,0.9825,0.6826741996233522,0.6829133411054314,0.6820912922607838,0.08645198300005837,0.7275048137473764,0.571461609669373
0.2,med,0.3,77,399,0.3163275323067265,0.32476146073901513,0.4507532603662489,0.7159139251981697,0.022556390977443608,0.017543859649122806,0.045112781954887216,0.3032581453634085,0.29005126090030636,0.29028694320056564,0.290021800612774,0.12599179962723375,0.7275048137473764,0.571461609669373
0.2,med,0.5,77,399,0.5059054863293356,0.5423977182420554,0.6632713108821484,0.938453242374459,0.05764411027568922,0.09022556390977443,0.18045112781954886,0.7669172932330827,0.4885988687249588,0.4878329012491162,0.48853994814989393,0.12087359264009293,0.7275048137473764,0.571461609669373
0.2,med,0.7,77,399,0.6891305731352257,0.752261541936846,0.8449709674768395,0.9946874659258248,0.19047619047619047,0.2907268170426065,0.46115288220551376,0.974937343358396,0.6826537827009191,0.6833166391703983,0.6828010841385812,0.09270942553999356,0.7275048137473764,0.571461609669373
0.2,med,0.3,88,398,0.29553289761293644,0.34123721701451576,0.46320635117977,0.7059379776207777,0.03015075376884422,0.02763819095477387,0.0678391959798995,0.2814070351758794,0.2901737405314416,0.29054947697487077,0.29066971263676805,0.12196913416525428,0.7275048137473764,0.571461609669373
0.2,med,0.5,88,398,0.4932617440364727,0.5602885201435851,0.6878785324359339,0.9399909354850766,0.06281407035175879,0.08793969849246232,0.1984924623115578,0.7814070351758794,0.48830708188048577,0.48785619814837083,0.487420343873993,0.12759001229234873,0.7275048137473764,0.571461609669373
0.2,med,0.7,88,398,0.6809889988765238,0.7573267509043963,0.8425217485018534,0.9957739198203052,0.17587939698492464,0.2814070351758794,0.45979899497487436,0.9849246231155779,0.6829235301190333,0.6824576169291812,0.6824576169291812,0.0851949975974571,0.7275048137473764,0.571461609669373
0.2,high,0.3,11,397,0.3079070555947875,0.3506374820318494,0.38475929464188596,0.7154178246207691,0.020151133501259445,0.017632241813602016,0.030226700251889168,0.2770780856423174,0.28972197574682046,0.2904170363797693,0.29100857734398106,0.034121812610036564,0.6294622484597105,0.5725146604022571
0.2,high,0.5,11,397,0.4956748576939836,0.5498215953911734,0.591499944255295,0.9418751677492901,0.05037783375314862,0.0654911838790932,0.10579345088161209,0.7884130982367759,0.48935226264418813,0.4889529724933452,0.48855368234250224,0.041678348864121584,0.6294622484597105,0.5725146604022571
0.2,high,0.7,11,397,0.699664956197932,0.7627972060378626,0.7884891531527901,0.9933067637978077,0.20151133501259447,0.30982367758186397,0.31738035264483627,0.9722921914357683,0.6839988169180716,0.6830819284235433,0.6839100857734398,0.025691947114927473,0.6294622484597105,0.5725146604022571
0.2,high,0.3,22,400,0.2876245163808741,0.3282306702254406,0.4028783596752693,0.7084097080711566,0.0075,0.0225,0.0325,0.29,0.2916396536572013,0.2912650732592817,0.29119303856737405,0.07464768944982866,0.6294622484597105,0.5725146604022571
0.2,high,0.5,22,400,0.48592164351684275,0.5580531451014396,0.6173910130494045,0.9496705843757864,0.065,0.0825,0.1325,0.8125,0.4884096180720635,0.488697756839694,0.4887121637780755,0.05933786794796487,0.6294622484597105,0.5725146604022571
0.2,high,0.7,22,400,0.6875068307574629,0.7714481496653753,0.7924352818407328,0.9959787262386802,0.205,0.3225,0.355,0.98,0.6830041347913155,0.6837388886487733,0.684502456382994,0.02098713217535738,0.6294622484597105,0.5725146604022571
