metric,value
mean_auc_mon,0.7427
mean_auc_diff,0.648
mean_auc_oracle,0.8577
equal_point_sigma_conf,0.5
beat_point_sigma_conf,0.5
exp33_ref_sigma_conf,0.35
n_rows_per_sigma,96
