p_constrained,p_prose,gap,f,r,best_fixed_k,tps_best_fixed,adapt_kc,adapt_kp,tps_adaptive,gain_pct,spd_fixed_vs_nospec,spd_adapt_vs_nospec
0.97,0.75,0.22,0.2,0.2,4,1.82328,14,3,1.88579,3.428,1.8233,1.8858
0.97,0.75,0.22,0.2,0.35,2,1.41862,9,2,1.46426,3.217,1.4186,1.4643
0.97,0.75,0.22,0.35,0.05,8,3.25439,29,7,3.48763,7.167,3.2544,3.4876
0.97,0.75,0.22,0.35,0.1,6,2.58035,21,5,2.75346,6.709,2.5804,2.7535
0.97,0.75,0.22,0.35,0.2,4,1.93312,14,3,2.04442,5.757,1.9331,2.0444
0.97,0.75,0.22,0.35,0.35,3,1.48156,9,2,1.5533,4.843,1.4816,1.5533
0.97,0.75,0.22,0.5,0.05,10,3.63902,29,7,4.01806,10.416,3.639,4.0181
0.97,0.75,0.22,0.5,0.1,7,2.82441,21,5,3.09295,9.508,2.8244,3.0929
0.97,0.75,0.22,0.5,0.2,5,2.06723,14,3,2.23219,7.98,2.0672,2.2322
0.97,0.75,0.22,0.5,0.35,3,1.55538,9,2,1.65387,6.333,1.5554,1.6539
0.97,0.75,0.22,0.6,0.05,11,3.98089,29,7,4.47142,12.322,3.9809,4.4714
0.97,0.75,0.22,0.6,0.1,8,3.03267,21,5,3.36995,11.121,3.0327,3.3699
0.97,0.75,0.22,0.6,0.2,5,2.17943,14,3,2.37778,9.101,2.1794,2.3778
0.97,0.75,0.22,0.6,0.35,4,1.61166,9,2,1.72848,7.249,1.6117,1.7285
