harness,blocked_tool,block_error_text,error_names_inv_alt,twin_exists,twin_available_block_sessions,blocks,strict_reactive_redirect,strict_share,lenient_any_after_window,lenient_share
CC,WebFetch,"Internet mode is not enabled",NO,YES,20/20,43,2,0.047,40,0.930
Codex,knowledge_load,"Input filtering enabled; Have you tried Claude Code with Internet",NO_names_diff_harness,YES,41/41,152,0,0.000,14,0.092
Gemini,run_shell_command,"not found. Did you mean grep_search/replace/cli_help",YES,YES,7/7,9,6,0.667,6,0.667
