dataset,split,n,storage,orient_nonidentity,f_nonidentity,note
sasha/dog-food,train,300,raw_bytes,0,0.0,published parquet - EXIF already stripped
Maysee/tiny-imagenet,valid,300,raw_bytes,0,0.0,published parquet
zh-plus/tiny-imagenet,valid,300,raw_bytes,0,0.0,published parquet
Donghyun99/Stanford-Cars,test,300,raw_bytes,1(orient=0 malformed),0.0033,published parquet
clip-benchmark/wds_vtab-pets,test,300,raw_bytes,0,0.0,webdataset
rishitdagli/cppe-5,test,29,raw_bytes,0,0.0,published parquet
Francesco/road-traffic,validation,133,raw_bytes,0,0.0,published parquet
COCO_val2017,val,30,ORIGINAL_cdn,0,0.0,curator-normalized originals
OpenImagesV7_val,val,400,ORIGINAL_flickr,11(6xorient6 +5xorient0),0.0275,REAL phone/camera-sourced originals
