seed,frac,t_qterms,L,rank,answer_score,top_distractor_score,qterm_idf_mean,dist_lennorm_mean,answer_len,n_templated_distractors
2,0.5,1,16,2,31.220532,31.838103,4.251498,1.237630,50,15
2,0.5,1,32,1,31.241484,30.389716,4.251498,1.474124,50,15
2,0.5,1,64,1,31.283170,27.750785,4.251498,1.943740,50,15
2,0.5,1,128,1,31.365693,25.161979,4.251498,2.869702,50,15
2,0.5,1,256,1,31.527414,25.291714,4.251498,4.670262,50,15
2,0.5,1,512,1,31.838165,25.541002,4.251498,8.078752,50,15
2,1.0,1,0,1,31.951007,25.780162,4.798042,1.000000,50,30
2,1.0,1,4,2,30.987698,31.632906,4.089857,1.059029,50,30
2,1.0,1,8,2,30.998126,31.985621,4.089857,1.117917,50,30
2,1.0,1,16,2,31.018928,31.532954,4.089857,1.235271,50,30
2,1.0,1,32,1,31.060318,30.094460,4.089857,1.468304,50,30
2,1.0,1,64,1,31.142252,27.493300,4.089857,1.927786,50,30
2,1.0,1,128,1,31.302821,23.830655,4.089857,2.821263,50,30
2,1.0,1,256,1,31.611358,19.752653,4.089857,4.512630,50,30
2,1.0,1,512,1,32.182419,16.170681,4.089857,7.557559,50,30
2,0.5,2,0,1,31.951007,25.780162,4.642964,1.000000,50,15
2,0.5,2,4,2,31.028864,31.737127,4.305737,1.059514,50,15
2,0.5,2,8,4,31.034092,33.193215,4.305737,1.118957,50,15
2,0.5,2,16,4,31.044536,33.849338,4.305737,1.237630,50,15
2,0.5,2,32,4,31.065369,33.441254,4.305737,1.474124,50,15
2,0.5,2,64,2,31.106821,31.861974,4.305737,1.943740,50,15
2,0.5,2,128,1,31.188878,29.268259,4.305737,2.869702,50,15
2,0.5,2,256,1,31.349687,26.228789,4.305737,4.670262,50,15
2,0.5,2,512,1,31.658686,25.643095,4.305737,8.078752,50,15
2,1.0,2,0,1,31.951007,25.780162,4.642964,1.000000,50,30
2,1.0,2,4,3,30.440222,31.097467,4.089857,1.059029,50,30
2,1.0,2,8,5,30.450466,32.462029,4.089857,1.117917,50,30
2,1.0,2,16,5,30.470900,33.054870,4.089857,1.235271,50,30
2,1.0,2,32,5,30.511559,32.617888,4.089857,1.468304,50,30
2,1.0,2,64,3,30.592046,31.047014,4.089857,1.927786,50,30
2,1.0,2,128,1,30.749777,28.502484,4.089857,2.821263,50,30
2,1.0,2,256,1,31.052864,25.548688,4.089857,4.512630,50,30
2,1.0,2,512,1,31.613835,22.927627,4.089857,7.557559,50,30
3,0.5,1,0,1,30.463794,25.780162,4.580977,1.000000,50,15
3,0.5,1,4,1,30.116242,29.024945,4.324258,1.059514,50,15
3,0.5,1,8,1,30.121676,29.403701,4.324258,1.118957,50,15
3,0.5,1,16,1,30.132530,28.948731,4.324258,1.237630,50,15
3,0.5,1,32,1,30.154183,27.507160,4.324258,1.474124,50,15
3,0.5,1,64,1,30.197277,25.495355,4.324258,1.943740,50,15
3,0.5,1,128,1,30.282617,25.562610,4.324258,2.869702,50,15
3,0.5,1,256,1,30.449985,25.694410,4.324258,4.670262,50,15
3,0.5,1,512,1,30.772062,25.947668,4.324258,8.078752,50,15
3,1.0,1,0,1,30.463794,25.780162,4.580977,1.000000,50,30
3,1.0,1,4,1,29.799266,28.638992,4.089857,1.059029,50,30
3,1.0,1,8,1,29.810011,28.972517,4.089857,1.117917,50,30
3,1.0,1,16,1,29.831449,28.497373,4.089857,1.235271,50,30
3,1.0,1,32,1,29.874112,27.059620,4.089857,1.468304,50,30
3,1.0,1,64,1,29.958599,24.556645,4.089857,1.927786,50,30
3,1.0,1,128,1,30.124296,21.194433,4.089857,2.821263,50,30
3,1.0,1,256,1,30.443164,17.636186,4.089857,4.512630,50,30
3,1.0,1,512,1,31.035018,14.646854,4.089857,7.557559,50,30
3,0.5,2,0,1,30.463794,25.780162,4.660089,1.000000,50,15
3,0.5,2,4,1,29.398110,26.940511,4.270635,1.059514,50,15
3,0.5,2,8,1,29.403423,27.765834,4.270635,1.118957,50,15
3,0.5,2,16,1,29.414035,28.265065,4.270635,1.237630,50,15
3,0.5,2,32,1,29.435207,28.117143,4.270635,1.474124,50,15
3,0.5,2,64,1,29.477341,27.160414,4.270635,1.943740,50,15
3,0.5,2,128,1,29.560782,25.495214,4.270635,2.869702,50,15
3,0.5,2,256,1,29.724428,25.468186,4.270635,4.670262,50,15
3,0.5,2,512,1,30.039354,25.719214,4.270635,8.078752,50,15
3,1.0,2,0,1,30.463794,25.780162,4.660089,1.000000,50,30
3,1.0,2,4,2,28.865658,31.275145,4.075150,1.059029,50,30
3,1.0,2,8,3,28.876090,32.626222,4.075150,1.117917,50,30
3,1.0,2,16,3,28.896900,33.204327,4.075150,1.235271,50,30
3,1.0,2,32,3,28.938316,32.748481,4.075150,1.468304,50,30
3,1.0,2,64,2,29.020335,31.151405,4.075150,1.927786,50,30
3,1.0,2,128,1,29.181195,28.572967,4.075150,2.821263,50,30
3,1.0,2,256,1,29.490767,25.582431,4.075150,4.512630,50,30
3,1.0,2,512,1,30.065416,22.929325,4.075150,7.557559,50,30
4,0.5,1,0,1,30.677714,26.156071,4.739201,1.000000,50,15
4,0.5,1,4,1,30.277834,27.278965,4.444402,1.059514,50,15
4,0.5,1,8,1,30.283300,27.421183,4.444402,1.118957,50,15
4,0.5,1,16,1,30.294216,27.065180,4.444402,1.237630,50,15
4,0.5,1,32,1,30.315996,25.969054,4.444402,1.474124,50,15
4,0.5,1,64,1,30.359339,25.678244,4.444402,1.943740,50,15
4,0.5,1,128,1,30.445174,25.745981,4.444402,2.869702,50,15
4,0.5,1,256,1,30.613513,25.878727,4.444402,4.670262,50,15
4,0.5,1,512,1,30.937463,26.133801,4.444402,8.078752,50,15
4,1.0,1,0,1,30.677714,26.156071,4.739201,1.000000,50,30
4,1.0,1,4,2,29.837320,30.531300,4.120162,1.059029,50,30
4,1.0,1,8,2,29.848086,30.874798,4.120162,1.117917,50,30
4,1.0,1,16,2,29.869566,30.403164,4.120162,1.235271,50,30
4,1.0,1,32,1,29.912314,28.946094,4.120162,1.468304,50,30
4,1.0,1,64,1,29.996969,26.360185,4.120162,1.927786,50,30
4,1.0,1,128,1,30.162998,22.798464,4.120162,2.821263,50,30
4,1.0,1,256,1,30.482507,18.923052,4.120162,4.512630,50,30
4,1.0,1,512,1,31.075570,15.585203,4.120162,7.557559,50,30
4,0.5,2,0,1,30.677714,26.156071,4.739201,1.000000,50,15
4,0.5,2,4,1,29.825738,27.275101,4.365809,1.059514,50,15
4,0.5,2,8,1,29.831093,28.124489,4.365809,1.118957,50,15
4,0.5,2,16,1,29.841788,28.645475,4.365809,1.237630,50,15
4,0.5,2,32,1,29.863126,28.537890,4.365809,1.474124,50,15
4,0.5,2,64,1,29.905589,27.633982,4.365809,1.943740,50,15
4,0.5,2,128,1,29.989678,25.957511,4.365809,2.869702,50,15
4,0.5,2,256,1,30.154585,25.801515,4.365809,4.670262,50,15
4,0.5,2,512,1,30.471894,26.055828,4.365809,8.078752,50,15
4,1.0,2,0,1,30.677714,26.156071,4.739201,1.000000,50,30
4,1.0,2,4,3,29.129641,31.304133,4.076016,1.059029,50,30
4,1.0,2,8,3,29.140061,32.650110,4.076016,1.117917,50,30
4,1.0,2,16,3,29.160850,33.225164,4.076016,1.235271,50,30
4,1.0,2,32,3,29.202220,32.767214,4.076016,1.468304,50,30
4,1.0,2,64,3,29.284144,31.167967,4.076016,1.927786,50,30
4,1.0,2,128,1,29.444801,28.586903,4.076016,2.821263,50,30
4,1.0,2,256,1,29.753917,25.593550,4.076016,4.512630,50,30
4,1.0,2,512,1,30.327490,22.937995,4.076016,7.557559,50,30
5,0.5,1,0,1,31.438261,25.267416,4.533349,1.000000,50,15
5,0.5,1,4,1,31.055953,26.211189,4.251498,1.059514,50,15
5,0.5,1,8,1,31.061186,26.344755,4.251498,1.118957,50,15
5,0.5,1,16,1,31.071639,25.999556,4.251498,1.237630,50,15
5,0.5,1,32,1,31.092490,24.942790,4.251498,1.474124,50,15
5,0.5,1,64,1,31.133978,24.946586,4.251498,1.943740,50,15
5,0.5,1,128,1,31.216107,25.012393,4.251498,2.869702,50,15
5,0.5,1,256,1,31.377056,25.141356,4.251498,4.670262,50,15
5,0.5,1,512,1,31.686325,25.389163,4.251498,8.078752,50,15
5,1.0,1,0,1,31.438261,25.267416,4.533349,1.000000,50,30
5,1.0,1,4,1,30.759095,29.647345,4.031870,1.059029,50,30
5,1.0,1,8,1,30.769446,29.987043,4.031870,1.117917,50,30
5,1.0,1,16,1,30.790094,29.532392,4.031870,1.235271,50,30
5,1.0,1,32,1,30.831179,28.119309,4.031870,1.468304,50,30
5,1.0,1,64,1,30.912509,25.610657,4.031870,1.927786,50,30
5,1.0,1,128,1,31.071893,22.157555,4.031870,2.821263,50,30
5,1.0,1,256,1,31.378154,18.403721,4.031870,4.512630,50,30
5,1.0,1,512,1,31.945002,15.173306,4.031870,7.557559,50,30
5,0.5,2,0,1,31.438261,25.267416,4.557163,1.000000,50,15
5,0.5,2,4,3,30.655477,31.383969,4.270635,1.059514,50,15
5,0.5,2,8,5,30.660643,32.818188,4.270635,1.118957,50,15
5,0.5,2,16,5,30.670960,33.467148,4.270635,1.237630,50,15
5,0.5,2,32,5,30.691543,33.067992,4.270635,1.474124,50,15
5,0.5,2,64,3,30.732496,31.513881,4.270635,1.943740,50,15
5,0.5,2,128,1,30.813566,28.959105,4.270635,2.869702,50,15
5,0.5,2,256,1,30.972440,25.964390,4.270635,4.670262,50,15
5,0.5,2,512,1,31.277721,24.779767,4.270635,8.078752,50,15
5,1.0,2,0,1,31.438261,25.267416,4.557163,1.000000,50,30
5,1.0,2,4,3,29.965607,30.614479,4.017980,1.059029,50,30
5,1.0,2,8,6,29.975691,31.951397,4.017980,1.117917,50,30
5,1.0,2,16,6,29.995807,32.530224,4.017980,1.235271,50,30
5,1.0,2,32,6,30.035832,32.096275,4.017980,1.468304,50,30
5,1.0,2,64,4,30.115064,30.546255,4.017980,1.927786,50,30
5,1.0,2,128,1,30.270336,28.037463,4.017980,2.821263,50,30
5,1.0,2,256,1,30.568697,25.125739,4.017980,4.512630,50,30
5,1.0,2,512,1,31.120922,22.542137,4.017980,7.557559,50,30
6,0.5,1,0,1,30.535520,25.851888,4.324258,1.000000,50,15
6,0.5,1,4,1,30.347697,26.991471,4.183676,1.059514,50,15
6,0.5,1,8,1,30.353169,27.097333,4.183676,1.118957,50,15
6,0.5,1,16,1,30.364101,26.709717,4.183676,1.237630,50,15
6,0.5,1,32,1,30.385910,25.693108,4.183676,1.474124,50,15
6,0.5,1,64,1,30.429313,25.727391,4.183676,1.943740,50,15
6,0.5,1,128,1,30.515265,25.795258,4.183676,2.869702,50,15
6,0.5,1,256,1,30.683833,25.928258,4.183676,4.670262,50,15
6,0.5,1,512,1,31.008215,26.183821,4.183676,8.078752,50,15
6,1.0,1,0,1,30.535520,25.851888,4.324258,1.000000,50,30
6,1.0,1,4,1,30.183667,26.846560,4.060443,1.059029,50,30
6,1.0,1,8,1,30.194542,26.939446,4.060443,1.117917,50,30
6,1.0,1,16,1,30.216238,26.545482,4.060443,1.235271,50,30
