M,B,Dmean,Wmean,wait_dist,rho,cb_util_mean,ceiling_mean,residual_idle_mean,serial_tput_mean,cb_tput_mean,stepaware_tput_mean,tput_delta_c_minus_b_mean,tput_delta_ci_lo,tput_delta_ci_hi,cb_p99_mean,stepaware_p99_mean,p99_delta_c_minus_b_mean,contention_regime
4,4,32,50,exponential,0.5,0.32095,0.32095,0.00000,0.89360,1.28380,1.30475,0.02095,-0.20440,0.21905,165.8,146.4,-19.400,starved
4,4,32,50,exponential,0.9,0.28585,0.28585,0.00000,0.70560,1.14340,1.14090,-0.00250,-0.10215,0.10865,132,134.8,2.800,starved
4,4,32,50,lognormal-heavytail,0.0,0.44970,0.44970,0.00000,0.94465,1.79880,1.52320,-0.27560,-0.49190,-0.02845,155.2,153.8,-1.400,starved
4,4,32,50,lognormal-heavytail,0.5,0.32582,0.32582,0.00000,0.83380,1.30330,0.95655,-0.34675,-0.57015,-0.12250,155.8,161.8,6.000,starved
4,4,32,50,lognormal-heavytail,0.9,0.25110,0.25110,0.00000,0.65955,1.00440,1.14950,0.14510,-0.12440,0.34740,155.8,152.6,-3.200,starved
4,4,32,200,exponential,0.0,0.12510,0.12510,0.00000,0.55180,0.50040,0.59600,0.09560,-0.05005,0.24225,127.6,167.2,39.600,starved
4,4,32,200,exponential,0.5,0.11864,0.11864,0.00000,0.53005,0.47455,0.54065,0.06610,-0.15920,0.27085,142.2,155.2,13.000,starved
4,4,32,200,exponential,0.9,0.14938,0.14938,0.00000,0.43995,0.59750,0.42920,-0.16830,-0.43000,0.02375,105.6,136.2,30.600,starved
4,4,32,200,lognormal-heavytail,0.0,0.13005,0.13005,0.00000,0.49365,0.52020,0.57270,0.05250,-0.05070,0.12900,161.6,136,-25.600,starved
4,4,32,200,lognormal-heavytail,0.5,0.14366,0.14366,0.00000,0.60035,0.57465,0.59640,0.02175,-0.13740,0.22215,144.2,150.6,6.400,starved
4,4,32,200,lognormal-heavytail,0.9,0.14885,0.14885,0.00000,0.44730,0.59540,0.73955,0.14415,-0.23310,0.50615,137,147.2,10.200,starved
4,8,8,50,exponential,0.0,0.06514,0.06514,0.00000,0.50440,0.52115,0.49690,-0.02425,-0.03410,-0.01545,34.6,36.2,1.600,starved
4,8,8,50,exponential,0.5,0.06439,0.06439,0.00000,0.50015,0.51515,0.44500,-0.07015,-0.14120,-0.00690,36,33.4,-2.600,starved
4,8,8,50,exponential,0.9,0.05688,0.05688,0.00000,0.38215,0.45500,0.49675,0.04175,-0.11415,0.19620,39.4,36.8,-2.600,starved
4,8,8,50,lognormal-heavytail,0.0,0.06125,0.06125,0.00000,0.49645,0.49000,0.55145,0.06145,0.02180,0.10355,32.4,33.6,1.200,starved
4,8,8,50,lognormal-heavytail,0.5,0.06035,0.06035,0.00000,0.44965,0.48280,0.43920,-0.04360,-0.17620,0.06585,36.4,35.6,-0.800,starved
4,8,8,50,lognormal-heavytail,0.9,0.08106,0.08106,0.00000,0.28605,0.64845,0.47860,-0.16985,-0.37375,0.03405,34.4,32.4,-2.000,starved
4,8,8,200,exponential,0.0,0.01694,0.01694,0.00000,0.14485,0.13550,0.15240,0.01690,0.00590,0.03340,34,42.6,8.600,starved
4,8,8,200,exponential,0.5,0.03067,0.03067,0.00000,0.13390,0.24535,0.15495,-0.09040,-0.13895,-0.04215,36.2,35.8,-0.400,starved
4,8,8,200,exponential,0.9,0.06286,0.06286,0.00000,0.11770,0.50290,0.20880,-0.29410,-0.59200,0.00350,37.4,38.2,0.800,starved
4,8,8,200,lognormal-heavytail,0.0,0.02013,0.02013,0.00000,0.16000,0.16105,0.16070,-0.00035,-0.04240,0.04170,42.4,33.4,-9.000,starved
4,8,8,200,lognormal-heavytail,0.5,0.02546,0.02546,0.00000,0.17580,0.20370,0.22030,0.01660,-0.03265,0.07250,34.6,36.4,1.800,starved
4,8,8,200,lognormal-heavytail,0.9,0.04649,0.04649,0.00000,0.13830,0.37195,0.37000,-0.00195,-0.08125,0.07730,38.6,35.6,-3.000,starved
4,8,32,50,exponential,0.0,0.20160,0.20160,0.00000,0.95610,1.61280,1.60965,-0.00315,-0.05590,0.04960,148.6,155,6.400,starved
4,8,32,50,exponential,0.5,0.14631,0.14631,0.00000,0.88975,1.17045,1.34510,0.17465,-0.23315,0.50255,142,138.2,-3.800,starved
4,8,32,50,exponential,0.9,0.10223,0.10223,0.00000,0.77660,0.81785,1.27460,0.45675,0.20515,0.73510,157,130.8,-26.200,starved
4,8,32,50,lognormal-heavytail,0.0,0.19487,0.19487,0.00000,0.95570,1.55900,1.63525,0.07625,-0.08570,0.25735,130.8,155,24.200,starved
4,8,32,50,lognormal-heavytail,0.5,0.16101,0.16101,0.00000,0.87730,1.28810,1.18495,-0.10315,-0.37160,0.15505,173.2,141.4,-31.800,starved
4,8,32,50,lognormal-heavytail,0.9,0.10316,0.10316,0.00000,0.70790,0.82530,0.94325,0.11795,-0.36965,0.61195,152.8,146.8,-6.000,starved
4,8,32,200,exponential,0.0,0.06919,0.06919,0.00000,0.51635,0.55355,0.57245,0.01890,-0.07205,0.12265,155.2,167,11.800,starved
4,8,32,200,exponential,0.5,0.07085,0.07085,0.00000,0.42805,0.56680,0.68095,0.11415,-0.01925,0.25390,150.4,161.4,11.000,starved
4,8,32,200,exponential,0.9,0.07368,0.07368,0.00000,0.27645,0.58940,0.47480,-0.11460,-0.27805,0.03850,120.6,126.8,6.200,starved
4,8,32,200,lognormal-heavytail,0.0,0.07108,0.07108,0.00000,0.63985,0.56865,0.54255,-0.02610,-0.06055,0.00835,182.4,156.2,-26.200,starved
4,8,32,200,lognormal-heavytail,0.5,0.07407,0.07407,0.00000,0.48580,0.59255,0.65930,0.06675,-0.17755,0.38845,143.2,131.2,-12.000,starved
4,8,32,200,lognormal-heavytail,0.9,0.05964,0.05964,0.00000,0.48290,0.47715,0.71235,0.23520,-0.04850,0.51890,137.2,156.8,19.600,starved
8,2,8,50,exponential,0.0,0.53402,0.53402,0.00000,0.84625,1.06805,1.04820,-0.01985,-0.08165,0.03955,41,42.6,1.600,starved
8,2,8,50,exponential,0.5,0.49067,0.49067,0.00000,0.59615,0.98135,1.26150,0.28015,0.09760,0.48960,39.2,47,7.800,starved
8,2,8,50,exponential,0.9,0.56907,0.56907,0.00000,0.60005,1.13815,1.13825,0.00010,-0.21370,0.21290,42.8,43.2,0.400,starved
8,2,8,50,lognormal-heavytail,0.0,0.53807,0.53807,0.00000,0.83090,1.07615,1.12125,0.04510,-0.01520,0.10575,42.4,45.8,3.400,starved
8,2,8,50,lognormal-heavytail,0.5,0.59220,0.59220,0.00000,0.70060,1.18440,1.21270,0.02830,-0.25340,0.28150,39.4,49.2,9.800,starved
8,2,8,50,lognormal-heavytail,0.9,0.51040,0.51040,0.00000,0.58210,1.02080,0.80740,-0.21340,-0.57410,0.15605,44.2,44,-0.200,starved
8,2,8,200,exponential,0.0,0.15448,0.15448,0.00000,0.29850,0.30895,0.30470,-0.00425,-0.04415,0.03565,35.8,36.8,1.000,starved
8,2,8,200,exponential,0.5,0.13515,0.13515,0.00000,0.46840,0.27030,0.42055,0.15025,-0.01315,0.31365,31.8,34.6,2.800,starved
8,2,8,200,exponential,0.9,0.26235,0.26235,0.00000,0.39505,0.52470,0.59540,0.07070,-0.34535,0.41220,35,38.8,3.800,starved
8,2,8,200,lognormal-heavytail,0.0,0.16262,0.16262,0.00000,0.29770,0.32525,0.27600,-0.04925,-0.12215,0.02365,37.6,29.6,-8.000,starved
8,2,8,200,lognormal-heavytail,0.5,0.22535,0.22535,0.00000,0.38285,0.45070,0.43045,-0.02025,-0.15960,0.11910,32,36.8,4.800,starved
8,2,8,200,lognormal-heavytail,0.9,0.26185,0.26185,0.00000,0.56480,0.52370,0.59160,0.06790,-0.51215,0.59435,40.2,38.6,-1.600,starved
8,2,32,50,exponential,0.0,0.97893,0.97893,0.00000,0.99815,1.95785,1.98160,0.02375,0.00745,0.04265,228.6,556.8,328.200,starved
8,2,32,50,exponential,0.5,0.91685,0.91685,0.00000,0.98865,1.83370,1.86020,0.02650,-0.04540,0.10615,243.4,384.2,140.800,starved
8,2,32,50,exponential,0.9,0.80145,0.80145,0.00000,0.97015,1.60290,1.74340,0.14050,-0.08115,0.35895,174.8,322.6,147.800,starved
8,2,32,50,lognormal-heavytail,0.0,0.97590,0.97590,0.00000,0.99735,1.95180,1.97320,0.02140,-0.00445,0.04115,193.4,502.4,309.000,starved
8,2,32,50,lognormal-heavytail,0.5,0.91905,0.91905,0.00000,0.95010,1.83810,1.68630,-0.15180,-0.66595,0.19880,191.6,486.8,295.200,starved
8,2,32,50,lognormal-heavytail,0.9,0.66317,0.66317,0.00000,0.89680,1.32635,1.46765,0.14130,-0.38035,0.70585,182.8,372.6,189.800,starved
8,2,32,200,exponential,0.0,0.53865,0.53865,0.00000,0.89655,1.07730,1.10495,0.02765,-0.07470,0.12740,157.8,163.8,6.000,starved
8,2,32,200,exponential,0.5,0.41100,0.41100,0.00000,0.81950,0.82200,0.75215,-0.06985,-0.31560,0.14090,144.6,141.2,-3.400,starved
8,2,32,200,exponential,0.9,0.61188,0.61188,0.00000,0.87050,1.22375,1.21125,-0.01250,-0.27910,0.30460,153.6,214.6,61.000,starved
8,2,32,200,lognormal-heavytail,0.0,0.55238,0.55238,0.00000,0.91225,1.10475,1.15860,0.05385,-0.08935,0.16975,160.6,178.6,18.000,starved
8,2,32,200,lognormal-heavytail,0.5,0.57480,0.57480,0.00000,0.87325,1.14960,1.19580,0.04620,-0.28195,0.36605,160,186.8,26.800,starved
8,2,32,200,lognormal-heavytail,0.9,0.45000,0.45000,0.00000,0.65145,0.90000,1.11015,0.21015,-0.47325,0.82870,167.2,230.4,63.200,starved
8,4,8,50,exponential,0.0,0.25964,0.25964,0.00000,0.85440,1.03855,1.10615,0.06760,0.01615,0.12245,36,37.6,1.600,starved
8,4,8,50,exponential,0.5,0.35938,0.35938,0.00000,0.79795,1.43750,1.20990,-0.22760,-0.66520,0.38825,36.4,35.6,-0.800,starved
8,4,8,50,exponential,0.9,0.34182,0.34182,0.00000,0.60590,1.36730,0.70700,-0.66030,-1.37050,0.10445,38.4,33.4,-5.000,starved
8,4,8,50,lognormal-heavytail,0.0,0.27377,0.27377,0.00000,0.84660,1.09510,1.00700,-0.08810,-0.17800,-0.01380,34,35.4,1.400,starved
8,4,8,50,lognormal-heavytail,0.5,0.33884,0.33884,0.00000,0.74695,1.35535,0.91890,-0.43645,-1.00565,0.07040,36.4,37.4,1.000,starved
8,4,8,50,lognormal-heavytail,0.9,0.45224,0.45224,0.00000,0.73285,1.80895,1.71505,-0.09390,-0.92525,0.60000,37.4,36,-1.400,starved
8,4,8,200,exponential,0.0,0.07404,0.07404,0.00000,0.30605,0.29615,0.30400,0.00785,-0.01200,0.02225,36.8,37.4,0.600,starved
8,4,8,200,exponential,0.5,0.08914,0.08914,0.00000,0.35890,0.35655,0.41705,0.06050,-0.06395,0.20605,35,35,0.000,starved
8,4,8,200,exponential,0.9,0.15106,0.15106,0.00000,0.27020,0.60425,0.66410,0.05985,-0.42865,0.64435,35.6,39.8,4.200,starved
8,4,8,200,lognormal-heavytail,0.0,0.07571,0.07571,0.00000,0.28490,0.30285,0.33640,0.03355,-0.01215,0.07925,42.2,40.6,-1.600,starved
8,4,8,200,lognormal-heavytail,0.5,0.14194,0.14194,0.00000,0.34740,0.56775,0.39890,-0.16885,-0.27700,-0.09025,36.8,35.2,-1.600,starved
8,4,8,200,lognormal-heavytail,0.9,0.18419,0.18419,0.00000,0.69670,0.73675,0.81710,0.08035,-0.22930,0.39000,36.2,34.8,-1.400,starved
8,4,32,50,exponential,0.0,0.75134,0.75134,0.00000,0.99795,3.00535,3.01530,0.00995,-0.03100,0.05705,161.2,152,-9.200,starved
8,4,32,50,exponential,0.5,0.69539,0.69539,0.00000,0.99620,2.78155,2.51925,-0.26230,-0.79030,0.26570,145,157.6,12.600,starved
8,4,32,50,exponential,0.9,0.56545,0.56545,0.00000,0.94530,2.26180,2.44760,0.18580,-0.52860,0.83845,139,143.2,4.200,starved
8,4,32,50,lognormal-heavytail,0.0,0.76780,0.76780,0.00000,0.99645,3.07120,2.99295,-0.07825,-0.17700,0.01780,148.4,147,-1.400,starved
8,4,32,50,lognormal-heavytail,0.5,0.67289,0.67289,0.00000,0.98300,2.69155,1.71265,-0.97890,-1.51720,-0.40940,159.2,140.6,-18.600,starved
8,4,32,50,lognormal-heavytail,0.9,0.57381,0.57381,0.00000,0.93600,2.29525,2.34775,0.05250,-0.39095,0.54915,149,163.2,14.200,starved
8,4,32,200,exponential,0.0,0.29134,0.29134,0.00000,0.88780,1.16535,1.16295,-0.00240,-0.11820,0.10375,161.6,142.6,-19.000,starved
8,4,32,200,exponential,0.5,0.32953,0.32953,0.00000,0.76710,1.31810,1.26530,-0.05280,-0.20665,0.12470,123.2,136.4,13.200,starved
8,4,32,200,exponential,0.9,0.28045,0.28045,0.00000,0.88295,1.12180,1.12310,0.00130,-0.52140,0.46850,150,139,-11.000,starved
8,4,32,200,lognormal-heavytail,0.0,0.27539,0.27539,0.00000,0.87535,1.10155,1.11255,0.01100,-0.10840,0.13150,135.8,155.6,19.800,starved
8,4,32,200,lognormal-heavytail,0.5,0.29580,0.29580,0.00000,0.83300,1.18320,1.29995,0.11675,-0.35585,0.54650,156.4,135,-21.400,starved
8,4,32,200,lognormal-heavytail,0.9,0.34775,0.34775,0.00000,0.76380,1.39100,1.93655,0.54555,-0.13530,1.37780,141,158,17.000,starved
8,8,8,50,exponential,0.0,0.13402,0.13402,0.00000,0.85200,1.07215,1.09175,0.01960,-0.01445,0.05615,36.6,39.4,2.800,starved
8,8,8,50,exponential,0.5,0.19313,0.19313,0.00000,0.77205,1.54500,1.18825,-0.35675,-0.68460,0.04605,37.2,37,-0.200,starved
8,8,8,50,exponential,0.9,0.21524,0.21524,0.00000,0.63150,1.72190,1.49675,-0.22515,-0.77400,0.40595,36.4,37.4,1.000,starved
8,8,8,50,lognormal-heavytail,0.0,0.13536,0.13536,0.00000,0.87950,1.08285,1.13185,0.04900,-0.02775,0.13825,39,34.2,-4.800,starved
8,8,8,50,lognormal-heavytail,0.5,0.20704,0.20704,0.00000,0.76530,1.65630,1.07985,-0.57645,-1.12935,-0.04080,34.6,40.2,5.600,starved
8,8,8,50,lognormal-heavytail,0.9,0.17354,0.17354,0.00000,0.57070,1.38830,1.40670,0.01840,-0.87685,1.18145,41.8,33.6,-8.200,starved
8,8,8,200,exponential,0.0,0.04029,0.04029,0.00000,0.28270,0.32235,0.30660,-0.01575,-0.04070,0.00830,39.4,37.8,-1.600,starved
8,8,8,200,exponential,0.5,0.03587,0.03587,0.00000,0.34810,0.28695,0.33840,0.05145,-0.11250,0.21540,34.6,33.6,-1.000,starved
8,8,8,200,exponential,0.9,0.07609,0.07609,0.00000,0.33760,0.60875,0.47490,-0.13385,-0.57515,0.43030,35.8,38.6,2.800,starved
8,8,8,200,lognormal-heavytail,0.0,0.04053,0.04053,0.00000,0.32660,0.32425,0.29485,-0.02940,-0.07160,0.02535,40,36.8,-3.200,starved
8,8,8,200,lognormal-heavytail,0.5,0.07579,0.07579,0.00000,0.32685,0.60635,0.35775,-0.24860,-0.37115,-0.15080,38.8,37.2,-1.600,starved
8,8,8,200,lognormal-heavytail,0.9,0.06533,0.06533,0.00000,0.37900,0.52265,0.48010,-0.04255,-0.32660,0.24150,36,36.2,0.200,starved
8,8,32,50,exponential,0.0,0.37532,0.37532,0.00000,0.99810,3.00255,3.18330,0.18075,0.06685,0.27705,139,139.8,0.800,starved
8,8,32,50,exponential,0.5,0.33458,0.33458,0.00000,0.97430,2.67660,3.33825,0.66165,-0.45255,1.64405,142.4,147.4,5.000,starved
8,8,32,50,exponential,0.9,0.34650,0.34650,0.00000,0.95900,2.77200,2.52385,-0.24815,-1.00410,0.50780,145,159.8,14.800,starved
8,8,32,50,lognormal-heavytail,0.0,0.40177,0.40177,0.00000,0.99855,3.21415,3.19990,-0.01425,-0.12310,0.11075,156.2,140.2,-16.000,starved
8,8,32,50,lognormal-heavytail,0.5,0.39417,0.39417,0.00000,0.96540,3.15340,3.57045,0.41705,-0.08570,1.06870,141,146.2,5.200,starved
8,8,32,50,lognormal-heavytail,0.9,0.30926,0.30926,0.00000,0.89065,2.47405,2.57155,0.09750,-0.65710,0.63275,151,155,4.000,starved
8,8,32,200,exponential,0.0,0.13569,0.13569,0.00000,0.87510,1.08555,1.14180,0.05625,-0.07020,0.22000,149.2,160,10.800,starved
8,8,32,200,exponential,0.5,0.14249,0.14249,0.00000,0.86825,1.13990,1.32885,0.18895,-0.24480,0.62270,151,120.8,-30.200,starved
8,8,32,200,exponential,0.9,0.16557,0.16557,0.00000,0.79885,1.32455,2.06630,0.74175,-0.34575,1.40435,145.2,157.8,12.600,starved
8,8,32,200,lognormal-heavytail,0.0,0.16079,0.16079,0.00000,0.89930,1.28635,1.14230,-0.14405,-0.24235,-0.04575,139.6,141,1.400,starved
8,8,32,200,lognormal-heavytail,0.5,0.17986,0.17986,0.00000,0.84695,1.43890,1.43470,-0.00420,-0.56075,0.48100,142.2,128.4,-13.800,starved
8,8,32,200,lognormal-heavytail,0.9,0.28341,0.28341,0.00000,0.68275,2.26725,1.19720,-1.07005,-2.12070,-0.01940,156.2,137.4,-18.800,starved
16,2,8,50,exponential,0.0,0.90345,0.90345,0.00000,0.99635,1.80690,1.89395,0.08705,0.05205,0.13510,63.6,124,60.400,starved
16,2,8,50,exponential,0.5,0.82000,0.82000,0.00000,0.97490,1.64000,1.92830,0.28830,-0.02570,0.67045,62.4,197.4,135.000,starved
16,2,8,50,exponential,0.9,0.77963,0.77963,0.00000,0.97715,1.55925,1.54790,-0.01135,-0.42265,0.58070,66.6,221.6,155.000,starved
16,2,8,50,lognormal-heavytail,0.0,0.92835,0.92835,0.00000,0.99925,1.85670,1.89270,0.03600,0.00810,0.07415,65,143.4,78.400,starved
16,2,8,50,lognormal-heavytail,0.5,0.99040,0.99040,0.00000,0.85610,1.98080,1.89210,-0.08870,-0.21390,0.01175,72.6,219.6,147.000,saturated
16,2,8,50,lognormal-heavytail,0.9,0.75252,0.75252,0.00000,0.87610,1.50505,1.71295,0.20790,-0.07575,0.55560,70,390,320.000,starved
16,2,8,200,exponential,0.0,0.29755,0.29755,0.00000,0.58855,0.59510,0.59840,0.00330,-0.04790,0.05145,37.8,39.6,1.800,starved
16,2,8,200,exponential,0.5,0.45390,0.45390,0.00000,0.71905,0.90780,0.55460,-0.35320,-0.43585,-0.25540,41.6,36.6,-5.000,starved
16,2,8,200,exponential,0.9,0.36305,0.36305,0.00000,0.78650,0.72610,0.74540,0.01930,-0.29085,0.28130,41.8,54.6,12.800,starved
16,2,8,200,lognormal-heavytail,0.0,0.35478,0.35478,0.00000,0.59470,0.70955,0.62965,-0.07990,-0.20365,0.04350,40.4,39,-1.400,starved
16,2,8,200,lognormal-heavytail,0.5,0.39343,0.39343,0.00000,0.65845,0.78685,0.74340,-0.04345,-0.44390,0.37600,42.8,39,-3.800,starved
16,2,8,200,lognormal-heavytail,0.9,0.51458,0.51458,0.00000,0.79875,1.02915,1.09555,0.06640,-0.25910,0.36685,43.8,93,49.200,starved
16,2,32,50,exponential,0.0,0.99920,0.99920,0.00000,0.99935,1.99840,1.99775,-0.00065,-0.00285,0.00140,376.8,1758,1381.200,saturated
16,2,32,50,exponential,0.5,0.99860,0.99860,0.00000,0.99895,1.99720,1.99880,0.00160,-0.00175,0.00435,364,2159.8,1795.800,saturated
16,2,32,50,exponential,0.9,0.98270,0.98270,0.00000,0.99925,1.96540,1.99890,0.03350,0.00130,0.09005,354,1443.4,1089.400,saturated
16,2,32,50,lognormal-heavytail,0.0,0.99885,0.99885,0.00000,0.99940,1.99770,1.99605,-0.00165,-0.00255,-0.00065,348,1626,1278.000,saturated
16,2,32,50,lognormal-heavytail,0.5,0.90480,0.90480,0.00000,0.99875,1.80960,1.97700,0.16740,-0.03215,0.44670,336,1233.8,897.800,starved
16,2,32,50,lognormal-heavytail,0.9,0.98790,0.98790,0.00000,0.99930,1.97580,1.99810,0.02230,0.00015,0.06365,306,1651.4,1345.400,saturated
16,2,32,200,exponential,0.0,0.90753,0.90753,0.00000,0.99595,1.81505,1.90560,0.09055,0.04365,0.15660,244.6,666,421.400,starved
16,2,32,200,exponential,0.5,0.90748,0.90748,0.00000,0.95850,1.81495,1.79710,-0.01785,-0.29795,0.32515,284.4,724,439.600,starved
16,2,32,200,exponential,0.9,0.75575,0.75575,0.00000,0.90265,1.51150,1.49770,-0.01380,-0.73135,0.69085,207.6,325.8,118.200,starved
16,2,32,200,lognormal-heavytail,0.0,0.91980,0.91980,0.00000,0.99715,1.83960,1.89325,0.05365,-0.05950,0.16640,225.2,587,361.800,starved
16,2,32,200,lognormal-heavytail,0.5,0.98333,0.98333,0.00000,0.98500,1.96665,1.79910,-0.16755,-0.36320,0.00105,301.6,748.8,447.200,saturated
16,2,32,200,lognormal-heavytail,0.9,0.87498,0.87498,0.00000,0.86570,1.74995,1.94110,0.19115,-0.02985,0.49470,282.2,1660,1377.800,starved
16,4,8,50,exponential,0.0,0.54795,0.54795,0.00000,0.99905,2.19180,2.18515,-0.00665,-0.09580,0.07125,36.6,36.8,0.200,starved
16,4,8,50,exponential,0.5,0.40339,0.40339,0.00000,0.99095,1.61355,2.70645,1.09290,-0.56475,2.25740,37.6,47,9.400,starved
16,4,8,50,exponential,0.9,0.70650,0.70650,0.00000,0.95845,2.82600,2.00700,-0.81900,-1.86640,0.20360,40,66,26.000,starved
