M,B,Dmean,Wmean,wait_dist,rho,cb_util_mean,ceiling_mean,residual_idle_mean,serial_tput_mean,cb_tput_mean,stepaware_tput_mean,tput_delta_c_minus_b_mean,tput_delta_ci_lo,tput_delta_ci_hi,cb_p99_mean,stepaware_p99_mean,p99_delta_c_minus_b_mean,contention_regime
16,4,8,50,lognormal-heavytail,0.0,0.54966,0.54966,0.00000,0.99915,2.19865,2.25675,0.05810,-0.05185,0.18510,36.8,36.2,-0.600,starved
16,4,8,50,lognormal-heavytail,0.5,0.57784,0.57784,0.00000,0.99740,2.31135,2.49195,0.18060,-0.81890,0.85245,39.2,40.2,1.000,starved
16,4,8,50,lognormal-heavytail,0.9,0.66032,0.66032,0.00000,0.96015,2.64130,2.64635,0.00505,-1.73400,1.74410,43.6,90.8,47.200,starved
16,4,8,200,exponential,0.0,0.15548,0.15548,0.00000,0.58865,0.62190,0.61900,-0.00290,-0.05545,0.05530,37,39.2,2.200,starved
16,4,8,200,exponential,0.5,0.20398,0.20398,0.00000,0.85030,0.81590,0.75685,-0.05905,-0.34395,0.21105,35.2,35,-0.200,starved
16,4,8,200,exponential,0.9,0.18030,0.18030,0.00000,0.47995,0.72120,0.97865,0.25745,-0.21230,0.75175,37.2,40.4,3.200,starved
16,4,8,200,lognormal-heavytail,0.0,0.16464,0.16464,0.00000,0.53165,0.65855,0.66720,0.00865,-0.04265,0.06235,34,36.6,2.600,starved
16,4,8,200,lognormal-heavytail,0.5,0.18973,0.18973,0.00000,0.83430,0.75890,0.69920,-0.05970,-0.46560,0.26920,36.8,34.8,-2.000,starved
16,4,8,200,lognormal-heavytail,0.9,0.46746,0.46746,0.00000,0.58680,1.86985,1.46350,-0.40635,-1.20145,0.34490,38.8,37.4,-1.400,starved
16,4,32,50,exponential,0.0,0.99674,0.99674,0.00000,0.99940,3.98695,3.99115,0.00420,0.00070,0.00800,218.2,587,368.800,saturated
16,4,32,50,exponential,0.5,0.98498,0.98498,0.00000,0.99950,3.93990,3.93140,-0.00850,-0.11820,0.08660,209,689,480.000,saturated
16,4,32,50,exponential,0.9,0.88772,0.88772,0.00000,0.99825,3.55090,3.72465,0.17375,-0.08120,0.59675,175.4,541.8,366.400,starved
16,4,32,50,lognormal-heavytail,0.0,0.99454,0.99454,0.00000,0.99925,3.97815,3.99205,0.01390,0.00485,0.02850,201.6,630.2,428.600,saturated
16,4,32,50,lognormal-heavytail,0.5,0.77674,0.77674,0.00000,0.99220,3.10695,3.86850,0.76155,0.01680,1.71915,180.4,811.4,631.000,starved
16,4,32,50,lognormal-heavytail,0.9,0.82954,0.82954,0.0016,4,32,50,lognormal-heavytail,0.9,0.84614,0.84614,0.00000,0.99640,3.38455,3.8516,4,32,200,exponential,0.0,0.56425,0.56425,0.00000,0.99380,2.25700,2.26340,0.00640,-0.10565,0.12805,155.6,159.2,3.600,starved
16,4,32,200,exponential,0.5,0.67941,0.67941,0.00000,0.99670,2.71765,2.82705,0.10940,-0.50290,0.69665,155.6,192,36.400,starved
16,4,32,200,exponential,0.9,0.73933,0.73933,0.00000,0.90535,2.95730,2.94165,-0.01565,-0.58115,0.55475,177.2,161.6,-15.600,starved
16,4,32,200,lognormal-heavytail,0.0,0.59154,0.59154,0.00000,0.99460,2.36615,2.19945,-0.16670,-0.26630,-0.07120,150.4,161.4,11.000,starved
16,4,32,200,lognormal-heavytail,0.5,0.64266,0.64266,0.00000,0.96760,2.57065,2.20725,-0.36340,-0.90170,0.23850,153,165.4,12.400,starved
16,4,32,200,lognormal-heavytail,0.9,0.82120,0.82120,0.00000,0.90985,3.28480,2.58070,-0.70410,-1.58020,0.47865,187.2,170.8,-16.400,starved
16,8,8,50,exponential,0.0,0.26828,0.26828,0.00000,0.99780,2.14625,2.21850,0.07225,0.01570,0.13650,33.6,36.2,2.600,starved
16,8,8,50,exponential,0.5,0.25711,0.25711,0.00000,0.95120,2.05685,3.28515,1.22830,0.74285,1.94240,36.4,35.4,-1.000,starved
16,8,8,50,exponential,0.9,0.31368,0.31368,0.00000,0.87380,2.50945,2.76120,0.25175,-0.87970,1.11700,36.2,37.4,1.200,starved
16,8,8,50,lognormal-heavytail,0.0,0.27885,0.27885,0.00000,0.99930,2.23080,2.19270,-0.03810,-0.09605,0.03335,35.4,37,1.600,starved
16,8,8,50,lognormal-heavytail,0.5,0.35676,0.35676,0.00000,0.99605,2.85405,2.39495,-0.45910,-1.07440,0.21520,36,38.4,2.400,starved
16,8,8,50,lognormal-heavytail,0.9,0.23243,0.23243,0.00000,0.93755,1.85945,4.08375,2.22430,0.36615,4.00505,33.4,36.8,3.400,starved
16,8,8,200,exponential,0.0,0.07377,0.07377,0.00000,0.56835,0.59015,0.61385,0.02370,-0.01105,0.05775,30.8,36.4,5.600,starved
16,8,8,200,exponential,0.5,0.10171,0.10171,0.00000,0.62265,0.81370,0.81080,-0.00290,-0.30435,0.29855,38.2,38.4,0.200,starved
16,8,8,200,exponential,0.9,0.17548,0.17548,0.00000,0.56950,1.40385,1.06155,-0.34230,-1.73465,0.97025,35,37.2,2.200,starved
16,8,8,200,lognormal-heavytail,0.0,0.07852,0.07852,0.00000,0.58145,0.62815,0.65965,0.03150,-0.03235,0.08130,34.6,36.2,1.600,starved
16,8,8,200,lognormal-heavytail,0.5,0.08653,0.08653,0.00000,0.60515,0.69220,1.08635,0.39415,0.15275,0.70420,36.6,36.4,-0.200,starved
16,8,8,200,lognormal-heavytail,0.9,0.15956,0.15956,0.00000,0.79990,1.27650,1.55440,0.27790,-0.95790,1.03740,34.8,37.4,2.600,starved
16,8,32,50,exponential,0.0,0.78158,0.78158,0.00000,0.99975,6.25260,6.30930,0.05670,-0.08970,0.20310,157.6,154,-3.600,starved
16,8,32,50,exponential,0.5,0.77274,0.77274,0.00000,0.99935,6.18195,5.86580,-0.31615,-1.86625,1.03335,154.8,172.6,17.800,starved
16,8,32,50,exponential,0.9,0.81647,0.81647,0.00000,0.99930,6.53175,6.68220,0.15045,-1.19700,1.48655,150.6,182.2,31.600,starved
16,8,32,50,lognormal-heavytail,0.0,0.74836,0.74836,0.00000,0.99915,5.98685,6.28115,0.29430,0.13835,0.45140,147.2,148.8,1.600,starved
16,8,32,50,lognormal-heavytail,0.5,0.78100,0.78100,0.00000,0.99965,6.24800,6.97470,0.72670,-0.39265,2.16725,146.8,163,16.200,starved
16,8,32,50,lognormal-heavytail,0.9,0.79411,0.79411,0.00000,0.92645,6.35290,5.38580,-0.96710,-2.50405,0.56985,149.8,148.8,-1.000,starved
16,8,32,200,exponential,0.0,0.27213,0.27213,0.00000,0.99600,2.17700,2.26705,0.09005,-0.11700,0.23110,148.4,152.6,4.200,starved
16,8,32,200,exponential,0.5,0.35134,0.35134,0.00000,0.95800,2.81075,2.52925,-0.28150,-0.99250,0.22310,152,151,-1.000,starved
16,8,32,200,exponential,0.9,0.63419,0.63419,0.00000,0.89520,5.07355,2.99480,-2.07875,-3.72270,-0.94455,161.6,147.2,-14.400,starved
16,8,32,200,lognormal-heavytail,0.0,0.27909,0.27909,0.00000,0.99660,2.23275,2.35055,0.11780,-0.14025,0.28695,140.2,140.4,0.200,starved
16,8,32,200,lognormal-heavytail,0.5,0.30548,0.30548,0.00000,0.98745,2.44385,2.81565,0.37180,-0.70830,1.42235,134.4,145.8,11.400,starved
16,8,32,200,lognormal-heavytail,0.9,0.57123,0.57123,0.00000,0.99435,4.56985,3.77140,-0.79845,-4.03520,3.07420,155,138,-17.000,starved
32,2,8,50,exponential,0.0,0.99943,0.99943,0.00000,0.99935,1.99885,1.99920,0.00035,-0.00045,0.00100,126,876.6,750.600,saturated
32,2,8,50,exponential,0.5,0.99628,0.99628,0.00000,0.99995,1.99255,1.99905,0.00650,-0.00060,0.01985,143,659.2,516.200,saturated
32,2,8,50,exponential,0.9,0.96090,0.96090,0.00000,0.99485,1.92180,1.95705,0.03525,-0.09455,0.18140,132,820.2,688.200,starved
32,2,8,50,lognormal-heavytail,0.0,0.99950,0.99950,0.00000,0.99970,1.99900,1.99860,-0.00040,-0.00115,0.00035,123,1053.2,930.200,saturated
32,2,8,50,lognormal-heavytail,0.5,0.99967,0.99967,0.00000,0.99975,1.99935,1.99935,0.00000,-0.00020,0.00020,145.4,765.6,620.200,saturated
32,2,8,50,lognormal-heavytail,0.9,0.85023,0.85023,0.00000,0.99970,1.70045,1.75805,0.05760,-0.16145,0.35870,122.6,1164.8,1042.200,starved
32,2,8,200,exponential,0.0,0.56612,0.56612,0.00000,0.96895,1.13225,1.19940,0.06715,0.01265,0.13785,44,56.8,12.800,starved
32,2,8,200,exponential,0.5,0.64005,0.64005,0.00000,0.98750,1.28010,1.53530,0.25520,-0.17950,0.68990,50.6,90.8,40.200,starved
32,2,8,200,exponential,0.9,0.65582,0.65582,0.00000,0.73415,1.31165,1.37685,0.06520,-0.23610,0.34815,56.2,63.8,7.600,starved
32,2,8,200,lognormal-heavytail,0.0,0.64415,0.64415,0.00000,0.96850,1.28830,1.19435,-0.09395,-0.14280,-0.04885,50.4,51.8,1.400,starved
32,2,8,200,lognormal-heavytail,0.5,0.72313,0.72313,0.00000,0.94215,1.44625,1.40780,-0.03845,-0.68430,0.61265,56.4,85.8,29.400,starved
32,2,8,200,lognormal-heavytail,0.9,0.66690,0.66690,0.00000,0.81815,1.33380,1.08365,-0.25015,-1.05300,0.60110,84,206.8,122.800,starved
32,2,32,50,exponential,0.0,0.99970,0.99970,0.00000,0.99995,1.99940,1.99965,0.00025,0.00005,0.00050,634.4,2455.4,1821.000,saturated
32,2,32,50,exponential,0.5,0.99977,0.99977,0.00000,0.99950,1.99955,1.99900,-0.00055,-0.00110,0.00000,667.6,2320.8,1653.200,saturated
32,2,32,50,exponential,0.9,0.99970,0.99970,0.00000,0.99980,1.99940,1.99890,-0.00050,-0.00145,0.00015,640.6,2445.6,1805.000,saturated
32,2,32,50,lognormal-heavytail,0.0,0.99977,0.99977,0.00000,0.99975,1.99955,1.99860,-0.00095,-0.00285,0.00060,629.8,2309.8,1680.000,saturated
32,2,32,50,lognormal-heavytail,0.5,0.99928,0.99928,0.00000,0.99985,1.99855,1.99950,0.00095,-0.00005,0.00200,625.2,2359.8,1734.600,saturated
32,2,32,50,lognormal-heavytail,0.9,0.99875,0.99875,0.00000,0.99980,1.99750,1.99920,0.00170,0.00095,0.00240,665.8,2556.4,1890.600,saturated
32,2,32,200,exponential,0.0,0.99647,0.99647,0.00000,0.99910,1.99295,1.99515,0.00220,0.00030,0.00485,531.6,1907.8,1376.200,saturated
32,2,32,200,exponential,0.5,0.99613,0.99613,0.00000,0.99835,1.99225,1.96970,-0.02255,-0.06820,0.00520,602.2,1546.4,944.200,saturated
32,2,32,200,exponential,0.9,0.98408,0.98408,0.00000,0.99800,1.96815,1.99045,0.02230,-0.00110,0.06575,455.6,1340.6,885.000,saturated
32,2,32,200,lognormal-heavytail,0.0,0.99740,0.99740,0.00000,0.99860,1.99480,1.99710,0.00230,-0.00075,0.00560,556.8,2324.2,1767.400,saturated
32,2,32,200,lognormal-heavytail,0.5,0.99695,0.99695,0.00000,0.99935,1.99390,1.99210,-0.00180,-0.00690,0.00470,542.2,1996.8,1454.600,saturated
32,2,32,200,lognormal-heavytail,0.9,0.99633,0.99633,0.00000,0.99750,1.99265,1.99100,-0.00165,-0.00820,0.00340,563.8,2187.2,1623.400,saturated
32,4,8,50,exponential,0.0,0.94161,0.94161,0.00000,0.99935,3.76645,3.85335,0.08690,0.05345,0.12530,49.2,121.4,72.200,starved
32,4,8,50,exponential,0.5,0.91635,0.91635,0.00000,0.99980,3.66540,3.64840,-0.01700,-0.43805,0.39905,54.6,120.2,65.600,starved
32,4,8,50,exponential,0.9,0.86376,0.86376,0.00000,0.99840,3.45505,2.50980,-0.94525,-2.41245,0.45300,52.4,155.4,103.000,starved
32,4,8,50,lognormal-heavytail,0.0,0.94342,0.94342,0.00000,0.99955,3.77370,3.87335,0.09965,0.04240,0.15575,53.6,123.8,70.200,starved
32,4,8,50,lognormal-heavytail,0.5,0.99706,0.99706,0.00000,0.99965,3.98825,3.84465,-0.14360,-0.43935,0.01215,64.6,256.8,192.200,saturated
32,4,8,50,lognormal-heavytail,0.9,0.99562,0.99562,0.00000,0.99030,3.98250,3.25890,-0.72360,-1.67015,-0.00050,66,296.8,230.800,saturated
32,4,8,200,exponential,0.0,0.29806,0.29806,0.00000,0.95630,1.19225,1.21335,0.02110,-0.05105,0.09255,38.8,35.4,-3.400,starved
32,4,8,200,exponential,0.5,0.33946,0.33946,0.00000,0.97770,1.35785,1.15055,-0.20730,-0.93355,0.68955,35,35.4,0.400,starved
32,4,8,200,exponential,0.9,0.58155,0.58155,0.00000,0.87660,2.32620,2.38880,0.06260,-1.52990,2.00040,50,111,61.000,starved
32,4,8,200,lognormal-heavytail,0.0,0.30384,0.30384,0.00000,0.97385,1.21535,1.22680,0.01145,-0.02605,0.04890,38.4,36.2,-2.200,starved
32,4,8,200,lognormal-heavytail,0.5,0.34959,0.34959,0.00000,0.76930,1.39835,1.50995,0.11160,-0.27915,0.48700,35.6,37.6,2.000,starved
32,4,8,200,lognormal-heavytail,0.9,0.36359,0.36359,0.00000,0.84715,1.45435,1.38190,-0.07245,-1.02440,1.34155,36.8,37.4,0.600,starved
32,4,32,50,exponential,0.0,0.99960,0.99960,0.00000,0.99980,3.99840,3.99715,-0.00125,-0.00295,0.00030,356,1637.4,1281.400,saturated
32,4,32,50,exponential,0.5,0.99870,0.99870,0.00000,0.99975,3.99480,3.99405,-0.00075,-0.00315,0.00150,333.8,1788,1454.200,saturated
32,4,32,50,exponential,0.9,0.99899,0.99899,0.00000,0.99965,3.99595,3.99740,0.00145,0.00060,0.00245,345.2,1635.6,1290.400,saturated
32,4,32,50,lognormal-heavytail,0.0,0.99920,0.99920,0.00000,0.99940,3.99680,3.99445,-0.00235,-0.00395,-0.00025,353,1947.4,1594.400,saturated
32,4,32,50,lognormal-heavytail,0.5,0.99869,0.99869,0.00000,0.99970,3.99475,3.99475,-0.00000,-0.00445,0.00575,301.2,2068.2,1767.000,saturated
32,4,32,50,lognormal-heavytail,0.9,0.92855,0.92855,0.00000,0.99985,3.71420,3.97720,0.26300,-0.05345,0.83320,298.4,1241.4,943.000,starved
32,4,32,200,exponential,0.0,0.95471,0.95471,0.00000,0.99830,3.81885,3.92395,0.10510,0.05045,0.15975,208.2,584.6,376.400,starved
32,4,32,200,exponential,0.5,0.61311,0.61311,0.00000,0.99900,2.45245,3.97495,1.52250,0.94070,2.10430,161.2,673.6,512.400,starved
32,4,32,200,exponential,0.9,0.93375,0.93375,0.00000,0.99890,3.73500,3.92830,0.19330,0.08480,0.30180,217.6,1197.4,979.800,starved
32,4,32,200,lognormal-heavytail,0.0,0.95130,0.95130,0.00000,0.99900,3.80520,3.94715,0.14195,0.02970,0.26810,212.8,624.4,411.600,starved
32,4,32,200,lognormal-heavytail,0.5,0.90164,0.90164,0.00000,0.99850,3.60655,3.78855,0.18200,-0.55180,1.09315,254.6,874.8,620.200,starved
32,4,32,200,lognormal-heavytail,0.9,0.75291,0.75291,0.00000,0.99840,3.01165,3.31470,0.30305,0.01990,0.60740,203.4,994.4,791.000,starved
32,8,8,50,exponential,0.0,0.54097,0.54097,0.00000,0.99970,4.32775,4.35435,0.02660,-0.03120,0.06920,38.6,36.8,-1.800,starved
32,8,8,50,exponential,0.5,0.48880,0.48880,0.00000,0.99975,3.91040,5.17305,1.26265,-0.58635,3.37605,37.4,40.4,3.000,starved
32,8,8,50,exponential,0.9,0.54911,0.54911,0.00000,0.99935,4.39285,6.35915,1.96630,-2.29045,5.34410,39,79.2,40.200,starved
32,8,8,50,lognormal-heavytail,0.0,0.53853,0.53853,0.00000,0.99980,4.30820,4.34810,0.03990,-0.12175,0.32670,37.4,36,-1.400,starved
32,8,8,50,lognormal-heavytail,0.5,0.58193,0.58193,0.00000,0.99980,4.65545,5.22540,0.56995,-1.55855,2.91125,36.8,40.6,3.800,starved
32,8,8,50,lognormal-heavytail,0.9,0.66744,0.66744,0.00000,0.99995,5.33950,6.97310,1.63360,-1.86665,4.83620,42.2,92,49.800,starved
32,8,8,200,exponential,0.0,0.15333,0.15333,0.00000,0.96840,1.22660,1.19765,-0.02895,-0.11055,0.02040,34.6,34.8,0.200,starved
32,8,8,200,exponential,0.5,0.16630,0.16630,0.00000,0.91220,1.33040,1.44145,0.11105,-0.06370,0.22525,34.8,37.8,3.000,starved
32,8,8,200,exponential,0.9,0.20096,0.20096,0.00000,0.81310,1.60770,3.42285,1.81515,-0.85130,4.51365,37.4,51.2,13.800,starved
32,8,8,200,lognormal-heavytail,0.0,0.16500,0.16500,0.00000,0.96955,1.32000,1.21560,-0.10440,-0.18675,-0.02130,35,35.2,0.200,starved
32,8,8,200,lognormal-heavytail,0.5,0.18100,0.18100,0.00000,0.98665,1.44800,1.65880,0.21080,-0.42670,0.83460,37.4,35.6,-1.800,starved
32,8,8,200,lognormal-heavytail,0.9,0.24675,0.24675,0.00000,0.95405,1.97400,2.01385,0.03985,-1.07070,1.15040,36.8,36.8,0.000,starved
32,8,32,50,exponential,0.0,0.99805,0.99805,0.00000,1.00000,7.98440,7.98595,0.00155,-0.00615,0.00755,193.6,559.4,365.800,saturated
32,8,32,50,exponential,0.5,0.99394,0.99394,0.00000,0.99985,7.95155,7.98130,0.02975,-0.00425,0.08675,199.8,574.6,374.800,saturated
32,8,32,50,exponential,0.9,0.99619,0.99619,0.00000,0.99975,7.96950,7.92100,-0.04850,-0.18570,0.03660,200.6,697,496.400,saturated
32,8,32,50,lognormal-heavytail,0.0,0.99759,0.99759,0.00000,0.99985,7.98070,7.98305,0.00235,-0.00160,0.00630,200.2,654,453.800,saturated
32,8,32,50,lognormal-heavytail,0.5,0.99807,0.99807,0.00000,0.99980,7.98455,7.67400,-0.31055,-0.92720,0.00525,204.6,610.8,406.200,saturated
32,8,32,50,lognormal-heavytail,0.9,0.91911,0.91911,0.00000,0.99970,7.35290,6.92105,-0.43185,-3.02070,1.75895,195.2,720.6,525.400,starved
32,8,32,200,exponential,0.0,0.56099,0.56099,0.00000,0.99885,4.48790,4.28050,-0.20740,-0.51695,0.07915,158,138.4,-19.600,starved
32,8,32,200,exponential,0.5,0.66453,0.66453,0.00000,0.99910,5.31620,5.74210,0.42590,-0.46265,1.41130,147.8,164.6,16.800,starved
32,8,32,200,exponential,0.9,0.54378,0.54378,0.00000,0.99935,4.35025,6.04225,1.69200,-2.51290,4.84845,154.6,479.4,324.800,starved
32,8,32,200,lognormal-heavytail,0.0,0.59183,0.59183,0.00000,0.99875,4.73465,4.58485,-0.14980,-0.50470,0.21105,160.4,149,-11.400,starved
32,8,32,200,lognormal-heavytail,0.5,0.66529,0.66529,0.00000,0.99890,5.32230,4.20170,-1.12060,-3.60485,1.64515,154.4,155.8,1.400,starved
32,8,32,200,lognormal-heavytail,0.9,0.56806,0.56806,0.00000,0.96205,4.54450,7.22350,2.67900,0.14935,5.20865,172.2,314.4,142.200,starved
3.48435,156.2,390.8,234.600,starved
