M,B,Dmean,Wmean,wait_dist,rho,seed,policy,util,ceiling,residual_idle,throughput,p50,p99,nbursts
4,4,8,50,exponential,0.0,0,serial,0.13087,0.19944,0.06856,0.52350,8,43,286
4,4,8,50,exponential,0.0,0,cb,0.13975,0.13975,0.00000,0.55900,5,31,307
4,4,8,50,exponential,0.0,0,stepaware,0.13975,0.13975,0.00000,0.55900,5,31,307
4,4,8,50,exponential,0.0,1,serial,0.13462,0.19187,0.05725,0.53850,8,55,306
4,4,8,50,exponential,0.0,1,cb,0.14131,0.14131,0.00000,0.56525,5,31,319
4,4,8,50,exponential,0.0,1,stepaware,0.14131,0.14131,0.00000,0.56525,5,31,319
4,4,8,50,exponential,0.0,2,serial,0.13225,0.20706,0.07481,0.52900,8,49,286
4,4,8,50,exponential,0.0,2,cb,0.14269,0.14269,0.00000,0.57075,4,36,303
4,4,8,50,exponential,0.0,2,stepaware,0.14269,0.14269,0.00000,0.57075,4,36,303
4,4,8,50,exponential,0.0,3,serial,0.12744,0.20319,0.07575,0.50975,7,73,280
4,4,8,50,exponential,0.0,3,cb,0.14331,0.14331,0.00000,0.57325,5,36,308
4,4,8,50,exponential,0.0,3,stepaware,0.14331,0.14331,0.00000,0.57325,5,36,308
4,4,8,50,exponential,0.0,4,serial,0.12800,0.19656,0.06856,0.51200,9,41,283
4,4,8,50,exponential,0.0,4,cb,0.13500,0.13500,0.00000,0.54000,5,35,307
4,4,8,50,exponential,0.0,4,stepaware,0.13500,0.13500,0.00000,0.54000,5,35,307
4,4,8,50,exponential,0.5,0,serial,0.14344,0.24044,0.09700,0.57375,10,45,298
4,4,8,50,exponential,0.5,0,cb,0.15762,0.15762,0.00000,0.63050,5,36,329
4,4,8,50,exponential,0.5,0,stepaware,0.15762,0.15762,0.00000,0.63050,5,36,329
4,4,8,50,exponential,0.5,1,serial,0.13731,0.21463,0.07731,0.54925,10,60,250
4,4,8,50,exponential,0.5,1,cb,0.14319,0.14319,0.00000,0.57275,6,39,273
4,4,8,50,exponential,0.5,1,stepaware,0.14319,0.14319,0.00000,0.57275,6,39,273
4,4,8,50,exponential,0.5,2,serial,0.10356,0.14419,0.04062,0.41425,7,45,213
4,4,8,50,exponential,0.5,2,cb,0.10906,0.10906,0.00000,0.43625,6,42,222
4,4,8,50,exponential,0.5,2,stepaware,0.10906,0.10906,0.00000,0.43625,6,42,222
4,4,8,50,exponential,0.5,3,serial,0.16800,0.29563,0.12763,0.67200,9,55,347
4,4,8,50,exponential,0.5,3,cb,0.18688,0.18688,0.00000,0.74750,5,47,385
4,4,8,50,exponential,0.5,3,stepaware,0.18688,0.18688,0.00000,0.74750,5,47,385
4,4,8,50,exponential,0.5,4,serial,0.16737,0.29950,0.13212,0.66950,11,59,318
4,4,8,50,exponential,0.5,4,cb,0.18869,0.18869,0.00000,0.75475,6,39,367
