f_fl,remainder_mix,acc,rho,W,fire_mode,d_fixed,seed,n,L_base,E_early,dL,pct_reduction,n_fire,n_win,n_wrong,n_hold,frac_front_actual,p_correct_given_fire,win
0.5,uniform_heavy,0.6,2,1.0,smart,0.3,1,2500,3.0,2.5098,0.4902,16.34,1343,1007,336,1157,0.5028,0.7498,1
0.5,uniform_heavy,0.6,2,1.0,smart,0.3,2,2500,3.0,2.5485,0.4515,15.051,1346,969,377,1154,0.4812,0.7199,1
0.5,uniform_heavy,0.6,2,1.0,smart,0.3,3,2500,3.0,2.5389,0.4611,15.369,1345,984,361,1155,0.4984,0.7316,1
0.5,uniform_heavy,0.6,2,1.0,smart,0.3,4,2500,3.0,2.5086,0.4914,16.381,1328,1004,324,1172,0.516,0.756,1
0.5,uniform_heavy,0.6,2,1.0,smart,0.3,5,2500,3.0,2.5539,0.4461,14.869,1300,946,354,1200,0.4884,0.7277,1
0.5,uniform_heavy,0.6,2,1.0,smart,0.3,6,2500,3.0,2.5538,0.4462,14.873,1325,960,365,1175,0.4804,0.7245,1
0.5,uniform_heavy,0.6,2,2.0,smart,0.3,0,2500,3.0,2.6967,0.3033,10.109,1282,935,347,1218,0.4764,0.7293,1
0.5,uniform_heavy,0.6,2,2.0,smart,0.3,1,2500,3.0,2.6451,0.3549,11.829,1349,1008,341,1151,0.508,0.7472,1
0.5,uniform_heavy,0.6,2,2.0,smart,0.3,2,2500,3.0,2.6768,0.3232,10.773,1343,992,351,1157,0.498,0.7386,1
0.5,uniform_heavy,0.6,2,2.0,smart,0.3,3,2500,3.0,2.6586,0.3414,11.38,1343,997,346,1157,0.4904,0.7424,1
0.5,uniform_heavy,0.6,2,2.0,smart,0.3,4,2500,3.0,2.6811,0.3189,10.629,1319,968,351,1181,0.4948,0.7339,1
0.5,uniform_heavy,0.6,2,2.0,smart,0.3,5,2500,3.0,2.6095,0.3905,13.016,1328,1022,306,1172,0.5112,0.7696,1
0.5,uniform_heavy,0.6,2,2.0,smart,0.3,6,2500,3.0,2.6546,0.3454,11.513,1295,976,319,1205,0.4936,0.7537,1
0.5,uniform_heavy,0.6,4,0.5,smart,0.3,0,2500,5.0,3.8613,1.1387,22.773,1326,969,357,1174,0.4812,0.7308,1
0.5,uniform_heavy,0.6,4,0.5,smart,0.3,1,2500,5.0,3.8144,1.1856,23.713,1327,1002,325,1173,0.4988,0.7551,1
0.5,uniform_heavy,0.6,4,0.5,smart,0.3,2,2500,5.0,3.8583,1.1417,22.835,1286,976,310,1214,0.4944,0.7589,1
0.5,uniform_heavy,0.6,4,0.5,smart,0.3,3,2500,5.0,3.8663,1.1337,22.674,1310,977,333,1190,0.5068,0.7458,1
0.5,uniform_heavy,0.6,4,0.5,smart,0.3,4,2500,5.0,3.8499,1.1501,23.003,1305,979,326,1195,0.4868,0.7502,1
0.5,uniform_heavy,0.6,4,0.5,smart,0.3,5,2500,5.0,3.8302,1.1698,23.395,1324,1001,323,1176,0.5004,0.756,1
0.5,uniform_heavy,0.6,4,0.5,smart,0.3,6,2500,5.0,3.8731,1.1269,22.538,1307,970,337,1193,0.5204,0.7422,1
0.5,uniform_heavy,0.6,4,1.0,smart,0.3,0,2500,5.0,3.8797,1.1203,22.407,1372,1017,355,1128,0.504,0.7413,1
0.5,uniform_heavy,0.6,4,1.0,smart,0.3,1,2500,5.0,3.8733,1.1267,22.535,1338,1012,326,1162,0.488,0.7564,1
0.5,uniform_heavy,0.6,4,1.0,smart,0.3,2,2500,5.0,3.8918,1.1082,22.164,1298,989,309,1202,0.49,0.7619,1
0.5,uniform_heavy,0.6,4,1.0,smart,0.3,3,2500,5.0,3.8421,1.1579,23.159,1354,1032,322,1146,0.5096,0.7622,1
0.5,uniform_heavy,0.6,4,1.0,smart,0.3,4,2500,5.0,3.8897,1.1103,22.206,1345,1003,342,1155,0.4936,0.7457,1
0.5,uniform_heavy,0.6,4,1.0,smart,0.3,5,2500,5.0,3.9375,1.0625,21.249,1317,975,342,1183,0.5044,0.7403,1
0.5,uniform_heavy,0.6,4,1.0,smart,0.3,6,2500,5.0,3.9089,1.0911,21.822,1320,988,332,1180,0.4928,0.7485,1
0.5,uniform_heavy,0.6,4,2.0,smart,0.3,0,2500,5.0,4.0024,0.9976,19.952,1361,1021,340,1139,0.4968,0.7502,1
0.5,uniform_heavy,0.6,4,2.0,smart,0.3,1,2500,5.0,4.0466,0.9534,19.067,1328,992,336,1172,0.5056,0.747,1
0.5,uniform_heavy,0.6,4,2.0,smart,0.3,2,2500,5.0,4.0187,0.9813,19.627,1326,999,327,1174,0.4848,0.7534,1
0.5,uniform_heavy,0.6,4,2.0,smart,0.3,3,2500,5.0,4.0527,0.9473,18.946,1322,983,339,1178,0.4912,0.7436,1
0.5,uniform_heavy,0.6,4,2.0,smart,0.3,4,2500,5.0,4.0089,0.9911,19.822,1283,988,295,1217,0.4876,0.7701,1
0.5,uniform_heavy,0.6,4,2.0,smart,0.3,5,2500,5.0,4.0538,0.9462,18.924,1273,961,312,1227,0.4956,0.7549,1
0.5,uniform_heavy,0.6,4,2.0,smart,0.3,6,2500,5.0,4.0043,0.9957,19.914,1337,1014,323,1163,0.5104,0.7584,1
0.5,uniform_heavy,0.6,8,0.5,smart,0.3,0,2500,9.0,6.5689,2.4311,27.012,1345,1009,336,1155,0.5076,0.7502,1
0.5,uniform_heavy,0.6,8,0.5,smart,0.3,1,2500,9.0,6.5521,2.4479,27.198,1355,1006,349,1145,0.51,0.7424,1
0.5,uniform_heavy,0.6,8,0.5,smart,0.3,2,2500,9.0,6.4777,2.5223,28.026,1387,1047,340,1113,0.5032,0.7549,1
0.5,uniform_heavy,0.6,8,0.5,smart,0.3,3,2500,9.0,6.563,2.437,27.078,1360,1011,349,1140,0.4972,0.7434,1
