encoder,model,frac_missing,n,r2_ctrl_mean,r2_seam_mean,dR2_mean,dR2_std,code_diff_frac_mean
astype,hgb,0.0,12,0.7795320775744164,0.7795320775744164,0.0,0.0,0.0
astype,hgb,0.1,12,0.7700577976241769,-0.19628966589598154,0.9663474635201585,0.4008655731366849,0.6075711382113821
astype,hgb,0.2,12,0.7760034072770668,-0.2911606098890668,1.0671640171661336,0.32578322906535667,0.7288204626914304
astype,hgb,0.4,12,0.736222432058816,-0.6785467029297055,1.4147691349885216,0.4694148955844413,0.7411691736769136
astype,hgb,0.6,12,0.7119977912537491,-0.3342130002185512,1.0462107914723004,0.5218633077395957,0.7114417989417988
astype,rf,0.4,12,0.7362195847377553,-0.6779175327747337,1.414137117512489,0.46857363701577553,0.7411691736769136
dictencode,hgb,0.0,12,0.7795320775744164,0.7795320775744164,0.0,0.0,0.0
dictencode,hgb,0.1,12,0.7700577976241769,-0.19628966589598154,0.9663474635201585,0.4008655731366849,0.6075711382113821
dictencode,hgb,0.2,12,0.7760034072770668,-0.2911606098890668,1.0671640171661336,0.32578322906535667,0.7288204626914304
dictencode,hgb,0.4,12,0.736222432058816,-0.6785467029297055,1.4147691349885216,0.4694148955844413,0.7411691736769136
dictencode,hgb,0.6,12,0.7119977912537491,-0.3342130002185512,1.0462107914723004,0.5218633077395957,0.7114417989417988
