temp,sigma,<=0.10,<=0.20,<=0.30,<=0.45,>0.45
0.05,0.1,0.0,0.221,0.859,1.0,1.0
0.05,0.3,0.002,0.239,0.829,1.0,1.0
0.15,0.1,0.002,0.239,0.829,1.0,1.0
0.15,0.3,0.08,0.309,0.71,0.995,1.0
0.4,0.1,0.058,0.294,0.733,0.995,1.0
0.4,0.3,0.198,0.312,0.486,0.778,0.966
