seed,chunk_size,overlap,span_len,k,n_docs,doc_len,split_rate,recall,completeness,overcount
7,128,0,16,3,200,300,0.13,1.0,0.87,0.13
7,128,0,16,5,200,300,0.13,1.0,0.87,0.13
7,128,0,16,10,200,300,0.13,1.0,0.87,0.13
0,128,0,32,1,200,300,0.24,1.0,0.76,0.24
0,128,0,32,3,200,300,0.24,1.0,0.76,0.24
0,128,0,32,5,200,300,0.24,1.0,0.76,0.24
0,128,0,32,10,200,300,0.24,1.0,0.76,0.24
1,128,0,32,1,200,300,0.27,1.0,0.73,0.27
1,128,0,32,3,200,300,0.27,1.0,0.73,0.27
1,128,0,32,5,200,300,0.27,1.0,0.73,0.27
1,128,0,32,10,200,300,0.27,1.0,0.73,0.27
2,128,0,32,1,200,300,0.225,1.0,0.775,0.225
2,128,0,32,3,200,300,0.225,1.0,0.775,0.225
2,128,0,32,5,200,300,0.225,1.0,0.775,0.225
2,128,0,32,10,200,300,0.225,1.0,0.775,0.225
3,128,0,32,1,200,300,0.235,1.0,0.765,0.235
3,128,0,32,3,200,300,0.235,1.0,0.765,0.235
3,128,0,32,5,200,300,0.235,1.0,0.765,0.235
3,128,0,32,10,200,300,0.235,1.0,0.765,0.235
4,128,0,32,1,200,300,0.28,1.0,0.72,0.28
4,128,0,32,3,200,300,0.28,1.0,0.72,0.28
4,128,0,32,5,200,300,0.28,1.0,0.72,0.28
4,128,0,32,10,200,300,0.28,1.0,0.72,0.28
5,128,0,32,1,200,300,0.23,1.0,0.77,0.23
5,128,0,32,3,200,300,0.23,1.0,0.77,0.23
5,128,0,32,5,200,300,0.23,1.0,0.77,0.23
5,128,0,32,10,200,300,0.23,1.0,0.77,0.23
6,128,0,32,1,200,300,0.235,1.0,0.765,0.235
6,128,0,32,3,200,300,0.235,1.0,0.765,0.235
6,128,0,32,5,200,300,0.235,1.0,0.765,0.235
6,128,0,32,10,200,300,0.235,1.0,0.765,0.235
7,128,0,32,1,200,300,0.265,1.0,0.735,0.265
7,128,0,32,3,200,300,0.265,1.0,0.735,0.265
7,128,0,32,5,200,300,0.265,1.0,0.735,0.265
7,128,0,32,10,200,300,0.265,1.0,0.735,0.265
0,128,8,8,1,200,300,0.0,1.0,0.995,0.005
0,128,8,8,3,200,300,0.0,1.0,1.0,0.0
0,128,8,8,5,200,300,0.0,1.0,1.0,0.0
0,128,8,8,10,200,300,0.0,1.0,1.0,0.0
1,128,8,8,1,200,300,0.0,1.0,0.995,0.005
1,128,8,8,3,200,300,0.0,1.0,1.0,0.0
1,128,8,8,5,200,300,0.0,1.0,1.0,0.0
1,128,8,8,10,200,300,0.0,1.0,1.0,0.0
2,128,8,8,1,200,300,0.0,1.0,0.99,0.01
2,128,8,8,3,200,300,0.0,1.0,1.0,0.0
2,128,8,8,5,200,300,0.0,1.0,1.0,0.0
2,128,8,8,10,200,300,0.0,1.0,1.0,0.0
3,128,8,8,1,200,300,0.0,1.0,0.995,0.005
3,128,8,8,3,200,300,0.0,1.0,1.0,0.0
3,128,8,8,5,200,300,0.0,1.0,1.0,0.0
3,128,8,8,10,200,300,0.0,1.0,1.0,0.0
4,128,8,8,1,200,300,0.0,1.0,1.0,0.0
4,128,8,8,3,200,300,0.0,1.0,1.0,0.0
4,128,8,8,5,200,300,0.0,1.0,1.0,0.0
4,128,8,8,10,200,300,0.0,1.0,1.0,0.0
5,128,8,8,1,200,300,0.0,1.0,0.98,0.02
5,128,8,8,3,200,300,0.0,1.0,1.0,0.0
5,128,8,8,5,200,300,0.0,1.0,1.0,0.0
5,128,8,8,10,200,300,0.0,1.0,1.0,0.0
6,128,8,8,1,200,300,0.0,1.0,0.995,0.005
6,128,8,8,3,200,300,0.0,1.0,1.0,0.0
6,128,8,8,5,200,300,0.0,1.0,1.0,0.0
6,128,8,8,10,200,300,0.0,1.0,1.0,0.0
7,128,8,8,1,200,300,0.0,1.0,0.99,0.01
7,128,8,8,3,200,300,0.0,1.0,1.0,0.0
7,128,8,8,5,200,300,0.0,1.0,1.0,0.0
7,128,8,8,10,200,300,0.0,1.0,1.0,0.0
0,128,8,16,1,200,300,0.055,1.0,0.945,0.055
0,128,8,16,3,200,300,0.055,1.0,0.945,0.055
0,128,8,16,5,200,300,0.055,1.0,0.945,0.055
0,128,8,16,10,200,300,0.055,1.0,0.945,0.055
1,128,8,16,1,200,300,0.065,1.0,0.935,0.065
1,128,8,16,3,200,300,0.065,1.0,0.935,0.065
1,128,8,16,5,200,300,0.065,1.0,0.935,0.065
1,128,8,16,10,200,300,0.065,1.0,0.935,0.065
2,128,8,16,1,200,300,0.045,1.0,0.955,0.045
2,128,8,16,3,200,300,0.045,1.0,0.955,0.045
2,128,8,16,5,200,300,0.045,1.0,0.955,0.045
2,128,8,16,10,200,300,0.045,1.0,0.955,0.045
3,128,8,16,1,200,300,0.035,1.0,0.965,0.035
3,128,8,16,3,200,300,0.035,1.0,0.965,0.035
3,128,8,16,5,200,300,0.035,1.0,0.965,0.035
3,128,8,16,10,200,300,0.035,1.0,0.965,0.035
4,128,8,16,1,200,300,0.04,1.0,0.96,0.04
4,128,8,16,3,200,300,0.04,1.0,0.96,0.04
4,128,8,16,5,200,300,0.04,1.0,0.96,0.04
4,128,8,16,10,200,300,0.04,1.0,0.96,0.04
5,128,8,16,1,200,300,0.035,1.0,0.965,0.035
5,128,8,16,3,200,300,0.035,1.0,0.965,0.035
5,128,8,16,5,200,300,0.035,1.0,0.965,0.035
5,128,8,16,10,200,300,0.035,1.0,0.965,0.035
6,128,8,16,1,200,300,0.035,1.0,0.965,0.035
6,128,8,16,3,200,300,0.035,1.0,0.965,0.035
6,128,8,16,5,200,300,0.035,1.0,0.965,0.035
6,128,8,16,10,200,300,0.035,1.0,0.965,0.035
7,128,8,16,1,200,300,0.055,1.0,0.945,0.055
7,128,8,16,3,200,300,0.055,1.0,0.945,0.055
7,128,8,16,5,200,300,0.055,1.0,0.945,0.055
7,128,8,16,10,200,300,0.055,1.0,0.945,0.055
0,128,8,32,1,200,300,0.2,1.0,0.8,0.2
0,128,8,32,3,200,300,0.2,1.0,0.8,0.2
0,128,8,32,5,200,300,0.2,1.0,0.8,0.2
0,128,8,32,10,200,300,0.2,1.0,0.8,0.2
1,128,8,32,1,200,300,0.195,1.0,0.805,0.195
1,128,8,32,3,200,300,0.195,1.0,0.805,0.195
1,128,8,32,5,200,300,0.195,1.0,0.805,0.195
1,128,8,32,10,200,300,0.195,1.0,0.805,0.195
2,128,8,32,1,200,300,0.115,1.0,0.885,0.115
2,128,8,32,3,200,300,0.115,1.0,0.885,0.115
2,128,8,32,5,200,300,0.115,1.0,0.885,0.115
2,128,8,32,10,200,300,0.115,1.0,0.885,0.115
3,128,8,32,1,200,300,0.215,1.0,0.785,0.215
3,128,8,32,3,200,300,0.215,1.0,0.785,0.215
3,128,8,32,5,200,300,0.215,1.0,0.785,0.215
3,128,8,32,10,200,300,0.215,1.0,0.785,0.215
4,128,8,32,1,200,300,0.15,1.0,0.85,0.15
4,128,8,32,3,200,300,0.15,1.0,0.85,0.15
4,128,8,32,5,200,300,0.15,1.0,0.85,0.15
4,128,8,32,10,200,300,0.15,1.0,0.85,0.15
5,128,8,32,1,200,300,0.195,1.0,0.805,0.195
5,128,8,32,3,200,300,0.195,1.0,0.805,0.195
5,128,8,32,5,200,300,0.195,1.0,0.805,0.195
5,128,8,32,10,200,300,0.195,1.0,0.805,0.195
6,128,8,32,1,200,300,0.15,1.0,0.85,0.15
6,128,8,32,3,200,300,0.15,1.0,0.85,0.15
6,128,8,32,5,200,300,0.15,1.0,0.85,0.15
6,128,8,32,10,200,300,0.15,1.0,0.85,0.15
7,128,8,32,1,200,300,0.135,1.0,0.865,0.135
7,128,8,32,3,200,300,0.135,1.0,0.865,0.135
7,128,8,32,5,200,300,0.135,1.0,0.865,0.135
7,128,8,32,10,200,300,0.135,1.0,0.865,0.135
0,128,16,8,1,200,300,0.0,1.0,0.995,0.005
0,128,16,8,3,200,300,0.0,1.0,1.0,0.0
0,128,16,8,5,200,300,0.0,1.0,1.0,0.0
0,128,16,8,10,200,300,0.0,1.0,1.0,0.0
1,128,16,8,1,200,300,0.0,1.0,0.995,0.005
1,128,16,8,3,200,300,0.0,1.0,1.0,0.0
1,128,16,8,5,200,300,0.0,1.0,1.0,0.0
1,128,16,8,10,200,300,0.0,1.0,1.0,0.0
2,128,16,8,1,200,300,0.0,1.0,0.99,0.01
2,128,16,8,3,200,300,0.0,1.0,1.0,0.0
2,128,16,8,5,200,300,0.0,1.0,1.0,0.0
2,128,16,8,10,200,300,0.0,1.0,1.0,0.0
3,128,16,8,1,200,300,0.0,0.995,0.99,0.005
3,128,16,8,3,200,300,0.0,1.0,1.0,0.0
3,128,16,8,5,200,300,0.0,1.0,1.0,0.0
3,128,16,8,10,200,300,0.0,1.0,1.0,0.0
4,128,16,8,1,200,300,0.0,1.0,1.0,0.0
4,128,16,8,3,200,300,0.0,1.0,1.0,0.0
4,128,16,8,5,200,300,0.0,1.0,1.0,0.0
4,128,16,8,10,200,300,0.0,1.0,1.0,0.0
5,128,16,8,1,200,300,0.0,0.995,0.985,0.01
5,128,16,8,3,200,300,0.0,1.0,1.0,0.0
5,128,16,8,5,200,300,0.0,1.0,1.0,0.0
5,128,16,8,10,200,300,0.0,1.0,1.0,0.0
6,128,16,8,1,200,300,0.0,1.0,0.985,0.015
6,128,16,8,3,200,300,0.0,1.0,1.0,0.0
6,128,16,8,5,200,300,0.0,1.0,1.0,0.0
6,128,16,8,10,200,300,0.0,1.0,1.0,0.0
7,128,16,8,1,200,300,0.0,0.995,0.99,0.005
7,128,16,8,3,200,300,0.0,1.0,1.0,0.0
7,128,16,8,5,200,300,0.0,1.0,1.0,0.0
7,128,16,8,10,200,300,0.0,1.0,1.0,0.0
0,128,16,16,1,200,300,0.0,1.0,0.995,0.005
0,128,16,16,3,200,300,0.0,1.0,1.0,0.0
0,128,16,16,5,200,300,0.0,1.0,1.0,0.0
0,128,16,16,10,200,300,0.0,1.0,1.0,0.0
1,128,16,16,1,200,300,0.0,1.0,0.995,0.005
1,128,16,16,3,200,300,0.0,1.0,1.0,0.0
1,128,16,16,5,200,300,0.0,1.0,1.0,0.0
1,128,16,16,10,200,300,0.0,1.0,1.0,0.0
2,128,16,16,1,200,300,0.0,1.0,0.99,0.01
2,128,16,16,3,200,300,0.0,1.0,1.0,0.0
2,128,16,16,5,200,300,0.0,1.0,1.0,0.0
2,128,16,16,10,200,300,0.0,1.0,1.0,0.0
3,128,16,16,1,200,300,0.0,1.0,1.0,0.0
3,128,16,16,3,200,300,0.0,1.0,1.0,0.0
3,128,16,16,5,200,300,0.0,1.0,1.0,0.0
3,128,16,16,10,200,300,0.0,1.0,1.0,0.0
4,128,16,16,1,200,300,0.0,1.0,1.0,0.0
4,128,16,16,3,200,300,0.0,1.0,1.0,0.0
4,128,16,16,5,200,300,0.0,1.0,1.0,0.0
4,128,16,16,10,200,300,0.0,1.0,1.0,0.0
5,128,16,16,1,200,300,0.0,1.0,1.0,0.0
5,128,16,16,3,200,300,0.0,1.0,1.0,0.0
5,128,16,16,5,200,300,0.0,1.0,1.0,0.0
5,128,16,16,10,200,300,0.0,1.0,1.0,0.0
6,128,16,16,1,200,300,0.0,1.0,1.0,0.0
6,128,16,16,3,200,300,0.0,1.0,1.0,0.0
6,128,16,16,5,200,300,0.0,1.0,1.0,0.0
6,128,16,16,10,200,300,0.0,1.0,1.0,0.0
7,128,16,16,1,200,300,0.0,1.0,0.995,0.005
7,128,16,16,3,200,300,0.0,1.0,1.0,0.0
7,128,16,16,5,200,300,0.0,1.0,1.0,0.0
7,128,16,16,10,200,300,0.0,1.0,1.0,0.0
0,128,16,32,1,200,300,0.115,1.0,0.885,0.115
0,128,16,32,3,200,300,0.115,1.0,0.885,0.115
0,128,16,32,5,200,300,0.115,1.0,0.885,0.115
0,128,16,32,10,200,300,0.115,1.0,0.885,0.115
1,128,16,32,1,200,300,0.08,1.0,0.92,0.08
1,128,16,32,3,200,300,0.08,1.0,0.92,0.08
1,128,16,32,5,200,300,0.08,1.0,0.92,0.08
1,128,16,32,10,200,300,0.08,1.0,0.92,0.08
2,128,16,32,1,200,300,0.12,1.0,0.88,0.12
2,128,16,32,3,200,300,0.12,1.0,0.88,0.12
2,128,16,32,5,200,300,0.12,1.0,0.88,0.12
2,128,16,32,10,200,300,0.12,1.0,0.88,0.12
3,128,16,32,1,200,300,0.105,1.0,0.895,0.105
3,128,16,32,3,200,300,0.105,1.0,0.895,0.105
3,128,16,32,5,200,300,0.105,1.0,0.895,0.105
3,128,16,32,10,200,300,0.105,1.0,0.895,0.105
4,128,16,32,1,200,300,0.15,1.0,0.85,0.15
4,128,16,32,3,200,300,0.15,1.0,0.85,0.15
4,128,16,32,5,200,300,0.15,1.0,0.85,0.15
4,128,16,32,10,200,300,0.15,1.0,0.85,0.15
5,128,16,32,1,200,300,0.105,1.0,0.895,0.105
5,128,16,32,3,200,300,0.105,1.0,0.895,0.105
5,128,16,32,5,200,300,0.105,1.0,0.895,0.105
5,128,16,32,10,200,300,0.105,1.0,0.895,0.105
6,128,16,32,1,200,300,0.125,1.0,0.875,0.125
6,128,16,32,3,200,300,0.125,1.0,0.875,0.125
6,128,16,32,5,200,300,0.125,1.0,0.875,0.125
6,128,16,32,10,200,300,0.125,1.0,0.875,0.125
7,128,16,32,1,200,300,0.12,1.0,0.88,0.12
7,128,16,32,3,200,300,0.12,1.0,0.88,0.12
7,128,16,32,5,200,300,0.12,1.0,0.88,0.12
7,128,16,32,10,200,300,0.12,1.0,0.88,0.12
0,128,32,8,1,200,300,0.0,1.0,0.995,0.005
0,128,32,8,3,200,300,0.0,1.0,1.0,0.0
0,128,32,8,5,200,300,0.0,1.0,1.0,0.0
0,128,32,8,10,200,300,0.0,1.0,1.0,0.0
1,128,32,8,1,200,300,0.0,1.0,1.0,0.0
1,128,32,8,3,200,300,0.0,1.0,1.0,0.0
1,128,32,8,5,200,300,0.0,1.0,1.0,0.0
1,128,32,8,10,200,300,0.0,1.0,1.0,0.0
2,128,32,8,1,200,300,0.0,1.0,0.995,0.005
2,128,32,8,3,200,300,0.0,1.0,1.0,0.0
2,128,32,8,5,200,300,0.0,1.0,1.0,0.0
2,128,32,8,10,200,300,0.0,1.0,1.0,0.0
3,128,32,8,1,200,300,0.0,1.0,0.995,0.005
3,128,32,8,3,200,300,0.0,1.0,1.0,0.0
3,128,32,8,5,200,300,0.0,1.0,1.0,0.0
3,128,32,8,10,200,300,0.0,1.0,1.0,0.0
4,128,32,8,1,200,300,0.0,1.0,1.0,0.0
4,128,32,8,3,200,300,0.0,1.0,1.0,0.0
4,128,32,8,5,200,300,0.0,1.0,1.0,0.0
4,128,32,8,10,200,300,0.0,1.0,1.0,0.0
5,128,32,8,1,200,300,0.0,1.0,1.0,0.0
5,128,32,8,3,200,300,0.0,1.0,1.0,0.0
5,128,32,8,5,200,300,0.0,1.0,1.0,0.0
5,128,32,8,10,200,300,0.0,1.0,1.0,0.0
6,128,32,8,1,200,300,0.0,1.0,1.0,0.0
6,128,32,8,3,200,300,0.0,1.0,1.0,0.0
6,128,32,8,5,200,300,0.0,1.0,1.0,0.0
6,128,32,8,10,200,300,0.0,1.0,1.0,0.0
7,128,32,8,1,200,300,0.0,1.0,0.99,0.01
7,128,32,8,3,200,300,0.0,1.0,1.0,0.0
7,128,32,8,5,200,300,0.0,1.0,1.0,0.0
7,128,32,8,10,200,300,0.0,1.0,1.0,0.0
0,128,32,16,1,200,300,0.0,1.0,0.99,0.01
0,128,32,16,3,200,300,0.0,1.0,1.0,0.0
0,128,32,16,5,200,300,0.0,1.0,1.0,0.0
0,128,32,16,10,200,300,0.0,1.0,1.0,0.0
1,128,32,16,1,200,300,0.0,1.0,0.995,0.005
1,128,32,16,3,200,300,0.0,1.0,1.0,0.0
1,128,32,16,5,200,300,0.0,1.0,1.0,0.0
1,128,32,16,10,200,300,0.0,1.0,1.0,0.0
2,128,32,16,1,200,300,0.0,1.0,0.99,0.01
2,128,32,16,3,200,300,0.0,1.0,1.0,0.0
2,128,32,16,5,200,300,0.0,1.0,1.0,0.0
2,128,32,16,10,200,300,0.0,1.0,1.0,0.0
3,128,32,16,1,200,300,0.0,1.0,1.0,0.0
3,128,32,16,3,200,300,0.0,1.0,1.0,0.0
3,128,32,16,5,200,300,0.0,1.0,1.0,0.0
3,128,32,16,10,200,300,0.0,1.0,1.0,0.0
4,128,32,16,1,200,300,0.0,1.0,0.995,0.005
4,128,32,16,3,200,300,0.0,1.0,1.0,0.0
4,128,32,16,5,200,300,0.0,1.0,1.0,0.0
4,128,32,16,10,200,300,0.0,1.0,1.0,0.0
5,128,32,16,1,200,300,0.0,1.0,0.99,0.01
5,128,32,16,3,200,300,0.0,1.0,1.0,0.0
5,128,32,16,5,200,300,0.0,1.0,1.0,0.0
5,128,32,16,10,200,300,0.0,1.0,1.0,0.0
6,128,32,16,1,200,300,0.0,1.0,0.995,0.005
6,128,32,16,3,200,300,0.0,1.0,1.0,0.0
6,128,32,16,5,200,300,0.0,1.0,1.0,0.0
6,128,32,16,10,200,300,0.0,1.0,1.0,0.0
7,128,32,16,1,200,300,0.0,1.0,0.995,0.005
7,128,32,16,3,200,300,0.0,1.0,1.0,0.0
7,128,32,16,5,200,300,0.0,1.0,1.0,0.0
7,128,32,16,10,200,300,0.0,1.0,1.0,0.0
0,128,32,32,1,200,300,0.0,1.0,1.0,0.0
0,128,32,32,3,200,300,0.0,1.0,1.0,0.0
0,128,32,32,5,200,300,0.0,1.0,1.0,0.0
0,128,32,32,10,200,300,0.0,1.0,1.0,0.0
1,128,32,32,1,200,300,0.0,1.0,0.99,0.01
1,128,32,32,3,200,300,0.0,1.0,1.0,0.0
1,128,32,32,5,200,300,0.0,1.0,1.0,0.0
1,128,32,32,10,200,300,0.0,1.0,1.0,0.0
2,128,32,32,1,200,300,0.0,1.0,0.98,0.02
2,128,32,32,3,200,300,0.0,1.0,1.0,0.0
2,128,32,32,5,200,300,0.0,1.0,1.0,0.0
2,128,32,32,10,200,300,0.0,1.0,1.0,0.0
3,128,32,32,1,200,300,0.0,1.0,0.99,0.01
3,128,32,32,3,200,300,0.0,1.0,1.0,0.0
3,128,32,32,5,200,300,0.0,1.0,1.0,0.0
3,128,32,32,10,200,300,0.0,1.0,1.0,0.0
4,128,32,32,1,200,300,0.0,1.0,0.98,0.02
4,128,32,32,3,200,300,0.0,1.0,1.0,0.0
4,128,32,32,5,200,300,0.0,1.0,1.0,0.0
4,128,32,32,10,200,300,0.0,1.0,1.0,0.0
5,128,32,32,1,200,300,0.0,1.0,0.995,0.005
5,128,32,32,3,200,300,0.0,1.0,1.0,0.0
5,128,32,32,5,200,300,0.0,1.0,1.0,0.0
5,128,32,32,10,200,300,0.0,1.0,1.0,0.0
6,128,32,32,1,200,300,0.0,1.0,0.995,0.005
6,128,32,32,3,200,300,0.0,1.0,1.0,0.0
6,128,32,32,5,200,300,0.0,1.0,1.0,0.0
6,128,32,32,10,200,300,0.0,1.0,1.0,0.0
7,128,32,32,1,200,300,0.0,1.0,0.985,0.015
7,128,32,32,3,200,300,0.0,1.0,1.0,0.0
7,128,32,32,5,200,300,0.0,1.0,1.0,0.0
7,128,32,32,10,200,300,0.0,1.0,1.0,0.0
0,128,64,8,1,200,300,0.0,1.0,0.99,0.01
0,128,64,8,3,200,300,0.0,1.0,1.0,0.0
0,128,64,8,5,200,300,0.0,1.0,1.0,0.0
0,128,64,8,10,200,300,0.0,1.0,1.0,0.0
1,128,64,8,1,200,300,0.0,1.0,0.985,0.015
1,128,64,8,3,200,300,0.0,1.0,1.0,0.0
1,128,64,8,5,200,300,0.0,1.0,1.0,0.0
1,128,64,8,10,200,300,0.0,1.0,1.0,0.0
2,128,64,8,1,200,300,0.0,1.0,0.995,0.005
2,128,64,8,3,200,300,0.0,1.0,1.0,0.0
2,128,64,8,5,200,300,0.0,1.0,1.0,0.0
2,128,64,8,10,200,300,0.0,1.0,1.0,0.0
3,128,64,8,1,200,300,0.0,1.0,0.995,0.005
3,128,64,8,3,200,300,0.0,1.0,1.0,0.0
3,128,64,8,5,200,300,0.0,1.0,1.0,0.0
3,128,64,8,10,200,300,0.0,1.0,1.0,0.0
4,128,64,8,1,200,300,0.0,1.0,1.0,0.0
4,128,64,8,3,200,300,0.0,1.0,1.0,0.0
4,128,64,8,5,200,300,0.0,1.0,1.0,0.0
4,128,64,8,10,200,300,0.0,1.0,1.0,0.0
5,128,64,8,1,200,300,0.0,1.0,0.99,0.01
5,128,64,8,3,200,300,0.0,1.0,1.0,0.0
5,128,64,8,5,200,300,0.0,1.0,1.0,0.0
5,128,64,8,10,200,300,0.0,1.0,1.0,0.0
6,128,64,8,1,200,300,0.0,1.0,0.99,0.01
6,128,64,8,3,200,300,0.0,1.0,1.0,0.0
6,128,64,8,5,200,300,0.0,1.0,1.0,0.0
6,128,64,8,10,200,300,0.0,1.0,1.0,0.0
7,128,64,8,1,200,300,0.0,1.0,0.99,0.01
7,128,64,8,3,200,300,0.0,1.0,1.0,0.0
7,128,64,8,5,200,300,0.0,1.0,1.0,0.0
7,128,64,8,10,200,300,0.0,1.0,1.0,0.0
0,128,64,16,1,200,300,0.0,1.0,0.995,0.005
0,128,64,16,3,200,300,0.0,1.0,1.0,0.0
0,128,64,16,5,200,300,0.0,1.0,1.0,0.0
0,128,64,16,10,200,300,0.0,1.0,1.0,0.0
1,128,64,16,1,200,300,0.0,1.0,0.99,0.01
1,128,64,16,3,200,300,0.0,1.0,1.0,0.0
1,128,64,16,5,200,300,0.0,1.0,1.0,0.0
1,128,64,16,10,200,300,0.0,1.0,1.0,0.0
2,128,64,16,1,200,300,0.0,1.0,0.99,0.01
2,128,64,16,3,200,300,0.0,1.0,1.0,0.0
2,128,64,16,5,200,300,0.0,1.0,1.0,0.0
2,128,64,16,10,200,300,0.0,1.0,1.0,0.0
3,128,64,16,1,200,300,0.0,1.0,0.98,0.02
3,128,64,16,3,200,300,0.0,1.0,1.0,0.0
3,128,64,16,5,200,300,0.0,1.0,1.0,0.0
3,128,64,16,10,200,300,0.0,1.0,1.0,0.0
4,128,64,16,1,200,300,0.0,1.0,0.995,0.005
4,128,64,16,3,200,300,0.0,1.0,1.0,0.0
4,128,64,16,5,200,300,0.0,1.0,1.0,0.0
4,128,64,16,10,200,300,0.0,1.0,1.0,0.0
5,128,64,16,1,200,300,0.0,1.0,0.98,0.02
5,128,64,16,3,200,300,0.0,1.0,1.0,0.0
5,128,64,16,5,200,300,0.0,1.0,1.0,0.0
5,128,64,16,10,200,300,0.0,1.0,1.0,0.0
6,128,64,16,1,200,300,0.0,1.0,0.98,0.02
6,128,64,16,3,200,300,0.0,1.0,1.0,0.0
6,128,64,16,5,200,300,0.0,1.0,1.0,0.0
6,128,64,16,10,200,300,0.0,1.0,1.0,0.0
7,128,64,16,1,200,300,0.0,1.0,0.995,0.005
7,128,64,16,3,200,300,0.0,1.0,1.0,0.0
7,128,64,16,5,200,300,0.0,1.0,1.0,0.0
7,128,64,16,10,200,300,0.0,1.0,1.0,0.0
0,128,64,32,1,200,300,0.0,1.0,0.995,0.005
0,128,64,32,3,200,300,0.0,1.0,1.0,0.0
0,128,64,32,5,200,300,0.0,1.0,1.0,0.0
0,128,64,32,10,200,300,0.0,1.0,1.0,0.0
1,128,64,32,1,200,300,0.0,1.0,0.98,0.02
1,128,64,32,3,200,300,0.0,1.0,1.0,0.0
1,128,64,32,5,200,300,0.0,1.0,1.0,0.0
1,128,64,32,10,200,300,0.0,1.0,1.0,0.0
2,128,64,32,1,200,300,0.0,1.0,0.995,0.005
2,128,64,32,3,200,300,0.0,1.0,1.0,0.0
2,128,64,32,5,200,300,0.0,1.0,1.0,0.0
2,128,64,32,10,200,300,0.0,1.0,1.0,0.0
3,128,64,32,1,200,300,0.0,1.0,0.995,0.005
3,128,64,32,3,200,300,0.0,1.0,1.0,0.0
3,128,64,32,5,200,300,0.0,1.0,1.0,0.0
3,128,64,32,10,200,300,0.0,1.0,1.0,0.0
4,128,64,32,1,200,300,0.0,1.0,0.98,0.02
4,128,64,32,3,200,300,0.0,1.0,1.0,0.0
4,128,64,32,5,200,300,0.0,1.0,1.0,0.0
4,128,64,32,10,200,300,0.0,1.0,1.0,0.0
5,128,64,32,1,200,300,0.0,1.0,1.0,0.0
5,128,64,32,3,200,300,0.0,1.0,1.0,0.0
5,128,64,32,5,200,300,0.0,1.0,1.0,0.0
5,128,64,32,10,200,300,0.0,1.0,1.0,0.0
6,128,64,32,1,200,300,0.0,1.0,0.99,0.01
6,128,64,32,3,200,300,0.0,1.0,1.0,0.0
6,128,64,32,5,200,300,0.0,1.0,1.0,0.0
6,128,64,32,10,200,300,0.0,1.0,1.0,0.0
7,128,64,32,1,200,300,0.0,1.0,0.98,0.02
7,128,64,32,3,200,300,0.0,1.0,1.0,0.0
7,128,64,32,5,200,300,0.0,1.0,1.0,0.0
7,128,64,32,10,200,300,0.0,1.0,1.0,0.0
