step,b_count,b_fraction
287,23,0.08984375
288,28,0.109375
289,29,0.11328125
290,20,0.078125
291,22,0.0859375
292,18,0.0703125
293,20,0.078125
294,24,0.09375
295,26,0.1015625
296,24,0.09375
297,32,0.125
298,24,0.09375
299,30,0.1171875
300,23,0.08984375
301,23,0.08984375
302,31,0.12109375
303,24,0.09375
304,28,0.109375
305,21,0.08203125
306,28,0.109375
307,28,0.109375
308,23,0.08984375
309,25,0.09765625
310,21,0.08203125
311,27,0.10546875
312,23,0.08984375
313,27,0.10546875
314,25,0.09765625
315,22,0.0859375
316,24,0.09375
317,32,0.125
318,19,0.07421875
319,24,0.09375
320,28,0.109375
321,27,0.10546875
322,20,0.078125
323,26,0.1015625
324,26,0.1015625
325,26,0.1015625
326,29,0.11328125
327,21,0.08203125
328,30,0.1171875
329,29,0.11328125
330,28,0.109375
331,26,0.1015625
332,31,0.12109375
333,33,0.12890625
334,25,0.09765625
335,23,0.08984375
336,22,0.0859375
337,30,0.1171875
338,25,0.09765625
339,22,0.0859375
340,28,0.109375
341,21,0.08203125
342,31,0.12109375
343,29,0.11328125
344,22,0.0859375
345,22,0.0859375
346,28,0.109375
347,28,0.109375
348,25,0.09765625
349,22,0.0859375
350,33,0.12890625
351,21,0.08203125
352,32,0.125
353,26,0.1015625
354,20,0.078125
355,30,0.1171875
356,26,0.1015625
357,23,0.08984375
358,23,0.08984375
359,28,0.109375
360,27,0.10546875
361,27,0.10546875
362,22,0.0859375
363,20,0.078125
364,27,0.10546875
365,15,0.05859375
366,28,0.109375
367,21,0.08203125
368,24,0.09375
369,26,0.1015625
370,24,0.09375
371,30,0.1171875
372,24,0.09375
373,28,0.109375
374,16,0.0625
375,26,0.1015625
376,23,0.08984375
377,37,0.14453125
378,26,0.1015625
379,22,0.0859375
380,25,0.09765625
381,26,0.1015625
382,23,0.08984375
383,21,0.08203125
384,27,0.10546875
385,27,0.10546875
386,29,0.11328125
387,34,0.1328125
388,20,0.078125
389,25,0.09765625
390,30,0.1171875
391,17,0.06640625
392,31,0.12109375
393,35,0.13671875
394,19,0.07421875
395,26,0.1015625
396,24,0.09375
397,24,0.09375
398,22,0.0859375
399,30,0.1171875
