step,b_count,b_fraction
0,24,0.09375
1,32,0.125
2,33,0.12890625
3,12,0.046875
4,29,0.11328125
5,26,0.1015625
6,31,0.12109375
7,26,0.1015625
8,23,0.08984375
9,24,0.09375
10,23,0.08984375
11,20,0.078125
12,19,0.07421875
13,31,0.12109375
14,28,0.109375
15,20,0.078125
16,25,0.09765625
17,23,0.08984375
18,20,0.078125
19,12,0.046875
20,25,0.09765625
21,32,0.125
22,27,0.10546875
23,21,0.08203125
24,22,0.0859375
25,24,0.09375
26,29,0.11328125
27,30,0.1171875
28,33,0.12890625
29,23,0.08984375
30,27,0.10546875
31,18,0.0703125
32,35,0.13671875
33,25,0.09765625
34,23,0.08984375
35,28,0.109375
36,19,0.07421875
37,23,0.08984375
38,27,0.10546875
39,24,0.09375
40,23,0.08984375
41,32,0.125
42,19,0.07421875
43,24,0.09375
44,25,0.09765625
45,23,0.08984375
46,36,0.140625
47,31,0.12109375
48,30,0.1171875
49,21,0.08203125
50,23,0.08984375
51,21,0.08203125
52,18,0.0703125
53,25,0.09765625
54,22,0.0859375
55,30,0.1171875
56,33,0.12890625
57,21,0.08203125
58,29,0.11328125
59,26,0.1015625
60,25,0.09765625
61,27,0.10546875
62,22,0.0859375
63,25,0.09765625
64,26,0.1015625
65,21,0.08203125
66,21,0.08203125
67,20,0.078125
68,25,0.09765625
69,33,0.12890625
70,28,0.109375
71,33,0.12890625
72,23,0.08984375
73,21,0.08203125
74,20,0.078125
75,23,0.08984375
76,28,0.109375
77,29,0.11328125
78,24,0.09375
79,16,0.0625
80,20,0.078125
81,40,0.15625
82,22,0.0859375
83,23,0.08984375
84,25,0.09765625
85,31,0.12109375
86,20,0.078125
87,15,0.05859375
88,26,0.1015625
89,16,0.0625
90,25,0.09765625
91,28,0.109375
92,26,0.1015625
93,23,0.08984375
94,23,0.08984375
95,22,0.0859375
96,32,0.125
97,18,0.0703125
98,33,0.12890625
99,22,0.0859375
100,18,0.0703125
101,33,0.12890625
102,27,0.10546875
103,17,0.06640625
104,23,0.08984375
105,31,0.12109375
106,27,0.10546875
107,35,0.13671875
108,23,0.08984375
109,24,0.09375
110,29,0.11328125
111,16,0.0625
112,19,0.07421875
113,21,0.08203125
114,34,0.1328125
115,28,0.109375
116,26,0.1015625
117,25,0.09765625
118,23,0.08984375
119,20,0.078125
120,22,0.0859375
121,23,0.08984375
122,24,0.09375
123,29,0.11328125
124,31,0.12109375
125,23,0.08984375
126,34,0.1328125
127,27,0.10546875
128,23,0.08984375
129,27,0.10546875
130,19,0.07421875
131,22,0.0859375
132,34,0.1328125
133,22,0.0859375
134,28,0.109375
135,34,0.1328125
136,29,0.11328125
137,20,0.078125
138,17,0.06640625
139,28,0.109375
140,19,0.07421875
141,24,0.09375
142,17,0.06640625
143,30,0.1171875
144,19,0.07421875
145,20,0.078125
146,29,0.11328125
147,30,0.1171875
148,29,0.11328125
149,28,0.109375
150,25,0.09765625
151,21,0.08203125
152,25,0.09765625
153,25,0.09765625
154,25,0.09765625
155,26,0.1015625
156,27,0.10546875
157,27,0.10546875
158,21,0.08203125
159,29,0.11328125
160,30,0.1171875
161,30,0.1171875
