metric,value
n_rows,96
mean_auc_mon,0.7427
mean_auc_conf,0.7486
mean_auc_diff,0.648
mean_auc_oracle,0.8577
mean_d_mon_conf,-0.006
ci_d_mon_conf_lo,-0.0105
ci_d_mon_conf_hi,-0.0013
mean_d_mon_diff,0.0947
ci_d_mon_diff_lo,0.0866
ci_d_mon_diff_hi,0.1028
mean_med_lead_mon,2.318
mean_frac_mon_early,0.4241
