frac,sigma,rho,seed,fail_rate,auc_mon,auc_conf,auc_diff,auc_oracle,d_mon_conf,d_mon_diff,med_lead_mon,med_lead_conf,frac_mon_early,n_fail
0.8,0.3,0.6,2,0.5,0.7859,0.7749,0.65345,0.91845,0.01100000000000001,0.13245000000000007,3.0,2.0,0.485,200
0.8,0.3,0.6,3,0.5325,0.784815846953378,0.780146117345786,0.7067108533554267,0.9135346840400693,0.004669729607592044,0.07810499359795131,2,1,0.41784037558685444,213
0.8,0.3,0.6,4,0.5,0.77325,0.77745,0.676775,0.91585,-0.0041999999999999815,0.09647499999999998,2,1,0.435,200
0.8,0.3,0.6,5,0.4675,0.7935276543395847,0.7908161984384022,0.6912455122894228,0.9088900605056364,0.0027114559011824912,0.10228214205016195,2.0,2.0,0.48128342245989303,187
0.8,0.3,0.6,6,0.47,0.7759684865515857,0.7755670413488559,0.671366920915295,0.9131623845845042,0.0004014452027297777,0.10460156563629064,3,2,0.5478723404255319,188
0.8,0.3,0.6,7,0.4925,0.8207096596734266,0.8213348003300742,0.6959315846065365,0.9406866544972619,-0.0006251406566476492,0.12477807506689009,2.0,2,0.47715736040609136,197
0.8,0.8,0.0,0,0.505,0.8005300530053006,0.7958795879587959,0.6459395939593959,0.9156915691569157,0.0046504650465046815,0.15459045904590463,2.0,2.0,0.4752475247524752,202
0.8,0.8,0.0,1,0.4525,0.796236030172305,0.8547390196523625,0.6713337874315699,0.9358964656020585,-0.0585029894800575,0.12490224274073514,2.0,1.0,0.5082872928176796,181
0.8,0.8,0.0,2,0.4675,0.809344480429816,0.8420074816098014,0.6541387361602772,0.9396701061986895,-0.03266300117998544,0.15520574426953881,2.0,1.0,0.5080213903743316,187
0.8,0.8,0.0,3,0.48,0.8065404647435898,0.8160556891025641,0.6556991185897436,0.9103565705128205,-0.009515224358974339,0.15084134615384615,2,2,0.4375,192
0.8,0.8,0.0,4,0.495,0.8174817481748174,0.838058805880588,0.665916591659166,0.9446944694469447,-0.020577057705770563,0.1515651565156515,2,1.0,0.4444444444444444,198
