source,tokenizer,delimiter_class,has_chat_template,prefix_tokens,result_tokens,total_blocks,invalid_blocks,block_churn_frac,ctrl_invalid_blocks,ctrl_churn_frac,tmpl_churn_frac,churn_minus_ctrl,has_churn,tok_diverge_frac,first_invalid_block
claude_code,gpt2,json_close_brace,False,1644,2592,265,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1260,34,81,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1250,34,81,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,period,False,1254,34,81,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1257,36,81,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1245,17,79,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,period,False,1233,17,79,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1205,408,101,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1371,901,142,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1292,43,84,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1329,11,84,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1343,3153,281,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1650,2361,251,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1222,1814,190,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1312,34,85,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1326,34,85,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,period,False,1332,34,86,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1347,36,87,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1334,17,85,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1299,17,83,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1277,54,84,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1300,7,82,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1305,210,95,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1350,602,122,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1588,2151,234,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1336,3661,313,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1304,202,95,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1383,822,138,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1382,34,89,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1380,34,89,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,json_close_brace,False,1319,34,85,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
claude_code,gpt2,period,False,1304,34,84,0,0.0,0,0.0,0.0,0.0,0,0.0,-1
